gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
ORF-1	E	12h	12	C6	C6_12h	10806.072632			cluster_1
ORF-1	E	1h	1	C6	C6_1h	22831.050229			cluster_1
ORF-1	E	2h	2	C6	C6_2h	20335.53635			cluster_1
ORF-1	E	4h	4	C6	C6_4h	29495.178671			cluster_1
ORF-1	E	6h	6	C6	C6_6h	23725.115899			cluster_1
ORF-1	E	8h	8	C6	C6_8h	17130.934513			cluster_1
ORF-1	E	12h	12	NRK	NRK_12h	17789.311049			cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	31578.947367			cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	21241.830065			cluster_1
ORF-1	E	4h	4	NRK	NRK_4h	39248.370967			cluster_1
ORF-1	E	6h	6	NRK	NRK_6h	34085.639201			cluster_1
ORF-1	E	8h	8	NRK	NRK_8h	24748.221221			cluster_1
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	33333.333334			cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	28241.335044			cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	10250.763599			cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	27439.02439			cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	25839.79328			cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	26143.790847			cluster_1
ORF-1	E	4h	4	PC_12	PC_12_4h	23678.385752			cluster_1
ORF-1	E	6h	6	PC_12	PC_12_6h	21677.578056			cluster_1
ORF-1	E	8h	8	PC_12	PC_12_8h	15795.007771			cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	4992.759419			cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	11227.54491			cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	25301.509658			cluster_1
ORF-1	E	4h	4	PK_15	PK_15_4h	18941.2841			cluster_1
ORF-1	E	6h	6	PK_15	PK_15_6h	12441.577913			cluster_1
ORF-1	E	8h	8	PK_15	PK_15_8h	7543.197528			cluster_1
UL54	E	12h	12	C6	C6_12h	7879.326509			cluster_1
UL54	E	1h	1	C6	C6_1h	33920.417482			cluster_1
UL54	E	2h	2	C6	C6_2h	27961.362481			cluster_1
UL54	E	4h	4	C6	C6_4h	14180.374362			cluster_1
UL54	E	6h	6	C6	C6_6h	18598.309245			cluster_1
UL54	E	8h	8	C6	C6_8h	16716.082823			cluster_1
UL54	E	12h	12	NRK	NRK_12h	8412.363741			cluster_1
UL54	E	1h	1	NRK	NRK_1h	21052.631578			cluster_1
UL54	E	2h	2	NRK	NRK_2h	28594.771241			cluster_1
UL54	E	4h	4	NRK	NRK_4h	18033.03531			cluster_1
UL54	E	6h	6	NRK	NRK_6h	14801.360332			cluster_1
UL54	E	8h	8	NRK	NRK_8h	15519.197057			cluster_1
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	33333.333333			cluster_1
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	38510.911424			cluster_1
UL54	E	12h	12	PC_12	PC_12_12h	7044.863662			cluster_1
UL54	E	1h	1	PC_12	PC_12_1h	34298.780488			cluster_1
UL54	E	2.5h	2.5	PC_12	PC_12_2.5h	26701.119724			cluster_1
UL54	E	2h	2	PC_12	PC_12_2h	33464.052285			cluster_1
UL54	E	4h	4	PC_12	PC_12_4h	13743.758686			cluster_1
UL54	E	6h	6	PC_12	PC_12_6h	13875.187372			cluster_1
UL54	E	8h	8	PC_12	PC_12_8h	14583.523819			cluster_1
UL54	E	12h	12	PK_15	PK_15_12h	4055.652131			cluster_1
UL54	E	1h	1	PK_15	PK_15_1h	14221.556886			cluster_1
UL54	E	2h	2	PK_15	PK_15_2h	29012.397741			cluster_1
UL54	E	4h	4	PK_15	PK_15_4h	18962.075849			cluster_1
UL54	E	6h	6	PK_15	PK_15_6h	12989.953161			cluster_1
UL54	E	8h	8	PK_15	PK_15_8h	9304.274729			cluster_1
UL53	L	12h	12	C6	C6_12h	0			
UL53	L	1h	1	C6	C6_1h	0			
UL53	L	2h	2	C6	C6_2h	0			
UL53	L	4h	4	C6	C6_4h	0			
UL53	L	6h	6	C6	C6_6h	0			
UL53	L	8h	8	C6	C6_8h	0			
UL53	L	12h	12	NRK	NRK_12h	0			
UL53	L	1h	1	NRK	NRK_1h	0			
UL53	L	2h	2	NRK	NRK_2h	0			
UL53	L	4h	4	NRK	NRK_4h	0			
UL53	L	6h	6	NRK	NRK_6h	38.645849			
UL53	L	8h	8	NRK	NRK_8h	0			
UL53	L	0.5h	0.5	PC_12	PC_12_0.5h	0			
UL53	L	1.5h	1.5	PC_12	PC_12_1.5h	0			
UL53	L	12h	12	PC_12	PC_12_12h	0			
UL53	L	1h	1	PC_12	PC_12_1h	0			
UL53	L	2.5h	2.5	PC_12	PC_12_2.5h	0			
UL53	L	2h	2	PC_12	PC_12_2h	0			
UL53	L	4h	4	PC_12	PC_12_4h	0			
UL53	L	6h	6	PC_12	PC_12_6h	0			
UL53	L	8h	8	PC_12	PC_12_8h	0			
UL53	L	12h	12	PK_15	PK_15_12h	0			
UL53	L	1h	1	PK_15	PK_15_1h	0			
UL53	L	2h	2	PK_15	PK_15_2h	0			
UL53	L	4h	4	PK_15	PK_15_4h	0			
UL53	L	6h	6	PK_15	PK_15_6h	0			
UL53	L	8h	8	PK_15	PK_15_8h	0			
UL52	E	12h	12	C6	C6_12h	0			
UL52	E	1h	1	C6	C6_1h	0			
UL52	E	2h	2	C6	C6_2h	0			
UL52	E	4h	4	C6	C6_4h	0			
UL52	E	6h	6	C6	C6_6h	0			
UL52	E	8h	8	C6	C6_8h	0			
UL52	E	12h	12	NRK	NRK_12h	0			
UL52	E	1h	1	NRK	NRK_1h	0			
UL52	E	2h	2	NRK	NRK_2h	0			
UL52	E	4h	4	NRK	NRK_4h	0			
UL52	E	6h	6	NRK	NRK_6h	38.645849			
UL52	E	8h	8	NRK	NRK_8h	0			
UL52	E	0.5h	0.5	PC_12	PC_12_0.5h	0			
UL52	E	1.5h	1.5	PC_12	PC_12_1.5h	0			
UL52	E	12h	12	PC_12	PC_12_12h	0			
UL52	E	1h	1	PC_12	PC_12_1h	0			
UL52	E	2.5h	2.5	PC_12	PC_12_2.5h	0			
UL52	E	2h	2	PC_12	PC_12_2h	0			
UL52	E	4h	4	PC_12	PC_12_4h	0			
UL52	E	6h	6	PC_12	PC_12_6h	0			
UL52	E	8h	8	PC_12	PC_12_8h	0			
UL52	E	12h	12	PK_15	PK_15_12h	0			
UL52	E	1h	1	PK_15	PK_15_1h	0			
UL52	E	2h	2	PK_15	PK_15_2h	0			
UL52	E	4h	4	PK_15	PK_15_4h	0			
UL52	E	6h	6	PK_15	PK_15_6h	0			
UL52	E	8h	8	PK_15	PK_15_8h	0			
UL51	L	12h	12	C6	C6_12h	1760.430491			cluster_2
UL51	L	1h	1	C6	C6_1h	2609.262884			cluster_2
UL51	L	2h	2	C6	C6_2h	5592.272497			cluster_2
UL51	L	4h	4	C6	C6_4h	3403.289846			cluster_2
UL51	L	6h	6	C6	C6_6h	4254.158713			cluster_2
UL51	L	8h	8	C6	C6_8h	3489.634808			cluster_2
UL51	L	12h	12	NRK	NRK_12h	1796.856994			cluster_2
UL51	L	1h	1	NRK	NRK_1h	0			cluster_2
UL51	L	2h	2	NRK	NRK_2h	4901.960784			cluster_2
UL51	L	4h	4	NRK	NRK_4h	4394.605245			cluster_2
UL51	L	6h	6	NRK	NRK_6h	2125.521719			cluster_2
UL51	L	8h	8	NRK	NRK_8h	2440.449592			cluster_2
UL51	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL51	L	1.5h	1.5	PC_12	PC_12_1.5h	5134.788189			cluster_2
UL51	L	12h	12	PC_12	PC_12_12h	1612.418871			cluster_2
UL51	L	1h	1	PC_12	PC_12_1h	5335.365854			cluster_2
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	2153.316106			cluster_2
UL51	L	2h	2	PC_12	PC_12_2h	4705.882351			cluster_2
UL51	L	4h	4	PC_12	PC_12_4h	6125.495445			cluster_2
UL51	L	6h	6	PC_12	PC_12_6h	4420.073539			cluster_2
UL51	L	8h	8	PC_12	PC_12_8h	2742.982536			cluster_2
UL51	L	12h	12	PK_15	PK_15_12h	691.637668			cluster_2
UL51	L	1h	1	PK_15	PK_15_1h	3742.51497			cluster_2
UL51	L	2h	2	PK_15	PK_15_2h	1855.444043			cluster_2
UL51	L	4h	4	PK_15	PK_15_4h	6611.776448			cluster_2
UL51	L	6h	6	PK_15	PK_15_6h	3788.317091			cluster_2
UL51	L	8h	8	PK_15	PK_15_8h	2449.543641			cluster_2
UL50	L	12h	12	C6	C6_12h	4051.668513			cluster_1
UL50	L	1h	1	C6	C6_1h	18264.840183			cluster_1
UL50	L	2h	2	C6	C6_2h	19318.759533			cluster_1
UL50	L	4h	4	C6	C6_4h	11911.514463			cluster_1
UL50	L	6h	6	C6	C6_6h	11617.125715			cluster_1
UL50	L	8h	8	C6	C6_8h	9077.931113			cluster_1
UL50	L	12h	12	NRK	NRK_12h	7306.933906			cluster_1
UL50	L	1h	1	NRK	NRK_1h	31578.947369			cluster_1
UL50	L	2h	2	NRK	NRK_2h	32679.738562			cluster_1
UL50	L	4h	4	NRK	NRK_4h	22882.254888			cluster_1
