gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE	E	cluster_1	1	1	0	0
CTO	L		0.998069560599766	0.987809437295932	0.0946630216447704	0.225204973244856
ELIE	unknown	cluster_3	0.948596391255149	0.850151652559481	0	0
EP0	E	cluster_4	0.964823887025011	0.877626361458554	0.186074777536205	0.184621357818674
IE180	IE	cluster_5	0.967969400187461	0.777794646504936	0	0
NOIR	E	cluster_6	0.802440122548168	0.41252453395076	0.0496651139284326	0.327566696063816
NOIR_2	E	cluster_6	0.802440122548168	0.41252453395076	0.0495764047346563	0.327438186368363
ORF-1	E	cluster_7	0.981759838631387	0.856103089593535	0.0655639735193665	0.528422045017271
UL1-2-3-3.5	E/L		0.998069560599766	0.987809437295932	0.033857054722094	0.520790838533801
UL10	L	cluster_8	0.774890672373287	0.382767240775645	0.029094408376907	0.587976582327245
UL14-13-12-11	L		0.802440122548168	0.41252453395076	0.0844642127234509	0.405850571411884
UL15	L	cluster_6	0.802440122548168	0.41252453395076	0.0899055168228009	0.336792617306165
UL17-16	L		0.998069560599766	0.987809437295932	0.162577948425179	0.133680180048448
UL20-19-18	L		0.998069560599766	0.987809437295932	0.106397195035819	0.405074782428369
UL21	L	cluster_6	0.802440122548168	0.41252453395076	0.0878492459507725	0.00260588435714375
UL23-22	L		0.802440122548168	0.41252453395076	0.0717068521400173	0.265293449291739
UL24-25-26-26.5	L		0.998069560599766	0.987809437295932	0.157730488817174	0.255004205154102
UL29-28-27			0.998069560599766	0.987809437295932	0.0621035305471177	-0.348679003156516
UL30	E	cluster_4	0.964823887025011	0.877626361458554	0.186074777536205	0.215084290617929
UL32-31	L		0.998069560599766	0.987809437295932	0.0473458972351715	0.246613679741576
UL33-34-35	E/L		0.998069560599766	0.987809437295932	0.188667580825957	0.160383080399743
UL37-36	L		0.970587674907268	0.802699361719356	0	0
UL38-39-40	E		0.981759838631387	0.856103089593535	0.0962822713512046	0.482363241618028
UL41	L	cluster_10	0.766567020761556	0.331945117989678	0	0
UL42-43-44	L		0.774890672373287	0.382767240775645	0.029094408376907	0.789044531327966
UL48-47-46	L		0.998069560599766	0.987809437295932	0.0746210190832556	0.389060254748018
UL49.5-49	L		0.998069560599766	0.987809437295932	0.0665556565729853	0.214259246208825
UL5-4	E/L		0.802440122548168	0.41252453395076	0.086092231460339	0.46975412550175
UL50	L	cluster_11	0.911398984518966	0.471360141044941	0.0108048361920649	0.312247869474445
UL51	L	cluster_12	0.92153848534497	0.320103277779347	0	0
UL52-53-54	E/L		0.981759838631387	0.856103089593535	0.0579114032633729	0.35191561188676
UL7-6	E/L		0.802440122548168	0.41252453395076	0.0973055318827831	0.348323539666251
UL9-8	E		0.911398984518966	0.471360141044941	0.0108048361920649	0.433264880113398
US1	E	cluster_6	0.802440122548168	0.41252453395076	0.212207085685332	0.397899581022554
US3-4	L		0.802440122548168	0.41252453395076	0.271014719615635	-0.0145802852358115
US6-7	L		0.802440122548168	0.41252453395076	0.0181978222360449	0.0559929065999993
US8-9-2	L		0.981759838631387	0.856103089593535	0.0493457181809117	0.448382968443353
