gene	Kinetic_class	cluster	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
AZURE	E	cluster_1	0.000264673860337029	0	0	0.000248941996514812	0.000918984956310047	0.000446956387528152	0	0.000764525993883792	0	0.00165016501650165	0.000143326104503376	0	0.000884173297966401	0	0.00062338031827307	0.000313244408601505	0.000286402697535154	1.87124224630492e-05	0	0	2.10119347789544e-05	2.90305363643658e-05	2.99289246215608e-05
CTO	L		0.0326752137646476	0.0099748443460171	0.0372793913106191	0.0802165048288588	0.142555806828957	0.101197713204009	0.00912375790424571	0.0109854520229407	0.0172413793103448	0.0228538371078487	0.176516993565535	0.0182110058598781	0.0540336400674114	0.0241936173337196	0.14015138154801	0.146682950656624	0.139286258885314	0.234981741531116	0.0234733260106394	0.0695791672106909	0.103138340275662	0.19477323471745	0.168034816717625
ELIE	unknown	cluster_3	6.68159375742932e-05	0	0	0	4.26693975081072e-05	5.99173061743829e-05	0	0.00106496272630458	0	0.00165016501650165	0.000109810300556157	0	0	0.000744047619047619	0	0.000172117460367725	0.000149375255368718	1.56379774846538e-05	0	9.80824873718798e-05	2.21248727819815e-05	3.05213549877968e-05	3.71918993052422e-05
EP0	E	cluster_4	0.01104388378386	0.105385877475501	0.0671085708987132	0.0220360080694962	0.0221836201738398	0.0225586984449511	0.240044456624342	0.177555998475833	0.136206896551724	0.132542392170252	0.00621089590168479	0.12513033666563	0.0859666965225947	0.0829081273435363	0.0212537802927452	0.017179282697316	0.0159337188488782	0.00120411855743404	0.092038293381577	0.162757162270693	0.049678032014079	0.0205923419118649	0.0123916386656458
IE180	IE	cluster_5	0.00935471920566658	0.0128416644567749	0.00393760109621784	0.0036065685847591	0.00370808442557244	0.00833070134927197	0.0507536311318169	0.00842350343426053	0.0844827586206897	0.0117411453789057	0.00719904826140931	0.0298784051281489	0.00724624540257989	0.00750132766861391	0.00974600891492585	0.0101442803539001	0.00911102192433939	0.00182912131775249	0.45742973444466	0.0420934997009832	0.0125358073158553	0.00996202216800889	0.00884105653836828
NOIR	E	cluster_6	0.00248398317368081	0	0.00322026869700498	0.00602713682775594	0.00585668744975376	0.00675348711525285	0	0	0	0	0.00767765609086312	0.00713563592580832	0.00451999619101075	0.00377568334701234	0.0117828960217986	0.00956670568342163	0.00767441677264367	0.00701859234170752	0.00191143847860266	0.00389523720095044	0.014586509479312	0.0155196227101812	0.0116129409130358
NOIR_2	E	cluster_6	0.00248218970715898	0	0.00322026869700498	0.00602713682775594	0.00586576181712199	0.00676666442918918	0	0	0	0	0.00770561843553245	0.00713563592580832	0.00451999619101075	0.00377568334701234	0.0117828960217986	0.00959643927048157	0.00769441357315559	0.00704199032665328	0.00191143847860266	0.00389523720095044	0.0146544220660712	0.0155847414156711	0.0116377584989434
ORF-1	E	cluster_7	0.0117260112463436	0.0281573112330657	0.0238226476133565	0.031218368632186	0.0237444382065468	0.017542729624682	0.0396009053723496	0.027628220535217	0.0672413793103448	0.0407322054044485	0.00925291106909361	0.0329777786765944	0.035110374075417	0.0319194919857095	0.025087064442307	0.0216951504229363	0.0156685680297326	0.00423801423795056	0.0212388275074842	0.0313471109986032	0.0211559678750654	0.012616612784936	0.00777860077911437
UL1-2-3-3.5	E/L		0.0535562689604494	0.0148095646816777	0.019786525999114	0.0317688959675733	0.0358729866972502	0.0449553160860258	0.00916537255260193	0.0189448661957382	0.0172413793103448	0.0220120000505798	0.0539262967919418	0.02356517221321	0.0221823677522582	0.026525838241684	0.0392503551406587	0.0477382404304612	0.0421405812419678	0.0472888891926583	0.012790592492085	0.0187661540715142	0.0372420808538346	0.0367321703509608	0.0387422973982141
UL10	L	cluster_2	0.0428261016451771	0.0112568008998814	0.0192662346359506	0.0233090969294712	0.0338741527258592	0.0336240272845653	0	0.00552905198776758	0	0.0146030120253405	0.0353822753800478	0.00335872273027546	0.0107835565526596	0.012549988734933	0.0156672216104402	0.0233566954966279	0.0294735498581803	0.0580020057186107	0.00382287695720532	0.012204945523806	0.0206086343280313	0.0269596242419615	0.0377701348694429
