gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.00174520069808028	0.00302277627847972	1.73205080756888	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	0.000301019099919116	7.16593350591185e-05	0.238055774794268	cluster_1
AZURE	E	12h	12	NRK	NRK_dcDNA_12h	0.000572124987897851	0.000117503560090806	0.205380926504446	cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	0.000186723990691569	6.96128143259303e-05	0.372811303293731	cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	2.6335574449024e-05	7.43838559058179e-06	0.282446301104226	cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	0	0		cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_1
AZURE	E	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_1
AZURE	E	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_1
AZURE	E	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.000923361034164358	0.00159930822490201	1.73205080756888	cluster_1
AZURE	E	2h	2	C6	C6_dcDNA_2h	0	0		cluster_1
AZURE	E	2h	2	NRK	NRK_dcDNA_2h	0.000799360511590727	0.00138453301963939	1.73205080756888	cluster_1
AZURE	E	2h	2	PC-12	PC-12_dcDNA_2h	0	0		cluster_1
AZURE	E	2h	2	PK-15	PK-15_dcDNA_2h	0	0		cluster_1
AZURE	E	4h	4	C6	C6_dcDNA_4h	0	0		cluster_1
AZURE	E	4h	4	NRK	NRK_dcDNA_4h	0.00176941741168985	0.000812169835476817	0.459004093726629	cluster_1
AZURE	E	4h	4	PC-12	PC-12_dcDNA_4h	0.000801776004263392	0.000128647275854616	0.160452888550596	cluster_1
AZURE	E	4h	4	PK-15	PK-15_dcDNA_4h	2.66134397870925e-05	4.60958298754192e-05	1.73205080756888	cluster_1
AZURE	E	6h	6	C6	C6_dcDNA_6h	0.00107733084147944	0.000849483007125605	0.788507090318748	cluster_1
AZURE	E	6h	6	NRK	NRK_dcDNA_6h	0.00100975201743397	0.000546649443136603	0.541369993521551	cluster_1
AZURE	E	6h	6	PC-12	PC-12_dcDNA_6h	0.000391965870723703	8.4780018093675e-05	0.216294387919902	cluster_1
AZURE	E	6h	6	PK-15	PK-15_dcDNA_6h	4.15941026863547e-05	3.78972264432613e-05	0.911120182806438	cluster_1
AZURE	E	8h	8	C6	C6_dcDNA_8h	0.000548382476395252	0.000244168211932808	0.445251667299488	cluster_1
AZURE	E	8h	8	NRK	NRK_dcDNA_8h	0.000677243265177145	0.000105972020105667	0.156475561374461	cluster_1
AZURE	E	8h	8	PC-12	PC-12_dcDNA_8h	0.000301856646964859	0.000149302699968454	0.494614584338887	cluster_1
AZURE	E	8h	8	PK-15	PK-15_dcDNA_8h	3.81205857368365e-05	2.36897369118656e-05	0.621442101530298	cluster_1
CTO	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0.0172413793103448	0.0243829924547085	1.4142135623731	
CTO	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.0242376113424285	0.010748977211437	0.4434833556647	
CTO	L	12h	12	C6	C6_dcDNA_12h	0.00296369292239188	0.000933370921123293	0.314935098056653	
CTO	L	12h	12	NRK	NRK_dcDNA_12h	0.0140385791874187	0.00401624168855917	0.286086051511432	
CTO	L	12h	12	PC-12	PC-12_dcDNA_12h	0.0179671474210458	0.00285862165897707	0.159102699609879	
CTO	L	12h	12	PK-15	PK-15_dcDNA_12h	0.0270832691284247	0.0109905549143487	0.405806066551021	
CTO	L	1h	1	C6	C6_dcDNA_1h	0.00204918032786885	0.0035492844417395	1.73205080756888	
CTO	L	1h	1	NRK	NRK_dcDNA_1h	0.00948588448588449	0.00870033442968934	0.9171874739394	
CTO	L	1h	1	PC-12	PC-12_dcDNA_1h	0.00351921240173389	0.00388761771944236	1.10468402462067	
CTO	L	1h	1	PK-15	PK-15_dcDNA_1h	0.00087719298245614	0.00151934281365691	1.73205080756888	
CTO	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.0541251068515602	0.00220765172180466	0.0407879420517214	
CTO	L	2h	2	C6	C6_dcDNA_2h	0.00383034772559436	0.00155822966838033	0.406811542975133	
CTO	L	2h	2	NRK	NRK_dcDNA_2h	0.0115519856159698	0.00717736346743821	0.62130993805221	
CTO	L	2h	2	PC-12	PC-12_dcDNA_2h	0.00201624286063911	0.000933660083289837	0.46306925694154	
CTO	L	2h	2	PK-15	PK-15_dcDNA_2h	0.0101115801184659	0.0166298478623351	1.64463394123392	
CTO	L	4h	4	C6	C6_dcDNA_4h	0.010322784353939	0.0028105139702653	0.272263167949727	
CTO	L	4h	4	NRK	NRK_dcDNA_4h	0.0056959502749229	0.00233737780189252	0.410357831279374	
CTO	L	4h	4	PC-12	PC-12_dcDNA_4h	0.0166871258330761	0.00307629087732531	0.184351152385253	
CTO	L	4h	4	PK-15	PK-15_dcDNA_4h	0.0136468474265379	0.0061879829019386	0.453436805478262	
CTO	L	6h	6	C6	C6_dcDNA_6h	0.0138756287504602	0.00200536514823213	0.144524272326443	
CTO	L	6h	6	NRK	NRK_dcDNA_6h	0.0143518214906725	0.00224623209223827	0.15651198655851	
CTO	L	6h	6	PC-12	PC-12_dcDNA_6h	0.0155191061838636	0.00335595776111499	0.216246845749688	
CTO	L	6h	6	PK-15	PK-15_dcDNA_6h	0.0238063095665386	0.00646624266100065	0.27161885982065	
CTO	L	8h	8	C6	C6_dcDNA_8h	0.010501764160832	0.00153432218319878	0.146101374940534	
CTO	L	8h	8	NRK	NRK_dcDNA_8h	0.00620684347792084	0.00133098417585624	0.214438173057023	
CTO	L	8h	8	PC-12	PC-12_dcDNA_8h	0.013620297717715	0.00794152252209647	0.583065266757532	
CTO	L	8h	8	PK-15	PK-15_dcDNA_8h	0.0150552417471916	0.0041927466917158	0.278490824798473	
ELIE	unknown	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_3
ELIE	unknown	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.00174520069808028	0.00302277627847972	1.73205080756888	cluster_3
ELIE	unknown	12h	12	C6	C6_dcDNA_12h	7.44217007161041e-05	3.63277600584291e-05	0.488133967765777	cluster_3
ELIE	unknown	12h	12	NRK	NRK_dcDNA_12h	5.1658110579818e-05	3.71656246455346e-05	0.719453813319581	cluster_3
ELIE	unknown	12h	12	PC-12	PC-12_dcDNA_12h	0.000144774377305281	4.66096504071244e-05	0.321946820111961	cluster_3
ELIE	unknown	12h	12	PK-15	PK-15_dcDNA_12h	1.8579525585359e-05	6.2616918654015e-06	0.337021084668374	cluster_3
ELIE	unknown	1h	1	C6	C6_dcDNA_1h	0	0		cluster_3
ELIE	unknown	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_3
ELIE	unknown	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_3
ELIE	unknown	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_3
ELIE	unknown	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0	0		cluster_3
ELIE	unknown	2h	2	C6	C6_dcDNA_2h	0	0		cluster_3
ELIE	unknown	2h	2	NRK	NRK_dcDNA_2h	0.00112994350282486	0.001957119556575	1.73205080756888	cluster_3
ELIE	unknown	2h	2	PC-12	PC-12_dcDNA_2h	0.000403551251008878	0.000698971270205358	1.73205080756888	cluster_3
ELIE	unknown	2h	2	PK-15	PK-15_dcDNA_2h	0.000130284672008338	0.000225659671365889	1.73205080756888	cluster_3
ELIE	unknown	4h	4	C6	C6_dcDNA_4h	0	0		cluster_3
ELIE	unknown	4h	4	NRK	NRK_dcDNA_4h	0.000426145030362154	0.000370316769432441	0.868992345441017	cluster_3
ELIE	unknown	4h	4	PC-12	PC-12_dcDNA_4h	0	0		cluster_3
ELIE	unknown	4h	4	PK-15	PK-15_dcDNA_4h	2.78543773153951e-05	4.82451967234583e-05	1.73205080756888	cluster_3
ELIE	unknown	6h	6	C6	C6_dcDNA_6h	5.49964252323599e-05	9.52566027371103e-05	1.73205080756888	cluster_3
ELIE	unknown	6h	6	NRK	NRK_dcDNA_6h	4.78996024332998e-05	8.29645450768251e-05	1.73205080756888	cluster_3
ELIE	unknown	6h	6	PC-12	PC-12_dcDNA_6h	0.000224718517354076	2.99138032246872e-05	0.133116770157191	cluster_3
ELIE	unknown	6h	6	PK-15	PK-15_dcDNA_6h	2.63005300875599e-05	2.29064256632652e-05	0.87094920090983	cluster_3
ELIE	unknown	8h	8	C6	C6_dcDNA_8h	5.74850192437399e-05	6.24249041971002e-05	1.08593343132434	cluster_3
ELIE	unknown	8h	8	NRK	NRK_dcDNA_8h	0.000138391898054389	9.86859673925599e-05	0.713090641720771	cluster_3
ELIE	unknown	8h	8	PC-12	PC-12_dcDNA_8h	0.000185260133327082	7.69393504103957e-05	0.415304410229248	cluster_3
ELIE	unknown	8h	8	PK-15	PK-15_dcDNA_8h	4.52084179767922e-05	2.49222952736629e-05	0.551275545330005	cluster_3
EP0	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0.136206896551724	0.0512042841548879	0.375930187466266	cluster_4
EP0	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.138768635527505	0.032600440983004	0.234926580196448	cluster_4
EP0	E	12h	12	C6	C6_dcDNA_12h	0.0124668554815742	0.00351033326754009	0.281573270238698	cluster_4
