gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
AZURE	1	1	1	1	0	0	0	0	0	0	10	0	1	0	0
CTO	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	0.225204973244856	6	0.0946630216447704	0.349291070902074
ELIE	3	0.850151652559481	0.948596391255149	0.794751580159943	0.0196865269640032	0.00884704220811039	0.00444537202617662	-1.22720678947382	0.404187175558167	0.265341958975899	11	0	1	0	0
EP0	4	0.877626361458554	0.964823887025011	0.754250840115974	0.0165428878967458	0.00629411322091746	0.00472049783336136	-1.2487819321339	0.56085424444576	0.227987686079736	9	0.184621357818674	2	0.186074777536205	0.686585502809974
IE180	5	0.777794646504936	0.967969400187461	0.392820638622612	0.0272401524740518	0.00587657021729166	0.00519857759354781	-0.789889370518053	1.06186432483886	0.095297381893903	9	0	1	0	0
NOIR	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.327566696063816	6	0.0496651139284326	0.183256149329711
NOIR_2	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.327438186368363	7	0.0495764047346563	0.182928826910095
ORF-1	7	0.856103089593535	0.981759838631387	0.4238069524754	0.0195880225753033	0.00362548003514064	0.00528751761636427	-0.949684539530708	1.14184833426917	0.903204200337401	11	0.528422045017271	1	0.0655639735193665	0.24192034149419
UL1-2-3-3.5	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	0.520790838533801	1	0.033857054722094	0.124926995737027
UL10	8	0.382767240775645	0.774890672373287	0.525213157159006	0.0398945479428968	0.022657824645906	0.00531343619842018	-0.409146344520374	0.3459042002877	0.960584829281691	2	0.587976582327245	2	0.029094408376907	0.107353609494606
UL14-13-12-11	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.405850571411884	2	0.0844642127234509	0.311659133656068
UL15	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.336792617306165	5	0.0899055168228009	0.331736656039602
UL17-16	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	6	0.133680180048448	9	0.162577948425179	0.59988604550983
