gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	y	ymin	ymax
ORF-1	E	0.5h	0.5	C6				0		
ORF-1	E	0.5h	0.5	PC-12	0	0		0	0	0
ORF-1	E	1.5h	1.5	PC-12	0	0		0	0	0
ORF-1	E	12h	12	C6	0.00269631195136225	0.000273224771634997	0.101332774754404	0.00269631195136225	0.00253856555590951	0.00285405834681499
ORF-1	E	12h	12	PC-12	0.00317449055274141	0.00111681267929998	0.351808474696997	0.00317449055274141	0.00252969845171317	0.00381928265376964
ORF-1	E	12h	12	PK-15	0.00179272448710503	0.000922331586692664	0.514485964422837	0.00179272448710503	0.00126021609724592	0.00232523287696413
ORF-1	E	1h	1	C6	0	0		0	0	0
ORF-1	E	1h	1	NRK	0	0		0	0	0
ORF-1	E	1h	1	PC-12	0	0		0	0	0
ORF-1	E	1h	1	PK-15	0	0		0	0	0
ORF-1	E	2.5h	2.5	PC-12	0.00349242261006967	0.00310760303106997	0.889812997461948	0.00349242261006967	0.00169824716354692	0.00528659805659242
ORF-1	E	2h	2	C6	0	0		0	0	0
ORF-1	E	2h	2	NRK	0	0		0	0	0
ORF-1	E	2h	2	PC-12	0.00169204737732657	0.00293071202634328	1.73205080756888	0.00169204737732657	0	0.00338409475465313
ORF-1	E	2h	2	PK-15	0.000513610683102209	0.000889599798443183	1.73205080756888	0.000513610683102209	0	0.00102722136620442
ORF-1	E	4h	4	C6	0.00458645420277084	0.00414868023297088	0.904550672383147	0.00458645420277084	0.00219121255348343	0.00698169585205826
ORF-1	E	4h	4	PC-12	0.0058128413824054	0.00100070256366347	0.172153770906677	0.0058128413824054	0.00523508548789554	0.00639059727691525
ORF-1	E	4h	4	PK-15	0.000864345038055482	0.000278402168518623	0.322096103131389	0.000864345038055482	0.00070360947111828	0.00102508060499268
ORF-1	E	6h	6	C6	0.0037469508706508	0.000346033992373115	0.0923508218598588	0.0037469508706508	0.00354716805200542	0.00394673368929618
ORF-1	E	6h	6	PC-12	0.00553289431274486	0.000626901865474252	0.113304507557681	0.00553289431274486	0.00517095235195782	0.00589483627353189
ORF-1	E	6h	6	PK-15	0.00136254749704766	0.00029270437624086	0.214821411271964	0.00136254749704766	0.00119355454663202	0.0015315404474633
ORF-1	E	8h	8	C6	0.00227851070659934	0.000609720000564988	0.26759584618103	0.00227851070659934	0.00192648870014285	0.00263053271305584
ORF-1	E	8h	8	PC-12	0.00498528165223865	0.00317392520705735	0.636659155582934	0.00498528165223865	0.00274097761534948	0.00722958568912782
ORF-1	E	8h	8	PK-15	0.00181286877782426	0.000548634938953228	0.302633563810217	0.00181286877782426	0.00149611424813278	0.00212962330751574
ORF-1	E			C6	0			0		
ORF-1	E			PC-12	0			0		
ORF-1	E			PK-15	0			0		
UL54	E	0.5h	0.5	C6				0		
UL54	E	0.5h	0.5	PC-12	0	0		0	0	0
UL54	E	1.5h	1.5	PC-12	0.0262813451694421	0.00998651589494033	0.379984960075479	0.0262813451694421	0.0205156275292318	0.0320470628096524
UL54	E	12h	12	C6	0.000906762439329393	0.000534001200145554	0.588909704443074	0.000906762439329393	0.000598456702677774	0.00121506817598101
UL54	E	12h	12	PC-12	0.000318406141209069	0.000183854016297735	0.577419818598959	0.000318406141209069	0.000212257975407978	0.00042455430701016
UL54	E	12h	12	PK-15	0.000116421402537459	3.93175798300272e-05	0.33771779907373	0.000116421402537459	9.37213872387078e-05	0.000139121417836209
UL54	E	1h	1	C6	0.0186480186480186	0.0163170163170163	0.875	0.0186480186480186	0.00922738488501776	0.0280686524110195
UL54	E	1h	1	NRK	0	0		0	0	0
UL54	E	1h	1	PC-12	0.00292397660818713	0.00506447604552303	1.73205080756888	0.00292397660818713	0	0.00584795321637427
UL54	E	1h	1	PK-15	0	0		0	0	0
UL54	E	2.5h	2.5	PC-12	0.0112709186238598	0.00267753542374049	0.237561419179473	0.0112709186238598	0.00972504282619847	0.0128167944215211
UL54	E	2h	2	C6	0.00126262626262626	0.00178562318481451	1.4142135623731	0.00126262626262626	0	0.00252525252525253
UL54	E	2h	2	NRK	0.0134489693313223	0.0128666398775621	0.956700811830689	0.0134489693313223	0.00602041133444585	0.0208775273281987
UL54	E	2h	2	PC-12	0.0116322606641461	0.00377980337168738	0.324941426333214	0.0116322606641461	0.00944999017001857	0.0138145311582737
UL54	E	2h	2	PK-15	0.0128503075871497	0.00683949993442013	0.532244064045566	0.0128503075871497	0.0089015204588898	0.0167990947154096
UL54	E	4h	4	C6	0.00368557518778588	0.00203415958921449	0.55192459401066	0.00368557518778588	0.00251115260137824	0.00485999777419353
UL54	E	4h	4	PC-12	0.00229151146013841	0.00145927265549172	0.636816651749836	0.00229151146013841	0.00144899999966921	0.00313402292060762
UL54	E	4h	4	PK-15	0.00236412684555505	0.000427349883332286	0.18076436301875	0.00236412684555505	0.002117396275375	0.00261085741573511
UL54	E	6h	6	C6	0.00468082481991235	0.00140973983860788	0.301173381368773	0.00468082481991235	0.00386691114460475	0.00549473849521995
UL54	E	6h	6	PC-12	0.00178927545558232	0.00121913122728259	0.68135469219066	0.00178927545558232	0.00108540971333323	0.0024931411978314
UL54	E	6h	6	PK-15	0.00115812449056177	0.000463631377315652	0.400329481928803	0.00115812449056177	0.00089044679006382	0.00142580219105972
UL54	E	8h	8	C6	0.00162523905403145	0.000827943059101323	0.509428478873668	0.00162523905403145	0.00114722590598562	0.00210325220207729
UL54	E	8h	8	PC-12	0.00109157568358988	0.000232929067896804	0.213387922980078	0.00109157568358988	0.000926869960144592	0.00125628140703518
UL54	E	8h	8	PK-15	0.000699047875567654	0.000114930492746916	0.164410045096823	0.000699047875567654	0.000632692724642126	0.000765403026493183
UL54	E			C6	0			0		
UL54	E			PC-12	0			0		
UL54	E			PK-15	0			0		
UL53	L	0.5h	0.5	C6				0		
UL53	L	0.5h	0.5	PC-12	0	0		0	0	0
UL53	L	1.5h	1.5	PC-12	0	0		0	0	0
UL53	L	12h	12	C6	0.0003505309088886	0.000202196192298776	0.57682842560122	0.0003505309088886	0.000233792882835784	0.000467268934941415
UL53	L	12h	12	PC-12	4.86221884308573e-05	4.23100149765106e-05	0.870179157745586	4.86221884308573e-05	2.41944898947518e-05	7.30498869669628e-05
UL53	L	12h	12	PK-15	0.000117948998763075	4.40736958306504e-05	0.373667401104282	0.000117948998763075	9.25030386110672e-05	0.000143394958915083
UL53	L	1h	1	C6	0	0		0	0	0
UL53	L	1h	1	NRK	0	0		0	0	0
UL53	L	1h	1	PC-12	0	0		0	0	0
UL53	L	1h	1	PK-15	0	0		0	0	0
UL53	L	2.5h	2.5	PC-12	0	0		0	0	0
UL53	L	2h	2	C6	0	0		0	0	0
UL53	L	2h	2	NRK	0	0		0	0	0
UL53	L	2h	2	PC-12	0	0		0	0	0
UL53	L	2h	2	PK-15	0.000256805341551104	0.000444799899221592	1.73205080756888	0.000256805341551104	0	0.000513610683102209
UL53	L	4h	4	C6	0.0012531328320802	0.00217048973379559	1.73205080756888	0.0012531328320802	0	0.0025062656641604
UL53	L	4h	4	PC-12	0.000147037200411704	0.000254675901715759	1.73205080756888	0.000147037200411704	0	0.000294074400823408
UL53	L	4h	4	PK-15	0.000277142659183815	0.000480025166651113	1.73205080756888	0.000277142659183815	0	0.00055428531836763
UL53	L	6h	6	C6	0.000624302824580065	0.000628712672355907	1.00706363579054	0.000624302824580065	0.000261315393952453	0.000987290255207677
UL53	L	6h	6	PC-12	0.00011877895236964	0.00020573118037402	1.73205080756888	0.00011877895236964	0	0.00023755790473928
UL53	L	6h	6	PK-15	0.000217273575868225	9.21835373131399e-05	0.424274037672435	0.000217273575868225	0.000164051385785631	0.000270495765950818
UL53	L	8h	8	C6	5.10152025303541e-05	8.83609227409896e-05	1.73205080756888	5.10152025303541e-05	0	0.000102030405060708
UL53	L	8h	8	PC-12	5.71037003197807e-05	8.07568274539227e-05	1.4142135623731	5.71037003197807e-05	0	0.000114207400639561
UL53	L	8h	8	PK-15	0.000334240157892664	8.91830777182221e-05	0.266823347261767	0.000334240157892664	0.000282750283964889	0.000385730031820439
UL53	L			C6	0			0		
UL53	L			PC-12	0			0		
UL53	L			PK-15	0			0		
UL52	E	0.5h	0.5	C6				0		
UL52	E	0.5h	0.5	PC-12	0	0		0	0	0
UL52	E	1.5h	1.5	PC-12	0	0		0	0	0
UL52	E	12h	12	C6	4.96585593715197e-05	5.97554804230102e-05	1.20332690233622	4.96585593715197e-05	1.51587166637393e-05	8.41584020793e-05
UL52	E	12h	12	PC-12	0	0		0	0	0
UL52	E	12h	12	PK-15	2.67070477228236e-06	4.62579635760971e-06	1.73205080756888	2.67070477228236e-06	0	5.34140954456472e-06
UL52	E	1h	1	C6	0	0		0	0	0
UL52	E	1h	1	NRK	0	0		0	0	0
UL52	E	1h	1	PC-12	0	0		0	0	0
UL52	E	1h	1	PK-15	0	0		0	0	0
UL52	E	2.5h	2.5	PC-12	0	0		0	0	0
UL52	E	2h	2	C6	0	0		0	0	0
UL52	E	2h	2	NRK	0	0		0	0	0
UL52	E	2h	2	PC-12	0	0		0	0	0
UL52	E	2h	2	PK-15	0	0		0	0	0
UL52	E	4h	4	C6	0	0		0	0	0
UL52	E	4h	4	PC-12	0	0		0	0	0
UL52	E	4h	4	PK-15	0	0		0	0	0
UL52	E	6h	6	C6	0.000102595670462706	0.000177700913878001	1.73205080756888	0.000102595670462706	0	0.000205191340925413
UL52	E	6h	6	PC-12	0	0		0	0	0
