gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_1h	NRK_2h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
ORF-1	E	cluster_1	0.00343913713520729	0	0	0.00796019900665952	0.00666666666633633	0.0031647358002867	0	0	0	0	0.00391633763720505	0	0.0042432814708664	0.00266311584502633	0.00880559945983705	0.00774313442244531	0.00649172030649174	0.00208225889551992	0	0.00214132762419016	0.00159201099868077	0.00185551707015472	0.00237379444682096
UL54	E	cluster_2	0.00126964560916242	0.0228571428567402	0.00522193211489351	0.00597014925404787	0.00769230769329872	0.00276914382437561	0	0.0115606936407616	0	0.0429184549358554	0.000512218545720475	0.0201005025110662	0.0183875530404211	0.015978695078142	0.0036125536276629	0.00258104480554485	0.00187049568191084	0.0001450489937968	0	0.0164168451109054	0.00354584268114869	0.00167683764878626	0.00107318251839114
UL53	L	cluster_3	0.000443759631088473	0	0	0	0.00119658119845313	0.000169539417497396	0	0	0	0	0.000128054636430119	0	0	0	0.000225784602572406	0.000361346271497912	0.000440116631240375	0.00025464156776417	0	0.000713775874730054	0.000506548956232431	0.000604761118871175	0.000639645209454668
UL52	E	cluster_4	0.00014791987585444	0	0.00261096605744676	0	0.000170940171490741	5.65131391657985e-05	0	0	0	0	5.33560983822654e-05	0	0	0	0	0.000103241792686655	0.000275072894955613	0	0.0217391304342977	0.000713775874730054	0.000217092409559239	4.12337118368852e-05	7.81788595995241e-05
UL51	L	cluster_4	0.00468412942790839	0	0.00783289817234027	0.00895522388107181	0	0	0	0.00578034682127385	0	0.0085836909867831	0.0025610927332926	0.0100502512555331	0.00282885431391093	0.00932090545859014	0.0110634454743148	0	0	0.00101211965055004	0.0217391304342977	0.00428265524640887	0	0.00772444884261094	0.00471205304984253
UL50	L	cluster_4	0.00372265023221066	0.0228571428567402	0.0313315926893611	0.0109452736317899	0	0	0.0526315789473684	0.0346820809240708	0	0.0386266094434338	0.00161135417677269	0.025125628141089	0.0268741159821539	0.0213049267642026	0	0.00738178814707356	0	0.00098310985122725	0.0217391304342977	0	0	0.00468689867423415	0.00327640491011372
UL49.5	L	cluster_5	0.0216825885969303	0.0457142857134804	0	0.0179104477640372	0.0254700854688742	0.0240745973458975	0.0350877192982456	0.034682080925857	0	0.0515021459245785	0.016380322270582	0.0502512562821781	0.0523338048092632	0.0519307589869954	0.02777150598145	0.0267396242012499	0.0211806128616583	0.0171447911293231	0.0652173913028932	0.0499643112035035	0.0421159273439701	0.0177854747370328	0
UL49	L	cluster_1	0.0109090909055145	0.00571428571325791	0.010443864229787	0.00696517412846016	0.00769230769131667	0.00774230008321934	0	0.0173410404620354	0	0	0.00844093479784401	0	0.0169731258834656	0.00932090546058615	0.00767667645597208	0.00774313442244531	0.00979259503735152	0.0101566529140612	0	0.00713775874335764	0.010999348723668	0.00815053053670503	0.0103906810801963
UL48	L	cluster_1	0.00276117103298779	0.00285714285662896	0	0.000995024876305823	0.00153846153945256	0.000960723367569069	0	0	0	0	0.00126987514681351	0	0	0	0.000451569202895546	0.000619450752246089	0.00143037905067046	0.00181794739558721	0	0.000713775874730054	0.000289456546673192	0.000975864532220394	0.00220322239010216
UL47	L	cluster_6	0.00145454545442111	0	0	0	0	0.00039559197416059	0	0	0	0	0.000853697575679655	0	0	0	0	0.000671071651494796	0.000440116631240375	0.000983109852635837	0	0	7.23641371139525e-05	0.000632250260095765	0.000881288958633547
UL46	L	cluster_3	0.0316178736520416	0.0314285714284814	0.0130548302872338	0.0338308457716756	0.0384615384625295	0.0200621644528723	0.0526315789473684	0.00578034682127385	0	0.0128755364811446	0.0079927435711203	0.0100502512555331	0.0042432814708664	0.0146471371506388	0.029351998192709	0.0244683047679543	0.00874731803858601	0.00928958225871653	0	0.017130620983664	0.0151964686299291	0.013222277201718	0.0128284400474766
UL27	L	cluster_1	0.0106872110943767	0.0200000000001113	0.00783289817234027	0.0268656716413219	0.0239316239314037	0.00729019497164345	0.0175438596491228	0.0231213872833093	0	0.00858369098872302	0.0110233699708022	0.0100502512555331	0.00282885431391093	0.0106524633821013	0.0160307067061658	0.0122857732812889	0	0.0134927797840649	0	0.00927908636951925	0.00513785367804685	0.00559404035509738	0.014541267773702
UL28	E	cluster_2	7.39599388085082e-05	0	0	0.000995024876305823	0	0	0	0	0	0	4.26848793311757e-05	0	0	0	0	5.16208953748677e-05	0	0	0	0.000713775874730054	7.23641371139525e-05	4.12337118368852e-05	2.13215062796371e-05
UL29	E	cluster_2	0	0	0.00261096605744676	0	0	0	0	0.0115606936407616	0	0	0	0	0.00282885431391093	0.00532623169204866	0.000451569205144812	0	0	0	0	0.0142755174886867	0	0	0
UL30	E	cluster_2	0.000160246534085101	0.0114285714265158	0	0	0.00153846153945256	0.000452105113326388	0	0	0	0.00429184549436151	0	0.00502512562776655	0	0.00532623169204866	0.000677353805467952	0.000412967168809699	0.000330087474291039	0	0	0.00214132762419016	0.000434184819118479	0.000109956566602674	0.000312715435157241
UL31	L	cluster_7	0.040887519263164	0.0114285714265158	0.0261096605744676	0.0388059701475241	0	0	0	0.0289017341045831	0	0.0171673819755061	0	0	0.0254596888251984	0.0213049267642026	0.0291262135923859	0.0293722899021696	0.0530890686042057	0	0	0.0149892933634168	0.0473985092962448	0	0
