cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0	0.00500715307578514	0	0.00263994366149227	0.00518623290915519	0.00430379858722285	0.00187949143175976	1.2364503714756e-05	6.11273103726955e-06
cluster_1	0.0064935064935065	0.0109246976200712	0.0559399601843008	0.00773072471032414	0.0218593287900066	0.0211018674645109	0.037490889274726	0.0491548114383207	0.0498675756942958
cluster_10	0	0	0.00813534383927907	0.000628140703470819	0.00141442715695547	0.00133832976437956	0.00299123714718245	0.0041777773013984	0.00462734241179628
cluster_11	0	0.00214592274718075	0.00266975979821004	0.00331299353895872	0.0021216407354332	0.00347707471369612	0.00318879582290456	0.00271306479071399	0.00302091459085872
cluster_12	0.0714285714285714	0.0643776824018432	0.0539308107713006	0.0931829368600214	0.0636492220658624	0.0612251026470477	0.0720024763671484	0.0611599496046689	0.0657473643242813
cluster_2	0	0.00786838340503616	0.000178433376826111	0.00389203746363951	0.00400754361137382	0.00526575651957713	0.000921173582664201	0.00104887776169937	0.000445954686530486
cluster_3	0.038961038961039	0.0167772142022333	0.0102944479462575	0.012901419287974	0.0140156872829061	0.0139862905453173	0.0119668825702482	0.0114386174542413	0.0101614160768098
cluster_4	0	0.00897385875952685	0.00272969129429053	0.0174196265884643	0.00540054005382997	0.00916081403943606	0.00521176148165508	0.00427853985863858	0.00343175383672301
cluster_5	0.0892857142857143	0.0912017167367529	0.0161675816693549	0.0827487004602499	0.0760254596897004	0.06711143401204	0.0359459912146506	0.0229219999917025	0.0255518740569516
cluster_6	0	0	0.000978222914783132	0.000358937544840468	0	0.000301552238153435	0.00063202786670633	0.000662133422254772	0.000712095923880309
cluster_7	0	0.00286123032925102	0.00229121167781354	0.000595238095131032	0.00447901933035898	0.00385988219709089	0.00648863111995069	0.00168620646484315	0.00302024829656653
cluster_8	0	0	6.16332823404235e-06	0	0	0.000652741514361689	0.00166538813644365	0.00160303568720513	3.71759058801555e-05
cluster_9	0	0.00107296137359038	0.00639374836096902	0.0027279253410629	0.0063649222062996	0.00718539616013587	0.00874885043198129	0.00857326566617118	0.00676003546711967
