gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
ORF-1	E	12h	12	C6	C6_12h	1951.199044			cluster_1
ORF-1	E	1h	1	C6	C6_1h	0			cluster_1
ORF-1	E	2h	2	C6	C6_2h	0			cluster_1
ORF-1	E	4h	4	C6	C6_4h	4203.888598			cluster_1
ORF-1	E	6h	6	C6	C6_6h	3363.518758			cluster_1
ORF-1	E	8h	8	C6	C6_8h	1807.909604			cluster_1
ORF-1	E	12h	12	NRK	NRK_12h	5673.212222			cluster_1
ORF-1	E	1h	1	NRK	NRK_1h	0			cluster_1
ORF-1	E	2h	2	NRK	NRK_2h	0			cluster_1
ORF-1	E	4h	4	NRK	NRK_4h	7042.253521			cluster_1
ORF-1	E	6h	6	NRK	NRK_6h	4977.801695			cluster_1
ORF-1	E	8h	8	NRK	NRK_8h	5881.391929			cluster_1
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_1
ORF-1	E	12h	12	PC_12	PC_12_12h	2504.999761			cluster_1
ORF-1	E	1h	1	PC_12	PC_12_1h	0			cluster_1
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	2220.57735			cluster_1
ORF-1	E	2h	2	PC_12	PC_12_2h	1334.222815			cluster_1
ORF-1	E	4h	4	PC_12	PC_12_4h	3914.876532			cluster_1
ORF-1	E	6h	6	PC_12	PC_12_6h	3997.65471			cluster_1
ORF-1	E	8h	8	PC_12	PC_12_8h	3770.931868			cluster_1
ORF-1	E	12h	12	PK_15	PK_15_12h	1478.260869			cluster_1
ORF-1	E	1h	1	PK_15	PK_15_1h	0			cluster_1
ORF-1	E	2h	2	PK_15	PK_15_2h	1086.169443			cluster_1
ORF-1	E	4h	4	PK_15	PK_15_4h	893.074612			cluster_1
ORF-1	E	6h	6	PK_15	PK_15_6h	1088.718457			cluster_1
ORF-1	E	8h	8	PK_15	PK_15_8h	1464.918706			cluster_1
UL54	E	12h	12	C6	C6_12h	720.335131			cluster_2
UL54	E	1h	1	C6	C6_1h	12326.656394			cluster_2
UL54	E	2h	2	C6	C6_2h	2478.314746			cluster_2
UL54	E	4h	4	C6	C6_4h	3152.916448			cluster_2
UL54	E	6h	6	C6	C6_6h	3880.983183			cluster_2
UL54	E	8h	8	C6	C6_8h	1581.920903			cluster_2
UL54	E	12h	12	NRK	NRK_12h	896.242056			cluster_2
UL54	E	1h	1	NRK	NRK_1h	0			cluster_2
UL54	E	2h	2	NRK	NRK_2h	6472.491909			cluster_2
UL54	E	4h	4	NRK	NRK_4h	1173.70892			cluster_2
UL54	E	6h	6	NRK	NRK_6h	1345.35181			cluster_2
UL54	E	8h	8	NRK	NRK_8h	1715.405979			cluster_2
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	22123.893806			cluster_2
UL54	E	12h	12	PC_12	PC_12_12h	327.629396			cluster_2
UL54	E	1h	1	PC_12	PC_12_1h	8908.685968			cluster_2
UL54	E	2.5h	2.5	PC_12	PC_12_2.5h	9622.50185			cluster_2
UL54	E	2h	2	PC_12	PC_12_2h	8005.336894			cluster_2
UL54	E	4h	4	PC_12	PC_12_4h	1606.103194			cluster_2
UL54	E	6h	6	PC_12	PC_12_6h	1332.551569			cluster_2
UL54	E	8h	8	PC_12	PC_12_8h	1086.539691			cluster_2
UL54	E	12h	12	PK_15	PK_15_12h	102.974828			cluster_2
UL54	E	1h	1	PK_15	PK_15_1h	0			cluster_2
UL54	E	2h	2	PK_15	PK_15_2h	8327.299059			cluster_2
UL54	E	4h	4	PK_15	PK_15_4h	1989.120728			cluster_2
UL54	E	6h	6	PK_15	PK_15_6h	983.878902			cluster_2
UL54	E	8h	8	PK_15	PK_15_8h	662.283606			cluster_2
UL53	L	12h	12	C6	C6_12h	251.767619			cluster_3
UL53	L	1h	1	C6	C6_1h	0			cluster_3
UL53	L	2h	2	C6	C6_2h	0			cluster_3
UL53	L	4h	4	C6	C6_4h	0			cluster_3
UL53	L	6h	6	C6	C6_6h	603.708496			cluster_3
UL53	L	8h	8	C6	C6_8h	96.8523			cluster_3
UL53	L	12h	12	NRK	NRK_12h	197.173252			cluster_3
UL53	L	1h	1	NRK	NRK_1h	0			cluster_3
UL53	L	2h	2	NRK	NRK_2h	0			cluster_3
UL53	L	4h	4	NRK	NRK_4h	586.85446			cluster_3
UL53	L	6h	6	NRK	NRK_6h	672.675905			cluster_3
UL53	L	8h	8	NRK	NRK_8h	571.801993			cluster_3
UL53	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_3
UL53	L	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_3
UL53	L	12h	12	PC_12	PC_12_12h	81.907349			cluster_3
UL53	L	1h	1	PC_12	PC_12_1h	0			cluster_3
UL53	L	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_3
UL53	L	2h	2	PC_12	PC_12_2h	0			cluster_3
UL53	L	4h	4	PC_12	PC_12_4h	100.38145			cluster_3
UL53	L	6h	6	PC_12	PC_12_6h	186.557219			cluster_3
UL53	L	8h	8	PC_12	PC_12_8h	255.656398			cluster_3
UL53	L	12h	12	PK_15	PK_15_12h	180.778032			cluster_3
UL53	L	1h	1	PK_15	PK_15_1h	0			cluster_3
UL53	L	2h	2	PK_15	PK_15_2h	362.056481			cluster_3
UL53	L	4h	4	PK_15	PK_15_4h	284.160105			cluster_3
UL53	L	6h	6	PK_15	PK_15_6h	354.841571			cluster_3
UL53	L	8h	8	PK_15	PK_15_8h	394.738573			cluster_3
UL52	E	12h	12	C6	C6_12h	83.922539			cluster_4
UL52	E	1h	1	C6	C6_1h	0			cluster_4
UL52	E	2h	2	C6	C6_2h	1239.157373			cluster_4
UL52	E	4h	4	C6	C6_4h	0			cluster_4
UL52	E	6h	6	C6	C6_6h	86.244071			cluster_4
UL52	E	8h	8	C6	C6_8h	32.2841			cluster_4
UL52	E	12h	12	NRK	NRK_12h	0			cluster_4
UL52	E	1h	1	NRK	NRK_1h	0			cluster_4
UL52	E	2h	2	NRK	NRK_2h	0			cluster_4
UL52	E	4h	4	NRK	NRK_4h	0			cluster_4
UL52	E	6h	6	NRK	NRK_6h	134.535181			cluster_4
UL52	E	8h	8	NRK	NRK_8h	163.371998			cluster_4
UL52	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_4
UL52	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_4
UL52	E	12h	12	PC_12	PC_12_12h	34.128062			cluster_4
UL52	E	1h	1	PC_12	PC_12_1h	0			cluster_4
UL52	E	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_4
UL52	E	2h	2	PC_12	PC_12_2h	0			cluster_4
UL52	E	4h	4	PC_12	PC_12_4h	0			cluster_4
UL52	E	6h	6	PC_12	PC_12_6h	53.302063			cluster_4
UL52	E	8h	8	PC_12	PC_12_8h	159.785249			cluster_4
UL52	E	12h	12	PK_15	PK_15_12h	0			cluster_4
UL52	E	1h	1	PK_15	PK_15_1h	2923.976608			cluster_4
UL52	E	2h	2	PK_15	PK_15_2h	362.056481			cluster_4
UL52	E	4h	4	PK_15	PK_15_4h	121.782902			cluster_4
UL52	E	6h	6	PK_15	PK_15_6h	24.193743			cluster_4
UL52	E	8h	8	PK_15	PK_15_8h	48.245826			cluster_4
UL51	L	12h	12	C6	C6_12h	2657.547083			cluster_5
UL51	L	1h	1	C6	C6_1h	0			cluster_5
UL51	L	2h	2	C6	C6_2h	3717.472119			cluster_5
UL51	L	4h	4	C6	C6_4h	4729.374672			cluster_5
UL51	L	6h	6	C6	C6_6h	0			cluster_5
UL51	L	8h	8	C6	C6_8h	0			cluster_5
UL51	L	12h	12	NRK	NRK_12h	1631.160544			cluster_5
UL51	L	1h	1	NRK	NRK_1h	0			cluster_5
UL51	L	2h	2	NRK	NRK_2h	3236.245955			cluster_5
UL51	L	4h	4	NRK	NRK_4h	0			cluster_5
UL51	L	6h	6	NRK	NRK_6h	4843.266514			cluster_5
UL51	L	8h	8	NRK	NRK_8h	0			cluster_5
UL51	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_5
UL51	L	1.5h	1.5	PC_12	PC_12_1.5h	4424.778761			cluster_5
UL51	L	12h	12	PC_12	PC_12_12h	1638.146983			cluster_5
UL51	L	1h	1	PC_12	PC_12_1h	4454.342984			cluster_5
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	1480.3849			cluster_5
UL51	L	2h	2	PC_12	PC_12_2h	4669.779853			cluster_5
UL51	L	4h	4	PC_12	PC_12_4h	4918.691027			cluster_5
UL51	L	6h	6	PC_12	PC_12_6h	0			cluster_5
UL51	L	8h	8	PC_12	PC_12_8h	0			cluster_5
UL51	L	12h	12	PK_15	PK_15_12h	718.53547			cluster_5
UL51	L	1h	1	PK_15	PK_15_1h	2923.976608			cluster_5
UL51	L	2h	2	PK_15	PK_15_2h	2172.338885			cluster_5
UL51	L	4h	4	PK_15	PK_15_4h	0			cluster_5
UL51	L	6h	6	PK_15	PK_15_6h	4532.294615			cluster_5
UL51	L	8h	8	PK_15	PK_15_8h	2907.907492			cluster_5
UL50	L	12h	12	C6	C6_12h	2112.050578			cluster_5
