cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0	2581.120944	0	1369.88268804167	2714.0389835	2258.14568320833	1453.55441166667	15.9152276666667	6.06667079166667
cluster_1	8960.57347666667	3810.22615555556	21846.4627811944	3553.65137718056	7155.19368355556	7489.19304872222	10787.2395462222	15248.405299625	17163.8966428472
cluster_10	0	1106.1946905	1494.53045725	1605.605334125	1110.288675	1732.020384125	1949.794821375	1184.823824375	1382.799096125
cluster_11	0	0	24.6117036	77.04160245	148.03849	33.3555704	108.2478193	32.28588305	66.29092015
cluster_12	0	0	1371.032523125	2836.875968625	370.096225	4991.335	3123.468699	2634.915257	2467.054569
cluster_2	0	5056.89001285714	133.7553505	2611.88173632143	1903.35201428571	2828.47329210714	562.49664725	617.128490142857	436.113127928571
cluster_3	3225.8064516	6415.9292037	2282.878382975	3720.230954775	4589.1931901	3554.05251045	3371.641731775	3134.46143915	3003.861601025
cluster_4	0	0	42.589892375	1116.202164375	370.096225	283.54065775	98.530591	136.056678625	99.8619785
cluster_5	0	7964.6017704	2529.18284675	7900.32037385	5773.50111	6764.48311875	4482.2814496	4110.89931295	3720.27346595
cluster_6	40322.580645	47013.27433675	9594.1704330625	36152.592127125	39785.34418925	34530.760526	21376.4202285625	11674.411252625	15843.8945485625
cluster_7	10752.688172	11307.7679451111	16654.8853184444	11038.65224025	13899.1693393333	13118.9820510278	16528.2204803611	15665.8296611389	17837.7340710278
cluster_8	0	0	4.8631845	0	0	309.78934325	588.998363	901.884711125	210.064535
cluster_9	0	0	5049.3698465	278.3964365	740.19245	678.8559015	1211.35401725	1895.99489575	2605.644709375
