gene	Kinetic_class	cluster	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	NRK_12h_1	NRK_12h_2	NRK_12h_3	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	NRK_4h_1	NRK_4h_2	NRK_4h_3	NRK_6h_1	NRK_6h_2	NRK_6h_3	NRK_8h_1	NRK_8h_2	NRK_8h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3
ORF-1	E	cluster_1	0.00288453004348984	0.00268463174956945	0.0025246729400964	0	0	0	0	0	0.00936329588014981	0.00548446069469835	0	0.00410958904109589	0.00443786982248521	0.00485436893203884	0.00228915662650602	0.00244157656086502	0.00248938351149509	0.011026878015162	0.00774517290280354	0.00661491527471532	0	0	0	0	0	0	0.0117647058823529	0.0116279069767442	0.0066006600660066	0.00450450450450451	0.00794070937003706	0.0079155672823219	0.0085348506401138	0.00473372781065089	0.012031466913466	0	0	0	0	0	0.0028924141221374	0.00413847100274034	0.00219882729211087	0	0	0	0	0.00657894736842105	0.00510204081632653	0	0	0.00544959128065395	0.00603708495040966	0.00643382352941176	0.00494845360824742	0.00456174649723037	0.00639677532422012	0.00577260076280796	0.00300985041955491	0.00707845285244796	0.0019230613844426	0.00264799900517164	0.00079524881135683	0	0	0	0	0	0.00249584026622296	0.0013880320789636	0.000752558699578567	0.0014986886474335	0.00145079639461662	0.00112520855158499	0.00165682370861281	0.0019531919268067	0.00240956215719223	0.00144068629056023
UL54	E	cluster_2	0.000576906008697968	0.000962415155506028	0.00179022263025017	0.0340909090909091	0	0.0266666666666667	0.00523560209424084	0.00284090909090909	0.00187265917602996	0.00731261425959781	0.00387596899224806	0.00593607305936073	0.00414201183431953	0.0065880721220527	0.00289156626506024	0.00220904545983025	0.000878605945233563	0.00117160578911096	0.00117268462964983	0.00126861388830157	0	0	0	0.0151515151515152	0.0212765957446809	0	0.00294117647058824	0.00193798449612403	0	0.00281531531531532	0.00211752249867655	0.000659630606860158	0.00237079184447606	0.00118343195266272	0.003239241092087	0	0	0.0212765957446809	0.0506329113924051	0.0388349514563107	0.000596374045801527	0.000484685793113733	0.000299840085287846	0.0212765957446809	0	0.0198019801980198	0.00961538461538462	0.0263157894736842	0.0153061224489796	0.0129449838187702	0.00772200772200772	0.0163487738419619	0.00129366106080207	0.00183823529411765	0.00371134020618557	0.00325839035516455	0.00157728706624606	0.00113390372126585	0.00164173659248449	0.00134827673379961	0.000169681886862582	0.000138983373199617	9.30610311162248e-05	0	0	0	0.0193548387096774	0.0174825174825175	0.00998336106489185	0.00277606415792721	0.00240818783865142	0.0028100412139378	0.000833436226694654	0.00162961238505413	0.00160337778252853	0.00089092965082411	0.000713357217589804	0.000965914672080155
UL53	L	cluster_1	0.000355019082275672	0.000303920575422956	0.000550837732384668	0	0	0	0	0	0	0	0.00387596899224806	0.00182648401826484	0.00029585798816568	0.000693481276005548	0.00036144578313253	0	0	0	0.000327260826879023	0.000332256018364696	0	0	0	0	0	0	0.00294117647058824	0	0	0.00168918918918919	0.000529380624669137	0.000659630606860158	0.000237079184447606	0	0.002776492364646	0	0	0	0	0	0.000149093511450382	9.32088063680257e-05	0.000166577825159915	0	0	0	0	0	0	0	0	0	0	0	0.000412371134020619	0.000488758553274682	0	0.000412328625914854	0.000364830353885443	0.000337069183449903	0.000202002246264978	0.000241392174504597	0.000194582155970288	0	0	0	0	0	0.000831946755407654	0	0.000752558699578567	0.000374672161858374	0.000617360167921966	0.000465603538586893	0.000347398519547847	0.000479731350443752	0.000364604800101455	0.000523885923840084
UL52	E	cluster_3	8.87547705689181e-05	0.000126633573092898	0.000229515721826945	0	0	0	0.00523560209424084	0	0	0	0	0	0	0.000346740638002774	0	0.000116265550517382	0	6.89179875947622e-05	2.72717355732519e-05	0	0	0	0	0	0	0	0	0	0	0.000563063063063063	0	0	0.000237079184447606	0.000394477317554241	0	0	0	0	0	0	2.98187022900763e-05	7.45670450944205e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162919517758227	0	0.000103082156478714	9.12075884713608e-05	0.000337069183449903	8.08008985059914e-06	7.31491437892719e-06	1.69201874756772e-05	0.0208333333333333	0	0	0	0.0034965034965035	0	0	0	0.000562008242787561	3.08680083960983e-05	0.000116400884646723	5.34459260842842e-05	6.85330500633931e-05	6.3409530452427e-05	6.54857404800105e-05
UL51	L	cluster_4	0.00301766219934321	0.00339377975888968	0.00394767041542346	0.00568181818181818	0.0116959064327485	0	0.00523560209424084	0.00568181818181818	0.00936329588014981	0.00548446069469835	0.00387596899224806	0.00593607305936073	0.00443786982248521	0.00277392510402219	0.00530120481927711	0.00348796651552145	0.00629667594084053	0.00179186767746382	0.00261808661503218	0.00175189536955931	0	0	0	0	0	0.0116279069767442	0.00588235294117647	0.0155038759689922	0.0132013201320132	0.00900900900900901	0.00529380624669137	0.00527704485488127	0.00213371266002845	0.00355029585798817	0.00462748727441	0	0	0	0	0.0194174757281553	0.00232585877862595	0.00160319146953004	0.00279850746268657	0	0	0.0198019801980198	0	0	0.00510204081632653	0.00323624595469256	0	0.0163487738419619	0.00560586459680897	0.00551470588235294	0.00948453608247423	0.00374714890843923	0.0055205047318612	0.00505102566745696	0.00501641736592485	0.00235948428414932	0.000694887727151526	0.00065102737972452	0.00106597181096767	0.0208333333333333	0	0	0.0032258064516129	0.0104895104895105	0.00166389351081531	0.0165021591610117	0.0150511739915713	0.0108654926938928	0.00611186566242746	0.00589764482210065	0.00521097779321771	0.00303258746530514	0.00291683840081164	0.0043548017419207
UL50	L	cluster_4	0.00235200142007633	0.00374835376354979	0.00298370438375029	0.0170454545454545	0.0175438596491228	0.0266666666666667	0.0209424083769634	0.0227272727272727	0.00749063670411985	0.00731261425959781	0.0116279069767442	0.0132420091324201	0.00769230769230769	0.0065880721220527	0.00650602409638554	0.00616207417742123	0.0071752818860741	0.00647829083390765	0.00591796661939566	0.00486301990515601	0.05	0.0384615384615385	0.0714285714285714	0.0454545454545455	0.0425531914893617	0.0116279069767442	0.0176470588235294	0.0155038759689922	0.0132013201320132	0.00619369369369369	0.00741132874536792	0.00659630606860158	0.00758653390232338	0.0106508875739645	0.00647848218417399	0	0	0.0319148936170213	0.0379746835443038	0.029126213592233	0.00143129770992366	0.00143541561806759	0.00123267590618337	0.0212765957446809	0.0161290322580645	0.0198019801980198	0.0224358974358974	0.0263157894736842	0.0204081632653061	0.00647249190938511	0.0193050193050193	0.0245231607629428	0.0107805088400172	0.0137867647058824	0.00989690721649484	0.0065167807103291	0.00604626708727655	0.00422636841562726	0.00291864283108355	0.00185388050897447	0.000904970063267104	0.000943623954881608	0.000719107967716282	0	0.024390243902439	0	0.0193548387096774	0.0174825174825175	0.0108153078202995	0.00894509561998766	0.00933172787477423	0.00693143499437992	0.00311766884800593	0.00322042447522601	0.0047566874215013	0.00296405441524175	0.00294854316603786	0.00232474378704037
UL49.5	L	cluster_4	0.015177065767285	0.0187924222469861	0.0182235483130594	0.0454545454545455	0.0350877192982456	0.0266666666666667	0.0157068062827225	0.0426136363636364	0.0168539325842697	0.0109689213893967	0.0116279069767442	0.0182648401826484	0.0186390532544379	0.018377253814147	0.022289156626506	0.0169747703755377	0.0175721189046713	0.00634045485871813	0.0155176175411803	0.0130183949013804	0.05	0.0384615384615385	0	0.0606060606060606	0	0.0232558139534884	0.0235294117647059	0.0174418604651163	0.0132013201320132	0.0140765765765766	0.0132345156167284	0.0112137203166227	0.0118539592223803	0.0134122287968442	0.015270708005553	0	0	0.0638297872340426	0.0253164556962025	0.0388349514563107	0.0139253339694656	0.0121544283503905	0.0160581023454158	0.0638297872340426	0.0483870967741936	0.0099009900990099	0.0448717948717949	0.0460526315789474	0.0459183673469388	0.0453074433656958	0.0463320463320463	0.0381471389645777	0.0224234583872359	0.015625	0.017319587628866	0.0210166177908113	0.0195408342096039	0.0198948562003917	0.0151404596862459	0.0204769528945816	0.0123382972018649	0.0170583803316582	0.0148728447911203	0.0208333333333333	0.024390243902439	0.0294117647058824	0.0580645161290323	0.0769230769230769	0.0257903494176373	0.0363972856261567	0.0313064419024684	0.0335331584863245	0.0155266082232374	0.018662941838358	0.0104219555864354	0.0151629373265257	0.0118258774293776	0.0157002062800825
UL49	L	cluster_1	0.00896423182746073	0.0079779151048526	0.00817075969703925	0.0113636363636364	0	0	0.0104712041884817	0.00568181818181818	0.00374531835205993	0.0036563071297989	0.0116279069767442	0.0045662100456621	0.00621301775147929	0.00450762829403606	0.00614457831325301	0.00534821532379956	0.00600380729242935	0.00654720882150241	0.0103087160466892	0.00740024768175914	0	0	0	0	0.0212765957446809	0.0232558139534884	0.00294117647058824	0.0116279069767442	0.0066006600660066	0.00675675675675676	0.0042350449973531	0.00593667546174143	0.00663821716453295	0.0102564102564103	0.00786672836649699	0	0	0	0	0	0.00796159351145038	0.00594672184628004	0.00699626865671642	0	0	0	0.016025641025641	0.0131578947368421	0.0127551020408163	0.00323624595469256	0.0154440154440154	0.00544959128065395	0.00517464424320828	0.00367647058823529	0.00577319587628866	0.00586510263929619	0.00630914826498423	0.00463869704154211	0.00583728566216709	0.0100278082076346	0.00811241021000154	0.0105919960206866	0.00667501395915467	0	0	0	0.0032258064516129	0.00699300699300699	0.00582362728785358	0.00863664404688464	0.00752558699578567	0.00880479580367179	0.00645141375478454	0.00644084895045202	0.00614628149969269	0.00889216324572525	0.00752988174122571	0.00808748894928129
UL48	L	cluster_5	4.4377385284459e-05	2.53267146185797e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08008985059914e-06	7.31491437892719e-06	1.69201874756772e-05	0	0	0	0	0	0	0	0	0	0	0	2.67229630421421e-05	0	0	0
UL47	L	cluster_6	0.00126475548060708	0.00131698916016614	0.000780353454211614	0	0	0	0	0	0	0	0	0	0	0	0.000240963855421687	0.000465062202069527	0	0.000137835975189524	5.45434711465038e-05	9.06152777358263e-05	0	0	0	0	0	0	0	0	0	0	0	0.000659630606860158	0.00118539592223803	0	0	0	0	0	0	0	0.000924379770992366	0.00065246164457618	0.000666311300639659	0	0	0	0	0	0	0	0	0	0	0	0	0.000488758553274682	0.000525762355415352	0.000412328625914854	0.000182415176942722	0.000505603775174855	0.000880729793715306	0.000533988749661685	0.00109981218591902	0	0	0	0	0	0	0	0	0.000187336080929187	0.000709964193110261	0.000426803243704652	0.00037412148258999	0.000839529863276565	0.000697504834976697	0.000605743099440097
