gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
ORF-1	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_1
ORF-1	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_1
ORF-1	E	12h	12	C6	C6_dcDNA_12h	0.00269794491105189	0.000180297570469412	0.0668277434912919	cluster_1
ORF-1	E	12h	12	NRK	NRK_dcDNA_12h	0.00846232206422694	0.00229174191294964	0.270817146352489	cluster_1
ORF-1	E	12h	12	PC-12	PC-12_dcDNA_12h	0.00307657080566287	0.000982847747167095	0.319462092456322	cluster_1
ORF-1	E	12h	12	PK-15	PK-15_dcDNA_12h	0.00178876973365702	0.000933646884948075	0.521949173994181	cluster_1
ORF-1	E	1h	1	C6	C6_dcDNA_1h	0	0		cluster_1
ORF-1	E	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_1
ORF-1	E	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_1
ORF-1	E	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_1
ORF-1	E	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.00389366272824919	0.00345192269929711	0.886548974633272	cluster_1
ORF-1	E	2h	2	C6	C6_dcDNA_2h	0	0		cluster_1
ORF-1	E	2h	2	NRK	NRK_dcDNA_2h	0	0		cluster_1
ORF-1	E	2h	2	PC-12	PC-12_dcDNA_2h	0.00181653042688465	0.003146322992859	1.73205080756888	cluster_1
ORF-1	E	2h	2	PK-15	PK-15_dcDNA_2h	0.000831946755407654	0.00144097404955813	1.73205080756888	cluster_1
ORF-1	E	4h	4	C6	C6_dcDNA_4h	0.00494925219161606	0.00470453648525934	0.950555013791526	cluster_1
ORF-1	E	4h	4	NRK	NRK_dcDNA_4h	0.00999775764170124	0.00294276781945786	0.294342784144256	cluster_1
ORF-1	E	4h	4	PC-12	PC-12_dcDNA_4h	0.00580645402935628	0.000769073414560917	0.132451477385791	cluster_1
ORF-1	E	4h	4	PK-15	PK-15_dcDNA_4h	0.00121309314199189	0.000402653943881213	0.331923353568761	cluster_1
ORF-1	E	6h	6	C6	C6_dcDNA_6h	0.00446727593187331	0.000373259709773577	0.0835542096494259	cluster_1
ORF-1	E	6h	6	NRK	NRK_dcDNA_6h	0.00678692705228782	0.00197667588291959	0.291247551018434	cluster_1
ORF-1	E	6h	6	PC-12	PC-12_dcDNA_6h	0.00557704086141948	0.000933014177407904	0.167295560601367	cluster_1
ORF-1	E	6h	6	PK-15	PK-15_dcDNA_6h	0.00141094288493814	0.000268038981252163	0.189971531883741	cluster_1
ORF-1	E	8h	8	C6	C6_dcDNA_8h	0.00240670556628871	0.000104569073177312	0.0434490511186893	cluster_1
ORF-1	E	8h	8	NRK	NRK_dcDNA_8h	0.00843334845474356	0.00364992822167989	0.432797036819568	cluster_1
ORF-1	E	8h	8	PC-12	PC-12_dcDNA_8h	0.00504415163600144	0.00287693637025077	0.570350889080597	cluster_1
ORF-1	E	8h	8	PK-15	PK-15_dcDNA_8h	0.00193448012485305	0.000484708891897745	0.250562869925874	cluster_1
UL54	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_2
UL54	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.0369148195311322	0.0147720512136863	0.400165879213585	cluster_2
UL54	E	12h	12	C6	C6_dcDNA_12h	0.00110984793148472	0.000619948887899883	0.558589037572502	cluster_2
UL54	E	12h	12	NRK	NRK_dcDNA_12h	0.00120430143568745	5.56988298365345e-05	0.046249907362055	cluster_2
UL54	E	12h	12	PC-12	PC-12_dcDNA_12h	0.000460299974734369	0.000149763475313595	0.325360598596645	cluster_2
UL54	E	12h	12	PK-15	PK-15_dcDNA_12h	0.000133908763726141	3.85616730680508e-05	0.287969748917359	cluster_2
UL54	E	1h	1	C6	C6_dcDNA_1h	0.0202525252525253	0.0179277279157625	0.885209508060094	cluster_2
UL54	E	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_2
UL54	E	1h	1	PC-12	PC-12_dcDNA_1h	0.0136928586475669	0.0118812628204791	0.867697763212528	cluster_2
UL54	E	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_2
UL54	E	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.0170790988460161	0.00849019814763564	0.497110428611171	cluster_2
UL54	E	2h	2	C6	C6_dcDNA_2h	0.00403825559257496	0.00169330366151586	0.419315623466056	cluster_2
UL54	E	2h	2	NRK	NRK_dcDNA_2h	0.0121427036320653	0.0109527663944012	0.90200392979024	cluster_2
UL54	E	2h	2	PC-12	PC-12_dcDNA_2h	0.0123385884609133	0.00434523416165573	0.352166228367269	cluster_2
UL54	E	2h	2	PK-15	PK-15_dcDNA_2h	0.0156069057523623	0.00495929307799014	0.317762736360441	cluster_2
UL54	E	4h	4	C6	C6_dcDNA_4h	0.00435374747595861	0.00275126916848052	0.631931269250921	cluster_2
UL54	E	4h	4	NRK	NRK_dcDNA_4h	0.00162638698890409	0.00149514197073881	0.919302712662675	cluster_2
UL54	E	4h	4	PC-12	PC-12_dcDNA_4h	0.00228107885370176	0.00126821761784183	0.555972721321648	cluster_2
UL54	E	4h	4	PK-15	PK-15_dcDNA_4h	0.00266476440350547	0.000222850309194354	0.0836285222442915	cluster_2
UL54	E	6h	6	C6	C6_dcDNA_6h	0.00555538567191099	0.00126668658239867	0.228010557179362	cluster_2
UL54	E	6h	6	NRK	NRK_dcDNA_6h	0.00186415614028401	0.00109995000988257	0.5900525101481	cluster_2
UL54	E	6h	6	PC-12	PC-12_dcDNA_6h	0.00198986038089215	0.00112072450645647	0.563217659499305	cluster_2
UL54	E	6h	6	PK-15	PK-15_dcDNA_6h	0.0013554754647591	0.000452289495955413	0.333675900239032	cluster_2
UL54	E	8h	8	C6	C6_dcDNA_8h	0.00199307255670802	0.00102371164566076	0.513634911190408	cluster_2
UL54	E	8h	8	NRK	NRK_dcDNA_8h	0.00226448829640859	0.00103201896188195	0.455740470603755	cluster_2
UL54	E	8h	8	PC-12	PC-12_dcDNA_8h	0.00149500666314205	0.000207507456082126	0.138800355341566	cluster_2
UL54	E	8h	8	PK-15	PK-15_dcDNA_8h	0.000856733846831356	0.000129704786776335	0.151394493466145	cluster_2
UL53	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_1
UL53	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_1
UL53	L	12h	12	C6	C6_dcDNA_12h	0.000403259130027766	0.000130335518013537	0.3232053741835	cluster_1
UL53	L	12h	12	NRK	NRK_dcDNA_12h	0.000219838948414573	0.000190402495820075	0.866099920843022	cluster_1
UL53	L	12h	12	PC-12	PC-12_dcDNA_12h	0.000136293380992774	3.83227834899812e-05	0.281178610515304	cluster_1
UL53	L	12h	12	PK-15	PK-15_dcDNA_12h	0.000212658858913288	2.5158835498641e-05	0.118306077758555	cluster_1
UL53	L	1h	1	C6	C6_dcDNA_1h	0	0		cluster_1
UL53	L	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_1
