gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
CTO-M	6	0.904385426334101	0.990590852520006	0.40817102815416	0.0147164132990026	0.00210385518005572	0.00526104013183892	-1.05842935812095	1.29068166103276	0.244631033159023	1	0.585342125592772	1	0.0221247388540697	0.0198021920575557
CTO-S	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.328654399212453	5	1.11728735837747	1
ELIE	9	0.920040840746425	0.993820329650911	0.364886584014876	0.0135361636472082	0.00153489325797242	0.00514377239081358	-1.07814380927797	1.42357109374157	0.00343336171870029	11	0.252756425847977	1	1.09723715683908e-05	9.82054570484438e-06
EP0	12	0.328937238604319	0.899433858105394	0.213095336056679	0.0622540803138466	0.0161273686457458	0.00432089717114232	-0.2413026000299	1.03702969946759	0.181701538937805	2	0.613876642226864	3	0.0791584501858523	0.0708487835222681
IE180	3	0.962107747362992	0.995910046027056	0.567258054960839	0.00652592498691827	0.000966342108248573	0.00540195003871698	-1.40697493267605	1.23757730588646	0.0234162509008317	10	0.449543235800997	2	0.445339905908153	0.398590302278975
NOIR	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	4	0.139777633099302	15	0.091653207307264	0.0820319021960144
NOIR_2	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	4	0.142102215007138	13	0.0916191604064031	0.0820014293721651
ORF-1	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.23654858268419	7	0.0949780682296776	0.0850077354921523
UL1	12	0.328937238604319	0.899433858105394	0.213095336056679	0.0622540803138466	0.0161273686457458	0.00432089717114232	-0.2413026000299	1.03702969946759	0.181701538937805	4	0.683996380111008	2	0.0458994009363115	0.0410811064782535
UL10	6	0.904385426334101	0.990590852520006	0.40817102815416	0.0147164132990026	0.00210385518005572	0.00526104013183892	-1.05842935812095	1.29068166103276	0.244631033159023	1	0.376190441100205	4	0.0561826126981817	0.050284837000009
UL11	4	0.970744148910536	0.998138322187578	0.440687197606452	0.00558479562904581	0.000502133557287501	0.00537412545650684	-1.37573414629588	1.52496129887146	0.368089647292873	1	0.111557494801262	9	0.0829992881383221	0.0742864291052697
UL12	2	0.920396346278305	0.996131552553266	0.256589491102797	0.0152471204768953	0.00112366779005226	0.00466433417179559	-1.00472266982181	1.65861840436661	0.424387805413487	4	0.551370100850954	4	0.00487482175205151	0.00436308682408323
UL13	2	0.920396346278305	0.996131552553266	0.256589491102797	0.0152471204768953	0.00112366779005226	0.00466433417179559	-1.00472266982181	1.65861840436661	0.424387805413487	4	0.740790301313689	1	0.00277880880592593	0.00248710305821532
UL14	7	0.947971227410594	0.996816878768853	0.358829226677206	0.00962814719704779	0.000858260131245725	0.00514651749061356	-1.18335308485633	1.54494306508413	0.237485220536491	4	0.831577629741417	4	0.00510262099191838	0.00456697281470044
UL15	7	0.947971227410594	0.996816878768853	0.358829226677206	0.00962814719704779	0.000858260131245725	0.00514651749061356	-1.18335308485633	1.54494306508413	0.237485220536491	4	0.88606187172207	2	0.00777217071781964	0.00695628627634918
UL16	4	0.970744148910536	0.998138322187578	0.440687197606452	0.00558479562904581	0.000502133557287501	0.00537412545650684	-1.37573414629588	1.52496129887146	0.368089647292873	1	-0.227894071328718	15	0.0567589662387319	0.0508006877668047
UL17	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.170357726159621	11	0.0989598138726445	0.0885714969659679
UL18	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.407548399508224	2	0.0471365319990023	0.0421883695770568
UL19	10	0.816554498523345	0.984918540862092	0.270022867124385	0.0277215069012142	0.00352179265169185	0.0047126419491183	-0.777600275696246	1.39034410914543	0.140456517229208	6	0.652392612814362	2	0.0156058419716332	0.0139676170634348
UL2	2	0.920396346278305	0.996131552553266	0.256589491102797	0.0152471204768953	0.00112366779005226	0.00466433417179559	-1.00472266982181	1.65861840436661	0.424387805413487	4	0.577805513889224	3	0.00508115806563036	0.00454776296136496
UL20	7	0.947971227410594	0.996816878768853	0.358829226677206	0.00962814719704779	0.000858260131245725	0.00514651749061356	-1.18335308485633	1.54494306508413	0.237485220536491	4	0.889045151322546	1	0.00492637553280817	0.00440922874126337
UL21	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	8	0.468102466176513	1	0.0935107821142888	0.0836944778916012
UL22	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	7	-0.349806376411935	22	0.0950219901197334	0.0850470466771635
UL23	4	0.970744148910536	0.998138322187578	0.440687197606452	0.00558479562904581	0.000502133557287501	0.00537412545650684	-1.37573414629588	1.52496129887146	0.368089647292873	2	0.359715297844385	1	0.0514617923906393	0.0460595853025423
UL24	8	0.805375875284146	0.978433742143533	0.336497454776962	0.0260377084359278	0.00436689138334382	0.0050279127193679	-0.800191627415938	1.22223287652387	0.0111713387766905	1	0.621758569953236	2	0.00126103392367003	0.00112865675442825
UL25	6	0.904385426334101	0.990590852520006	0.40817102815416	0.0147164132990026	0.00210385518005572	0.00526104013183892	-1.05842935812095	1.29068166103276	0.244631033159023	9	0.074320898554219	7	0.0233896634213885	0.020934331034905
UL26	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.103443541091916	17	0.0856739195780307	0.0766802908272825
UL26.5	4	0.970744148910536	0.998138322187578	0.440687197606452	0.00558479562904581	0.000502133557287501	0.00537412545650684	-1.37573414629588	1.52496129887146	0.368089647292873	1	0.0441630926404559	10	0.101741400441884	0.0910610861914996
UL27	6	0.904385426334101	0.990590852520006	0.40817102815416	0.0147164132990026	0.00210385518005572	0.00526104013183892	-1.05842935812095	1.29068166103276	0.244631033159023	1	0.170824796760356	6	0.0203342704811776	0.0181996782910952
UL28	7	0.947971227410594	0.996816878768853	0.358829226677206	0.00962814719704779	0.000858260131245725	0.00514651749061356	-1.18335308485633	1.54494306508413	0.237485220536491	12	0.880133522557533	3	0.00800243230451488	0.00716237612867655
UL29	7	0.947971227410594	0.996816878768853	0.358829226677206	0.00962814719704779	0.000858260131245725	0.00514651749061356	-1.18335308485633	1.54494306508413	0.237485220536491	2	0.666165293689127	5	0.0250979395611856	0.0224632807066151
UL3	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	4	0.0319433314042208	20	0.0948959482823765	0.084934236094987
UL3.5	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.142080845964516	14	0.0537208252894026	0.0480814759843128
UL30	2	0.920396346278305	0.996131552553266	0.256589491102797	0.0152471204768953	0.00112366779005226	0.00466433417179559	-1.00472266982181	1.65861840436661	0.424387805413487	4	0.698423178133376	2	0.00504901740909261	0.00451899627363977
UL31	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	8	0.391035831815881	3	0.043073036789462	0.0385514402060477
UL32	8	0.805375875284146	0.978433742143533	0.336497454776962	0.0260377084359278	0.00436689138334382	0.0050279127193679	-0.800191627415938	1.22223287652387	0.0111713387766905	1	0.632954524033221	1	0.00366284477298446	0.00327833725632022
UL33	1	0.931338647483896	0.988406392802183	0.637922973661023	0.0103903039963207	0.00238079868078862	0.00524000593938373	-1.31162415854632	0.958711676257637	0.142686008808924	6	0.185639445439701	8	0.0998414819885301	0.0893606118783267
