gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	libtype	sample_name	norm.method	mean	sd	varcoeff	cluster
AZURE	E	""		C6	C6_dRNA	LT934125.1	-	3	C6_dRNA	0	dcDNA	C6_dRNA	viral_read.count	0			cluster_1
AZURE	E	""		PC-12	PC-12_dRNA	LT934125.1	-	20	PC-12_dRNA	0	dcDNA	PC-12_dRNA	viral_read.count	0			cluster_1
AZURE	E	""		PK-15	PK-15_dRNA	LT934125.1	-	68	PK-15_dRNA	0	dcDNA	PK-15_dRNA	viral_read.count	0			cluster_1
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	LT934125.1	-	13	PC-12_0.5h_1	0	dcDNA	PC-12_0.5h_1	viral_read.count	0	0		cluster_1
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	LT934125.1	-	13	PC-12_0.5h_2	0	dcDNA	PC-12_0.5h_2	viral_read.count	0	0		cluster_1
AZURE	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	LT934125.1	-	2	PC-12_0.5h_3	0	dcDNA	PC-12_0.5h_3	viral_read.count	0	0		cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	138	PC-12_1.5h_1	0	dcDNA	PC-12_1.5h_1	viral_read.count	0	0		cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	129	PC-12_1.5h_2	0	dcDNA	PC-12_1.5h_2	viral_read.count	0	0		cluster_1
AZURE	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	LT934125.1	-	152	PC-12_1.5h_3	0	dcDNA	PC-12_1.5h_3	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	56266	C6_12h_1	0	dcDNA	C6_12h_1	viral_read.count	1.86795737335219e-05	1.79012980115716e-05	0.958335466694636	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	49131	C6_12h_2	2.03537481427205e-05	dcDNA	C6_12h_2	viral_read.count	1.86795737335219e-05	1.79012980115716e-05	0.958335466694636	cluster_1
AZURE	E	12h	12	C6	C6_dcDNA_12h	LT934125.1	-	28023	C6_12h_3	3.56849730578453e-05	dcDNA	C6_12h_3	viral_read.count	1.86795737335219e-05	1.79012980115716e-05	0.958335466694636	cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	40118	PC-12_12h_1	0	dcDNA	PC-12_12h_1	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	64296	PC-12_12h_2	0	dcDNA	PC-12_12h_2	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	PC-12	PC-12_dcDNA_12h	LT934125.1	-	35654	PC-12_12h_3	0	dcDNA	PC-12_12h_3	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	137055	PK-15_12h_1	0	dcDNA	PK-15_12h_1	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	155287	PK-15_12h_2	0	dcDNA	PK-15_12h_2	viral_read.count	0	0		cluster_1
AZURE	E	12h	12	PK-15	PK-15_dcDNA_12h	LT934125.1	-	135039	PK-15_12h_3	0	dcDNA	PK-15_12h_3	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	246	C6_1h_1	0	dcDNA	C6_1h_1	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	240	C6_1h_2	0	dcDNA	C6_1h_2	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	C6	C6_dcDNA_1h	LT934125.1	-	102	C6_1h_3	0	dcDNA	C6_1h_3	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	25	NRK_1h_1	0	dcDNA	NRK_1h_1	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	54	NRK_1h_2	0	dcDNA	NRK_1h_2	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	NRK	NRK_dcDNA_1h	LT934125.1	-	20	NRK_1h_3	0	dcDNA	NRK_1h_3	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	PC-12	PC-12_dcDNA_1h	LT934125.1	-	154	PC-12_1h_1	0	dcDNA	PC-12_1h_1	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	PC-12	PC-12_dcDNA_1h	LT934125.1	-	93	PC-12_1h_2	0	dcDNA	PC-12_1h_2	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	PC-12	PC-12_dcDNA_1h	LT934125.1	-	158	PC-12_1h_3	0	dcDNA	PC-12_1h_3	viral_read.count	0	0		cluster_1
AZURE	E	1h	1	PK-15	PK-15_dcDNA_1h	LT934125.1	-	129	PK-15_1h_1	0	dcDNA	PK-15_1h_1	viral_read.count	0	0		cluster_1
