gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method
ORF-1	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
ORF-1	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	WO
ORF-1	E	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	1951.199044	1951.199044			dcDNA	C6_12h	WO
ORF-1	E	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	2504.999761	2504.999761			dcDNA	PC_12_12h	WO
ORF-1	E	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	1478.260869	1478.260869			dcDNA	PK_15_12h	WO
ORF-1	E	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	0	0			dcDNA	C6_1h	WO
ORF-1	E	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
ORF-1	E	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	0	0			dcDNA	PC_12_1h	WO
ORF-1	E	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	0	0			dcDNA	PK_15_1h	WO
ORF-1	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	2220.57735	2220.57735			dcDNA	PC_12_2.5h	WO
ORF-1	E	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	0	0			dcDNA	C6_2h	WO
ORF-1	E	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	0	0			dcDNA	NRK_2h	WO
ORF-1	E	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	1334.222815	1334.222815			dcDNA	PC_12_2h	WO
ORF-1	E	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	1086.169443	1086.169443			dcDNA	PK_15_2h	WO
ORF-1	E	4h	4	C6	C6_4h	LT934125.1	+	1	C6_4h	4203.888598	4203.888598			dcDNA	C6_4h	WO
ORF-1	E	4h	4	PC_12	PC_12_4h	LT934125.1	+	1	PC_12_4h	3914.876532	3914.876532			dcDNA	PC_12_4h	WO
ORF-1	E	4h	4	PK_15	PK_15_4h	LT934125.1	+	1	PK_15_4h	893.074612	893.074612			dcDNA	PK_15_4h	WO
ORF-1	E	6h	6	C6	C6_6h	LT934125.1	+	1	C6_6h	3363.518758	3363.518758			dcDNA	C6_6h	WO
ORF-1	E	6h	6	PC_12	PC_12_6h	LT934125.1	+	1	PC_12_6h	3997.65471	3997.65471			dcDNA	PC_12_6h	WO
ORF-1	E	6h	6	PK_15	PK_15_6h	LT934125.1	+	1	PK_15_6h	1088.718457	1088.718457			dcDNA	PK_15_6h	WO
ORF-1	E	8h	8	C6	C6_8h	LT934125.1	+	1	C6_8h	1807.909604	1807.909604			dcDNA	C6_8h	WO
ORF-1	E	8h	8	PC_12	PC_12_8h	LT934125.1	+	1	PC_12_8h	3770.931868	3770.931868			dcDNA	PC_12_8h	WO
ORF-1	E	8h	8	PK_15	PK_15_8h	LT934125.1	+	1	PK_15_8h	1464.918706	1464.918706			dcDNA	PK_15_8h	WO
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1	PC_12_1.5h	22123.893806	22123.893806			dcDNA	PC_12_1.5h	WO
UL54	E	12h	12	C6	C6_12h	LT934125.1	-	1	C6_12h	720.335131	720.335131			dcDNA	C6_12h	WO
UL54	E	12h	12	PC_12	PC_12_12h	LT934125.1	-	1	PC_12_12h	327.629396	327.629396			dcDNA	PC_12_12h	WO
UL54	E	12h	12	PK_15	PK_15_12h	LT934125.1	-	1	PK_15_12h	102.974828	102.974828			dcDNA	PK_15_12h	WO
UL54	E	1h	1	C6	C6_1h	LT934125.1	-	1	C6_1h	12326.656394	12326.656394			dcDNA	C6_1h	WO
UL54	E	1h	1	NRK	NRK_1h	LT934125.1	-	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL54	E	1h	1	PC_12	PC_12_1h	LT934125.1	-	1	PC_12_1h	8908.685968	8908.685968			dcDNA	PC_12_1h	WO
UL54	E	1h	1	PK_15	PK_15_1h	LT934125.1	-	1	PK_15_1h	0	0			dcDNA	PK_15_1h	WO
UL54	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1	PC_12_2.5h	9622.50185	9622.50185			dcDNA	PC_12_2.5h	WO
UL54	E	2h	2	C6	C6_2h	LT934125.1	-	1	C6_2h	2478.314746	2478.314746			dcDNA	C6_2h	WO
UL54	E	2h	2	NRK	NRK_2h	LT934125.1	-	1	NRK_2h	6472.491909	6472.491909			dcDNA	NRK_2h	WO
UL54	E	2h	2	PC_12	PC_12_2h	LT934125.1	-	1	PC_12_2h	8005.336894	8005.336894			dcDNA	PC_12_2h	WO
UL54	E	2h	2	PK_15	PK_15_2h	LT934125.1	-	1	PK_15_2h	8327.299059	8327.299059			dcDNA	PK_15_2h	WO
UL54	E	4h	4	C6	C6_4h	LT934125.1	-	1	C6_4h	3152.916448	3152.916448			dcDNA	C6_4h	WO
UL54	E	4h	4	PC_12	PC_12_4h	LT934125.1	-	1	PC_12_4h	1606.103194	1606.103194			dcDNA	PC_12_4h	WO
UL54	E	4h	4	PK_15	PK_15_4h	LT934125.1	-	1	PK_15_4h	1989.120728	1989.120728			dcDNA	PK_15_4h	WO
UL54	E	6h	6	C6	C6_6h	LT934125.1	-	1	C6_6h	3880.983183	3880.983183			dcDNA	C6_6h	WO
UL54	E	6h	6	PC_12	PC_12_6h	LT934125.1	-	1	PC_12_6h	1332.551569	1332.551569			dcDNA	PC_12_6h	WO
UL54	E	6h	6	PK_15	PK_15_6h	LT934125.1	-	1	PK_15_6h	983.878902	983.878902			dcDNA	PK_15_6h	WO
UL54	E	8h	8	C6	C6_8h	LT934125.1	-	1	C6_8h	1581.920903	1581.920903			dcDNA	C6_8h	WO
UL54	E	8h	8	PC_12	PC_12_8h	LT934125.1	-	1	PC_12_8h	1086.539691	1086.539691			dcDNA	PC_12_8h	WO
UL54	E	8h	8	PK_15	PK_15_8h	LT934125.1	-	1	PK_15_8h	662.283606	662.283606			dcDNA	PK_15_8h	WO
UL53	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL53	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	WO
UL53	L	12h	12	C6	C6_12h	LT934125.1	-	1	C6_12h	251.767619	251.767619			dcDNA	C6_12h	WO
UL53	L	12h	12	PC_12	PC_12_12h	LT934125.1	-	1	PC_12_12h	81.907349	81.907349			dcDNA	PC_12_12h	WO
UL53	L	12h	12	PK_15	PK_15_12h	LT934125.1	-	1	PK_15_12h	180.778032	180.778032			dcDNA	PK_15_12h	WO
UL53	L	1h	1	C6	C6_1h	LT934125.1	-	1	C6_1h	0	0			dcDNA	C6_1h	WO
UL53	L	1h	1	NRK	NRK_1h	LT934125.1	-	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL53	L	1h	1	PC_12	PC_12_1h	LT934125.1	-	1	PC_12_1h	0	0			dcDNA	PC_12_1h	WO
UL53	L	1h	1	PK_15	PK_15_1h	LT934125.1	-	1	PK_15_1h	0	0			dcDNA	PK_15_1h	WO
UL53	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1	PC_12_2.5h	0	0			dcDNA	PC_12_2.5h	WO
UL53	L	2h	2	C6	C6_2h	LT934125.1	-	1	C6_2h	0	0			dcDNA	C6_2h	WO
