seqnames	strand	gene_cluster	gene	Kinetic_class	C6_0.5h_1	C6_0.5h_2	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_2h_3	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	C6_dRNA	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_0.5h_3	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PC-12_8h_3	PC-12_dRNA	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3	PK-15_dRNA
LT934125.1	+				0	0	17155	16159	9919	70	65	32	80	130	6	121	115	62	407	638	542	2826	2791	2417	954	14	27	4	46	43	49	2	2	0	24	28	36	12099	14592	11064	62	37	50	124	54	85	140	143	172	703	642	857	2367	3099	2943	4510	5299	374	2794	17758	23226	28084	70	48	21	244	225	791	2209	2363	2412	10232	9038	7375	15261	15662	18017	17129
LT934125.1	+		ELIE	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LT934125.1	+		IE180_2	IE	0	0	80	59	39	0	1	0	0	0	0	0	0	0	2	4	2	11	11	11	0	0	0	0	0	0	0	0	1	0	0	0	0	49	67	49	1	1	1	0	0	0	0	0	1	2	1	2	8	8	12	16	14	1	0	79	89	64	36	22	9	19	15	7	18	17	16	55	72	26	147	138	115	0
LT934125.1	+		NOIR	E	0	0	67	48	19	0	0	0	0	0	0	0	0	0	0	1	2	7	13	5	7	0	0	0	0	0	0	0	0	0	0	0	0	55	52	28	0	0	0	0	0	1	0	0	0	0	0	0	4	3	9	12	12	0	4	61	53	67	0	0	0	1	0	0	5	21	10	38	39	65	75	63	85	20
LT934125.1	+		ORF-1	E	0	0	36	26	14	0	0	0	0	0	0	1	1	0	1	1	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	37	20	0	0	0	0	0	0	0	0	0	1	1	1	1	5	11	9	7	1	0	31	32	19	0	0	0	0	0	1	7	2	4	12	11	9	16	23	23	0
LT934125.1	+		UL11	L	0	0	439	355	191	0	0	0	0	1	0	2	0	1	8	6	6	110	73	89	0	0	0	0	0	1	1	0	0	0	0	2	0	201	159	157	3	0	1	1	0	2	0	2	2	4	2	4	4	4	16	70	43	7	0	295	241	599	1	0	0	1	1	5	87	74	47	229	220	148	235	214	372	1
LT934125.1	+		UL12	L	0	0	56	68	85	0	1	0	0	1	0	0	1	1	5	3	3	21	13	19	0	0	0	0	0	0	0	0	0	0	0	0	0	14	18	16	0	0	1	0	0	0	1	1	0	3	2	3	5	13	4	8	7	1	0	5	9	22	0	0	0	1	2	0	12	8	7	18	11	8	17	16	24	1
LT934125.1	+		UL13	L	0	0	2	5	8	0	0	0	0	0	0	0	0	0	2	0	1	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	1	0	2	0	1	4	2	1	1	0	0	1	0	0	0	0	0	1	2	1	1	0	3	7	1	1	5	5	2	1
LT934125.1	+		UL14	L	0	0	56	50	52	0	1	1	0	0	0	0	0	0	2	2	3	13	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	20	0	0	0	0	0	0	0	1	1	3	0	4	7	5	9	2	10	0	0	15	17	22	0	0	0	2	0	0	10	7	6	28	17	9	30	19	25	0
LT934125.1	+		UL16	L	0	0	539	466	226	3	0	1	2	3	0	2	5	1	7	14	1	132	105	81	0	0	0	0	1	1	0	0	0	0	0	0	1	217	258	240	0	0	2	2	0	3	1	2	0	15	24	17	55	78	57	85	65	5	0	556	557	1651	0	0	0	1	1	8	148	138	97	438	427	144	282	277	458	0
LT934125.1	+		UL17	L	0	0	45	22	12	0	0	0	0	0	0	0	0	1	0	2	1	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	20	0	0	0	0	0	0	0	0	0	0	1	2	4	5	5	4	6	0	0	20	16	46	0	0	0	0	0	0	1	2	2	8	12	4	18	21	12	0
LT934125.1	+		UL18	L	0	0	2502	2278	997	8	3	0	8	10	1	9	16	8	38	71	59	308	318	213	1	0	0	0	1	1	4	1	0	0	3	1	3	1320	1708	1321	3	2	2	3	4	11	4	7	11	38	29	46	131	231	249	294	331	31	15	2954	3779	4070	0	0	1	4	3	27	132	170	175	994	839	602	1399	1211	1303	47
LT934125.1	+		UL19	L	0	0	407	297	245	0	0	0	0	3	0	4	3	0	11	13	25	24	29	19	0	1	0	0	0	1	0	0	0	0	0	0	0	183	269	129	0	0	0	0	0	0	2	1	2	9	9	6	32	31	42	32	130	8	25	1067	1584	326	0	1	0	1	3	9	18	9	19	95	90	143	707	444	248	161
LT934125.1	+		UL20	L	0	0	29	28	15	0	0	0	1	1	0	1	0	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	34	14	0	1	1	0	0	0	2	0	1	0	0	1	4	7	4	5	17	0	0	52	68	24	0	0	0	2	1	0	5	5	7	38	17	22	69	60	32	15
LT934125.1	+		UL22	L	0	0	52	67	39	0	0	0	0	0	0	0	2	0	0	1	2	6	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	46	64	37	0	0	0	0	0	0	0	0	1	5	1	5	13	8	19	17	15	2	0	42	63	63	0	0	0	1	0	3	4	6	5	22	30	22	56	53	43	0
LT934125.1	+		UL23	L	0	0	294	367	252	18	11	6	30	37	2	11	13	6	64	88	78	158	165	141	4	3	5	2	8	3	16	0	0	0	12	10	10	205	199	200	12	4	9	12	11	29	21	14	28	35	23	32	99	186	126	137	177	19	6	244	301	258	1	1	0	21	13	65	235	214	123	370	311	523	515	526	561	32
LT934125.1	+		UL30	E	0	0	5	12	2	1	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	2	1	0	1	0	0	1	1	1	0	0	0	1	1	1	3	0	1	1	0	5	6	8	1	0
LT934125.1	+		UL33	E	0	0	27	41	17	0	0	0	0	0	0	0	0	0	1	2	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	12	0	0	0	0	0	0	0	0	0	1	0	2	2	3	4	4	1	0	0	12	16	13	0	0	0	0	0	0	0	1	0	4	6	2	8	5	7	1
LT934125.1	+		UL34	E	0	0	510	416	266	0	1	0	0	0	0	1	4	1	8	14	9	76	70	44	0	0	0	0	1	0	0	0	0	0	1	0	0	176	285	158	0	0	0	3	1	4	4	5	5	5	8	7	23	33	48	71	80	5	0	395	435	379	0	0	0	1	4	2	74	67	93	213	152	81	246	251	208	3
LT934125.1	+		UL35	L	0	0	509	419	265	0	0	0	0	0	0	1	0	0	2	18	9	70	80	47	0	0	0	0	0	0	0	0	0	0	0	0	0	376	533	359	0	0	0	1	0	0	0	0	0	4	9	9	21	53	46	115	73	7	1	686	668	1173	0	0	0	0	0	7	20	24	25	226	150	157	329	349	379	7
