tag.l3	tag.l5	tag.r3	tag.r5	Count	combined
missing	missing	correct	missing	132660	missing, missing, correct, missing
no softclip	no softclip	correct	missing	114222	no softclip, no softclip, correct, missing
correct	missing	no softclip	no softclip	90741	correct, missing, no softclip, no softclip
correct	missing	missing	missing	88497	correct, missing, missing, missing
missing	missing	missing	missing	85782	missing, missing, missing, missing
no softclip	no softclip	missing	missing	49201	no softclip, no softclip, missing, missing
missing	missing	no softclip	no softclip	44898	missing, missing, no softclip, no softclip
missing	missing	potential template switching	missing	14883	missing, missing, potential template switching, missing
no softclip	no softclip	no softclip	no softclip	14590	no softclip, no softclip, no softclip, no softclip
potential template switching	missing	missing	missing	11919	potential template switching, missing, missing, missing
no softclip	no softclip	potential template switching	missing	11382	no softclip, no softclip, potential template switching, missing
potential template switching	missing	no softclip	no softclip	9564	potential template switching, missing, no softclip, no softclip
missing	missing	out of place	missing	5448	missing, missing, out of place, missing
no softclip	no softclip	out of place	missing	3552	no softclip, no softclip, out of place, missing
out of place	missing	missing	missing	2328	out of place, missing, missing, missing
out of place	missing	no softclip	no softclip	2109	out of place, missing, no softclip, no softclip
missing	missing	missing	correct	96	missing, missing, missing, correct
missing	correct	missing	missing	75	missing, correct, missing, missing
correct	missing	correct	missing	66	correct, missing, correct, missing
missing	potential template switching	missing	missing	66	missing, potential template switching, missing, missing
missing	missing	missing	potential template switching	39	missing, missing, missing, potential template switching
no softclip	no softclip	missing	correct	39	no softclip, no softclip, missing, correct
missing	correct	no softclip	no softclip	33	missing, correct, no softclip, no softclip
missing	correct	correct	missing	24	missing, correct, correct, missing
correct	missing	missing	correct	21	correct, missing, missing, correct
no softclip	no softclip	missing	potential template switching	21	no softclip, no softclip, missing, potential template switching
missing	potential template switching	correct	missing	18	missing, potential template switching, correct, missing
correct	missing	missing	potential template switching	15	correct, missing, missing, potential template switching
missing	out of place	missing	missing	15	missing, out of place, missing, missing
out of place	missing	correct	missing	9	out of place, missing, correct, missing
missing	potential template switching	no softclip	no softclip	9	missing, potential template switching, no softclip, no softclip
missing	missing	missing	out of place	6	missing, missing, missing, out of place
correct	missing	out of place	missing	3	correct, missing, out of place, missing
no softclip	no softclip	missing	out of place	3	no softclip, no softclip, missing, out of place
missing	out of place	correct	missing	3	missing, out of place, correct, missing
missing	correct	potential template switching	missing	3	missing, correct, potential template switching, missing
potential template switching	missing	correct	missing	3	potential template switching, missing, correct, missing
missing	out of place	no softclip	no softclip	3	missing, out of place, no softclip, no softclip
potential template switching	missing	missing	potential template switching	3	potential template switching, missing, missing, potential template switching
missing	missing	out of place	potential template switching	2	missing, missing, out of place, potential template switching
out of place	missing	potential template switching	missing	1	out of place, missing, potential template switching, missing
missing	missing	correct	potential template switching	1	missing, missing, correct, potential template switching
correct	missing	potential template switching	missing	1	correct, missing, potential template switching, missing
potential template switching	missing	out of place	missing	1	potential template switching, missing, out of place, missing
missing	missing	correct	correct	1	missing, missing, correct, correct
