sample	seqnames	strand	window_start	window_end	sum_coverage	mean_coverage	sd_coverage	median_coverage	min_coverage	max_coverage	varcoeff_coverage	cell_line	hpi	Time	bamfiles	libtype	group	sample_name
ACCG	LT934125.1	+	1	50	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	51	100	136	2.72	1.19591140208322	3	0	4	0.439673309589419	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	101	150	52	1.04	0.988918188564388	1	0	3	0.950882873619603	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	151	200	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	201	250	10	0.2	0.404061017820884	0	0	1	2.02030508910442	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	251	300	57	1.14	0.350509832753866	1	1	2	0.307464765573566	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	301	350	56	1.12	0.385449644663773	1	0	2	0.344151468449797	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	351	400	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	401	450	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	451	500	35	0.7	0.462910049886276	1	0	1	0.661300071266108	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	501	550	13	0.26	0.443087497693452	0	0	1	1.70418268343635	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	551	600	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	601	650	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	651	700	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	701	750	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	751	800	69	1.38	1.46927720672584	0.5	0	3	1.0646936280622	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	801	850	73	1.46	1.4874989281423	1	0	3	1.01883488228925	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
