group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	cluster_width
C6_12h	1	LT934125.1	779	782	+	779	265.754709	244.774074	779	779	1	4
C6_12h	2	LT934125.1	965	990	+	990	2363.818196	2000.153858	988	990	3	26
C6_12h	3	LT934125.1	1334	1351	+	1337	1433.676717	615.431956	1334	1342	9	18
C6_12h	4	LT934125.1	1600	1604	+	1600	1951.199044	1433.676716	1600	1603	4	5
C6_12h	5	LT934125.1	1880	1892	+	1880	41.96127	20.980635	1880	1892	13	13
C6_12h	6	LT934125.1	2153	2153	+	2153	20.980635	20.980635	2153	2153	1	1
C6_12h	7	LT934125.1	4632	4635	+	4632	55.94836	27.97418	4632	4635	4	4
C6_12h	8	LT934125.1	7569	7596	+	7588	2678.527718	1272.825182	7588	7592	5	28
C6_12h	9	LT934125.1	7811	7811	+	7811	118.890264	118.890264	7811	7811	1	1
C6_12h	10	LT934125.1	9107	9114	+	9113	8567.092574	6371.119457	9107	9113	7	8
C6_12h	11	LT934125.1	9267	9270	+	9270	12301.645581	9818.937121	9268	9270	3	4
C6_12h	12	LT934125.1	9640	9650	+	9646	6189.287286	2755.456713	9643	9646	4	11
C6_12h	13	LT934125.1	10046	10089	+	10075	118.890265	48.954815	10046	10089	44	44
C6_12h	14	LT934125.1	10252	10252	+	10252	48.954815	48.954815	10252	10252	1	1
C6_12h	15	LT934125.1	10431	10435	+	10431	1566.554071	1412.696082	10431	10431	1	5
C6_12h	16	LT934125.1	11788	11798	+	11793	825.238305	258.761163	11791	11797	7	11
C6_12h	17	LT934125.1	11919	11919	+	11919	20.980635	20.980635	11919	11919	1	1
C6_12h	18	LT934125.1	12196	12196	+	12196	20.980635	20.980635	12196	12196	1	1
C6_12h	19	LT934125.1	13296	13296	+	13296	27.97418	27.97418	13296	13296	1	1
C6_12h	20	LT934125.1	13458	13458	+	13458	20.980635	20.980635	13458	13458	1	1
C6_12h	21	LT934125.1	14042	14051	+	14048	19043.422921	17197.127052	14048	14048	1	10
C6_12h	22	LT934125.1	14352	14379	+	14352	41.96127	20.980635	14352	14379	28	28
C6_12h	23	LT934125.1	14457	14457	+	14457	34.967725	34.967725	14457	14457	1	1
C6_12h	24	LT934125.1	14546	14560	+	14560	69.93545	48.954815	14546	14560	15	15
C6_12h	25	LT934125.1	14670	14676	+	14670	167.845079	125.883809	14670	14676	7	7
C6_12h	26	LT934125.1	14910	14953	+	14930	153.85799	69.93545	14910	14953	44	44
C6_12h	27	LT934125.1	15170	15287	+	15170	426.606245	69.93545	15170	15287	118	118
C6_12h	28	LT934125.1	15597	15655	+	15618	181.83217	34.967725	15597	15655	59	59
C6_12h	29	LT934125.1	15748	15750	+	15750	90.916085	69.93545	15748	15750	3	3
C6_12h	30	LT934125.1	15962	15962	+	15962	76.928995	76.928995	15962	15962	1	1
C6_12h	31	LT934125.1	19079	19079	+	19079	69.93545	69.93545	19079	19079	1	1
C6_12h	32	LT934125.1	19507	19507	+	19507	20.980635	20.980635	19507	19507	1	1
C6_12h	33	LT934125.1	24824	24824	+	24824	27.97418	27.97418	24824	24824	1	1
C6_12h	34	LT934125.1	25157	25168	+	25157	62.941905	34.967725	25157	25168	12	12
C6_12h	35	LT934125.1	25420	25422	+	25420	90.916085	69.93545	25420	25422	3	3
C6_12h	36	LT934125.1	27548	27548	+	27548	27.97418	27.97418	27548	27548	1	1
C6_12h	37	LT934125.1	27867	27867	+	27867	27.97418	27.97418	27867	27867	1	1
C6_12h	38	LT934125.1	29338	29338	+	29338	62.941905	62.941905	29338	29338	1	1
C6_12h	39	LT934125.1	29464	29468	+	29468	132.877355	55.94836	29464	29468	5	5
C6_12h	40	LT934125.1	30235	30244	+	30240	853.212485	587.457776	30235	30240	6	10
C6_12h	41	LT934125.1	30684	30684	+	30684	20.980635	20.980635	30684	30684	1	1
C6_12h	42	LT934125.1	30932	30932	+	30932	146.864444	146.864444	30932	30932	1	1
C6_12h	43	LT934125.1	31093	31098	+	31098	16889.411074	14469.644518	31096	31098	3	6
C6_12h	44	LT934125.1	31363	31363	+	31363	27.97418	27.97418	31363	31363	1	1
C6_12h	45	LT934125.1	31507	31507	+	31507	34.967725	34.967725	31507	31507	1	1
C6_12h	46	LT934125.1	31678	31690	+	31678	69.93545	48.954815	31678	31690	13	13
C6_12h	47	LT934125.1	31859	31859	+	31859	146.864444	146.864444	31859	31859	1	1
C6_12h	48	LT934125.1	31994	32040	+	32038	78061.948822	44443.978208	32036	32038	3	47
C6_12h	49	LT934125.1	32140	32214	+	32167	944.128572	202.812804	32161	32198	38	75
C6_12h	50	LT934125.1	33088	33088	+	33088	34.967725	34.967725	33088	33088	1	1
C6_12h	51	LT934125.1	33584	33620	+	33584	90.916085	48.954815	33584	33620	37	37
C6_12h	52	LT934125.1	34749	34749	+	34749	62.941905	62.941905	34749	34749	1	1
C6_12h	53	LT934125.1	34854	34854	+	34854	34.967725	34.967725	34854	34854	1	1
C6_12h	54	LT934125.1	41687	41687	+	41687	20.980635	20.980635	41687	41687	1	1
C6_12h	55	LT934125.1	44807	44814	+	44812	11623.271721	8699.969928	44810	44812	3	8
C6_12h	56	LT934125.1	44946	44946	+	44946	20.980635	20.980635	44946	44946	1	1
C6_12h	57	LT934125.1	45313	45313	+	45313	27.97418	27.97418	45313	45313	1	1
C6_12h	58	LT934125.1	45626	45626	+	45626	20.980635	20.980635	45626	45626	1	1
C6_12h	59	LT934125.1	45772	45772	+	45772	20.980635	20.980635	45772	45772	1	1
C6_12h	60	LT934125.1	46005	46029	+	46024	1279.818728	405.625608	46023	46027	5	25
C6_12h	61	LT934125.1	46233	46243	+	46234	349.677248	125.883809	46233	46239	7	11
