group	cluster	chr	start	end	strand	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	cluster_width	hpi	cell_line	Time
C6_12h	2	LT934125.1	2266	2275	+	2273	10806.072632	7453.219542	2272	2275	4	10	12h	C6	12
C6_12h	4	LT934125.1	8518	8526	+	8523	1760.430491	1083.52914	8519	8526	8	9	12h	C6	12
C6_12h	9	LT934125.1	10412	10431	+	10426	40816.177455	29678.958838	10425	10430	6	20	12h	C6	12
C6_12h	10	LT934125.1	11996	11996	+	11996	19.479176	19.479176	11996	11996	1	1	12h	C6	12
C6_12h	11	LT934125.1	12081	12092	+	12086	60.872424	31.65366	12081	12092	12	12	12h	C6	12
C6_12h	12	LT934125.1	12167	12177	+	12168	175.31258	75.481805	12168	12177	10	11	12h	C6	12
C6_12h	13	LT934125.1	12221	12227	+	12227	31.653661	19.479176	12221	12227	7	7	12h	C6	12
C6_12h	15	LT934125.1	15608	15612	+	15612	38.958351	24.348969	15608	15612	5	5	12h	C6	12
C6_12h	16	LT934125.1	15744	15744	+	15744	12.174485	12.174485	15744	15744	1	1	12h	C6	12
C6_12h	18	LT934125.1	16212	16226	+	16224	65296.631322	50273.317182	16221	16224	4	15	12h	C6	12
C6_12h	19	LT934125.1	28629	28633	+	28632	440.716347	413.93248	28632	28632	1	5	12h	C6	12
C6_12h	24	LT934125.1	32402	32415	+	32415	88235.79542	80726.573248	32415	32415	1	14	12h	C6	12
C6_12h	31	LT934125.1	46035	46039	+	46038	8899.548328	6971.109948	46036	46038	3	5	12h	C6	12
C6_12h	33	LT934125.1	49638	49648	+	49647	40309.718893	32781.017543	49645	49647	3	11	12h	C6	12
C6_12h	37	LT934125.1	52421	52440	+	52437	9566.710091	5726.87761	52434	52439	6	20	12h	C6	12
C6_12h	39	LT934125.1	53589	53604	+	53594	6705.706182	1594.857498	53591	53604	14	16	12h	C6	12
C6_12h	41	LT934125.1	54804	54804	+	54804	14.609382	14.609382	54804	54804	1	1	12h	C6	12
C6_12h	42	LT934125.1	55153	55161	+	55161	22532.536311	16588.952873	55158	55161	4	9	12h	C6	12
C6_12h	43	LT934125.1	55267	55279	+	55271	348.190263	112.005259	55269	55279	11	13	12h	C6	12
C6_12h	44	LT934125.1	55471	55471	+	55471	31.65366	31.65366	55471	55471	1	1	12h	C6	12
C6_12h	45	LT934125.1	56189	56189	+	56189	12.174485	12.174485	56189	56189	1	1	12h	C6	12
C6_12h	46	LT934125.1	59795	59795	+	59795	12.174485	12.174485	59795	59795	1	1	12h	C6	12
C6_12h	47	LT934125.1	60246	60256	+	60251	4952.580381	4132.020112	60251	60251	1	11	12h	C6	12
C6_12h	50	LT934125.1	62332	62341	+	62340	9435.225654	5802.359415	62338	62340	3	10	12h	C6	12
C6_12h	52	LT934125.1	63420	63420	+	63420	21.914072	21.914072	63420	63420	1	1	12h	C6	12
C6_12h	55	LT934125.1	68749	68749	+	68749	26.783866	26.783866	68749	68749	1	1	12h	C6	12
C6_12h	57	LT934125.1	70515	70521	+	70521	11458.625013	9902.725867	70519	70521	3	7	12h	C6	12
C6_12h	58	LT934125.1	71516	71544	+	71544	27139.361328	12700.422455	71531	71544	14	29	12h	C6	12
C6_12h	59	LT934125.1	75648	75651	+	75650	182.617271	51.132836	75648	75651	4	4	12h	C6	12
C6_12h	61	LT934125.1	79987	79998	+	79996	36786.423012	28232.630054	79993	79996	4	12	12h	C6	12
C6_12h	64	LT934125.1	86161	86168	+	86167	4614.129706	3557.384434	86164	86167	4	8	12h	C6	12
C6_12h	66	LT934125.1	91559	91559	+	91559	26.783866	26.783866	91559	91559	1	1	12h	C6	12
C6_12h	67	LT934125.1	92048	92059	+	92059	4251.330063	3391.811442	92056	92059	4	12	12h	C6	12
C6_12h	80	LT934125.1	99189	99189	+	99189	17.044279	17.044279	99189	99189	1	1	12h	C6	12
C6_12h	81	LT934125.1	99507	99507	+	99507	21.914072	21.914072	99507	99507	1	1	12h	C6	12
C6_12h	82	LT934125.1	99869	99869	+	99869	80.351599	80.351599	99869	99869	1	1	12h	C6	12
C6_12h	85	LT934125.1	102420	102422	+	102422	58.437527	38.958351	102420	102422	3	3	12h	C6	12
C6_12h	87	LT934125.1	107986	107989	+	107989	53.567733	38.958351	107986	107989	4	4	12h	C6	12
C6_12h	88	LT934125.1	108067	108079	+	108071	82.786497	58.437527	108067	108079	13	13	12h	C6	12
C6_12h	89	LT934125.1	108152	108152	+	108152	51.132836	51.132836	108152	108152	1	1	12h	C6	12
C6_12h	90	LT934125.1	108231	108232	+	108232	82.786496	46.263042	108231	108232	2	2	12h	C6	12
C6_12h	91	LT934125.1	108505	108506	+	108506	31.653661	19.479176	108505	108506	2	2	12h	C6	12
C6_12h	93	LT934125.1	108820	108829	+	108829	2310.717199	1943.047761	108825	108829	5	10	12h	C6	12
C6_12h	96	LT934125.1	115079	115079	+	115079	12.174485	12.174485	115079	115079	1	1	12h	C6	12
C6_12h	97	LT934125.1	115214	115235	+	115228	75.481806	21.914072	115214	115235	22	22	12h	C6	12
C6_12h	100	LT934125.1	115391	115391	+	115391	12.174485	12.174485	115391	115391	1	1	12h	C6	12
C6_12h	105	LT934125.1	115722	115722	+	115722	19.479176	19.479176	115722	115722	1	1	12h	C6	12
