##gff-version 3												
##source-version rtracklayer 1.62.0												
##date 2025-03-20												
seqnames	source	type	start	end	score	strand	phase	notes	is.canonic	gene	TSS eredeti	TES eredeti
LT934125.1	Liftoff	exon	117251	119190	.	-	.	"transcript_id=AZURE-L;Name=AZURE-L;ID=AZURE-L;gene_id=AZURE;ORF_id=AZURE;"		AZURE	119190	117251
LT934125.1	Liftoff	transcript	117251	119190	.	-	.	"transcript_id=AZURE-L;Name=AZURE-L;ID=AZURE-L;gene_id=AZURE;ORF_id=AZURE;"		AZURE	119190	117251
LT934125.1	Liftoff	exon	117251	119611	.	-	.	"transcript_id=AZURE-L2;Name=AZURE-L2;ID=AZURE-L2;gene_id=AZURE;ORF_id=AZURE;"		AZURE	119611	117251
LT934125.1	Liftoff	transcript	117251	119611	.	-	.	"transcript_id=AZURE-L2;Name=AZURE-L2;ID=AZURE-L2;gene_id=AZURE;ORF_id=AZURE;"		AZURE	119611	117251
LT934125.1	Liftoff	exon	117251	118739	.	-	.	"transcript_id=AZURE-M;Name=AZURE-M;ID=AZURE-M;gene_id=AZURE;ORF_id=AZURE;"	canonic	AZURE	118739	117251
LT934125.1	Liftoff	transcript	117251	118739	.	-	.	"transcript_id=AZURE-M;Name=AZURE-M;ID=AZURE-M;gene_id=AZURE;ORF_id=AZURE;"	canonic	AZURE	118739	117251
LT934125.1	Liftoff	exon	117251	118349	.	-	.	"transcript_id=AZURE-S;Name=AZURE-S;ID=AZURE-S;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118349	117251
LT934125.1	Liftoff	transcript	117251	118349	.	-	.	"transcript_id=AZURE-S;Name=AZURE-S;ID=AZURE-S;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118349	117251
LT934125.1	Liftoff	exon	117251	118401	.	-	.	"transcript_id=AZURE-S-L;Name=AZURE-S-L;ID=AZURE-S-L;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118401	117249
LT934125.1	Liftoff	transcript	117251	118401	.	-	.	"transcript_id=AZURE-S-L;Name=AZURE-S-L;ID=AZURE-S-L;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118401	117249
LT934125.1	Liftoff	exon	117251	117361	.	-	.	"transcript_id=AZURE-S-L-splice;Name=AZURE-S-L-splice;ID=AZURE-S-L-splice;gene_id=AZURE;ORF_id=AZURE;"		AZURE	117361	117248
LT934125.1	Liftoff	exon	117773	118401	.	-	.	"transcript_id=AZURE-S-L-splice;Name=AZURE-S-L-splice;ID=AZURE-S-L-splice;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118409	117773
LT934125.1	Liftoff	transcript	117251	118401	.	-	.	"transcript_id=AZURE-S-L-splice;Name=AZURE-S-L-splice;ID=AZURE-S-L-splice;gene_id=AZURE;ORF_id=AZURE;"		AZURE	118409	117248
LT934125.1	Liftoff	exon	62617	63420	.	-	.	"transcript_id=CTO-AT;Name=CTO-AT;ID=CTO-AT;gene_id=CTO;ORF_id=CTO;"		CTO	63420	62617
LT934125.1	Liftoff	transcript	62617	63420	.	-	.	"transcript_id=CTO-AT;Name=CTO-AT;ID=CTO-AT;gene_id=CTO;ORF_id=CTO;"		CTO	63420	62617
LT934125.1	Liftoff	exon	62344	63420	.	-	.	"transcript_id=CTO-AT2;Name=CTO-AT2;ID=CTO-AT2;gene_id=CTO;ORF_id=CTO;"		CTO	63420	62344
LT934125.1	Liftoff	transcript	62344	63420	.	-	.	"transcript_id=CTO-AT2;Name=CTO-AT2;ID=CTO-AT2;gene_id=CTO;ORF_id=CTO;"		CTO	63420	62344
LT934125.1	Liftoff	exon	63164	65752	.	-	.	"transcript_id=CTO-L;Name=CTO-L;ID=CTO-L;gene_id=CTO;ORF_id=CTO-L;"		CTO	65752	63164
LT934125.1	Liftoff	transcript	63164	65752	.	-	.	"transcript_id=CTO-L;Name=CTO-L;ID=CTO-L;gene_id=CTO;ORF_id=CTO-L;"		CTO	65752	63164
LT934125.1	Liftoff	exon	63164	65821	.	-	.	"transcript_id=CTO-L2;Name=CTO-L2;ID=CTO-L2;gene_id=CTO;ORF_id=CTO-L;"		CTO	65821	63161
LT934125.1	Liftoff	transcript	63164	65821	.	-	.	"transcript_id=CTO-L2;Name=CTO-L2;ID=CTO-L2;gene_id=CTO;ORF_id=CTO-L;"		CTO	65821	63161
LT934125.1	Liftoff	exon	63164	64127	.	-	.	"transcript_id=CTO-M;Name=CTO-M;ID=CTO-M;gene_id=CTO;ORF_id=CTO-M;"		CTO	64127	63164
LT934125.1	Liftoff	transcript	63164	64127	.	-	.	"transcript_id=CTO-M;Name=CTO-M;ID=CTO-M;gene_id=CTO;ORF_id=CTO-M;"		CTO	64127	63164
LT934125.1	Liftoff	exon	63164	64624	.	-	.	"transcript_id=CTO-M-L;Name=CTO-M-L;ID=CTO-M-L;gene_id=CTO;ORF_id=CTO-L;"		CTO	64624	63164
LT934125.1	Liftoff	transcript	63164	64624	.	-	.	"transcript_id=CTO-M-L;Name=CTO-M-L;ID=CTO-M-L;gene_id=CTO;ORF_id=CTO-L;"		CTO	64624	63164
LT934125.1	Liftoff	exon	63164	63420	.	-	.	"transcript_id=CTO-S;Name=CTO-S;ID=CTO-S;gene_id=CTO;ORF_id=CTO-S;"	canonic	CTO	63420	63164
LT934125.1	Liftoff	transcript	63164	63420	.	-	.	"transcript_id=CTO-S;Name=CTO-S;ID=CTO-S;gene_id=CTO;ORF_id=CTO-S;"	canonic	CTO	63420	63164
LT934125.1	Liftoff	exon	55270	63420	.	-	.	"transcript_id=CTO-UL22-UL23-UL24-UL25-26;Name=CTO-UL22-UL23-UL24-UL25-26;ID=CTO-UL22-UL23-UL24-UL25-26;gene_id=CTO;ORF_id=UL24;"		CTO	63420	55270
LT934125.1	Liftoff	transcript	55270	63420	.	-	.	"transcript_id=CTO-UL22-UL23-UL24-UL25-26;Name=CTO-UL22-UL23-UL24-UL25-26;ID=CTO-UL22-UL23-UL24-UL25-26;gene_id=CTO;ORF_id=UL24;"		CTO	63420	55270
LT934125.1	Liftoff	exon	100549	102393	.	+	.	"transcript_id=ELIE-1;Name=ELIE-1;ID=ELIE-1;gene_id=ELIE;ORF_id=ELIE;"	canonic	ELIE	100549	102393
LT934125.1	Liftoff	transcript	100549	102393	.	+	.	"transcript_id=ELIE-1;Name=ELIE-1;ID=ELIE-1;gene_id=ELIE;ORF_id=ELIE;"	canonic	ELIE	100549	102393
LT934125.1	Liftoff	exon	101661	102393	.	+	.	"transcript_id=ELIE-2;Name=ELIE-2;ID=ELIE-2;gene_id=ELIE;ORF_id=ELIE;"		ELIE	101661	102393
LT934125.1	Liftoff	transcript	101661	102393	.	+	.	"transcript_id=ELIE-2;Name=ELIE-2;ID=ELIE-2;gene_id=ELIE;ORF_id=ELIE;"		ELIE	101661	102393
LT934125.1	Liftoff	exon	101291	102393	.	+	.	"transcript_id=ELIE-2-L;Name=ELIE-2-L;ID=ELIE-2-L;gene_id=ELIE;ORF_id=ELIE;"		ELIE	101291	102383
LT934125.1	Liftoff	transcript	101291	102393	.	+	.	"transcript_id=ELIE-2-L;Name=ELIE-2-L;ID=ELIE-2-L;gene_id=ELIE;ORF_id=ELIE;"		ELIE	101291	102383
LT934125.1	Liftoff	exon	95889	97361	.	-	.	"transcript_id=EP0;Name=EP0;ID=EP0;gene_id=EP0;ORF_id=EP0;"		EP0	97362	95890
LT934125.1	Liftoff	transcript	95889	97361	.	-	.	"transcript_id=EP0;Name=EP0;ID=EP0;gene_id=EP0;ORF_id=EP0;"		EP0	97362	95890
LT934125.1	Liftoff	exon	95889	96629	.	-	.	"transcript_id=EP0.10;Name=EP0.10;ID=EP0.10;gene_id=EP0;ORF_id=EP0.10;"		EP0	96629	95890
LT934125.1	Liftoff	transcript	95889	96629	.	-	.	"transcript_id=EP0.10;Name=EP0.10;ID=EP0.10;gene_id=EP0;ORF_id=EP0.10;"		EP0	96629	95890
LT934125.1	Liftoff	exon	95889	96866	.	-	.	"transcript_id=EP0.4;Name=EP0.4;ID=EP0.4;gene_id=EP0;ORF_id=EP0.4;"		EP0	96866	95890
LT934125.1	Liftoff	transcript	95889	96866	.	-	.	"transcript_id=EP0.4;Name=EP0.4;ID=EP0.4;gene_id=EP0;ORF_id=EP0.4;"		EP0	96866	95890
LT934125.1	Liftoff	exon	95889	97338	.	-	.	"transcript_id=EP0.5;Name=EP0.5;ID=EP0.5;gene_id=EP0;ORF_id=EP0.5;"		EP0	97338	95890
LT934125.1	Liftoff	transcript	95889	97338	.	-	.	"transcript_id=EP0.5;Name=EP0.5;ID=EP0.5;gene_id=EP0;ORF_id=EP0.5;"		EP0	97338	95890
LT934125.1	Liftoff	exon	95889	97175	.	-	.	"transcript_id=EP0.5-S;Name=EP0.5-S;ID=EP0.5-S;gene_id=EP0;ORF_id=EP0.5;"		EP0	97175	95890
LT934125.1	Liftoff	transcript	95889	97175	.	-	.	"transcript_id=EP0.5-S;Name=EP0.5-S;ID=EP0.5-S;gene_id=EP0;ORF_id=EP0.5;"		EP0	97175	95890
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0.5-S2-sp1;Name=EP0.5-S2-sp1;ID=EP0.5-S2-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96990	97126	.	-	.	"transcript_id=EP0.5-S2-sp1;Name=EP0.5-S2-sp1;ID=EP0.5-S2-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97126	96990
LT934125.1	Liftoff	transcript	95889	97126	.	-	.	"transcript_id=EP0.5-S2-sp1;Name=EP0.5-S2-sp1;ID=EP0.5-S2-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97126	95889
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0.5-sp1;Name=EP0.5-sp1;ID=EP0.5-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96990	97338	.	-	.	"transcript_id=EP0.5-sp1;Name=EP0.5-sp1;ID=EP0.5-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97337	96990
LT934125.1	Liftoff	transcript	95889	97338	.	-	.	"transcript_id=EP0.5-sp1;Name=EP0.5-sp1;ID=EP0.5-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97337	95889
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0.5-sp2;Name=EP0.5-sp2;ID=EP0.5-sp2;gene_id=EP0;ORF_id=EP0.5;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96942	97338	.	-	.	"transcript_id=EP0.5-sp2;Name=EP0.5-sp2;ID=EP0.5-sp2;gene_id=EP0;ORF_id=EP0.5;"		EP0	97337	96942
LT934125.1	Liftoff	transcript	95889	97338	.	-	.	"transcript_id=EP0.5-sp2;Name=EP0.5-sp2;ID=EP0.5-sp2;gene_id=EP0;ORF_id=EP0.5;"		EP0	97337	95889
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0.5-S-sp1;Name=EP0.5-S-sp1;ID=EP0.5-S-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96990	97175	.	-	.	"transcript_id=EP0.5-S-sp1;Name=EP0.5-S-sp1;ID=EP0.5-S-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97174	96990
LT934125.1	Liftoff	transcript	95889	97175	.	-	.	"transcript_id=EP0.5-S-sp1;Name=EP0.5-S-sp1;ID=EP0.5-S-sp1;gene_id=EP0;ORF_id=EP0.5;"		EP0	97174	95889
LT934125.1	Liftoff	exon	95889	97537	.	-	.	"transcript_id=EP0-L2;Name=EP0-L2;ID=EP0-L2;gene_id=EP0;ORF_id=EP0;"		EP0	97537	95890
LT934125.1	Liftoff	transcript	95889	97537	.	-	.	"transcript_id=EP0-L2;Name=EP0-L2;ID=EP0-L2;gene_id=EP0;ORF_id=EP0;"		EP0	97537	95890
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0-sp1;Name=EP0-sp1;ID=EP0-sp1;gene_id=EP0;ORF_id=EP0;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96990	97361	.	-	.	"transcript_id=EP0-sp1;Name=EP0-sp1;ID=EP0-sp1;gene_id=EP0;ORF_id=EP0;"	canonic	EP0	97361	96990
LT934125.1	Liftoff	transcript	95889	97361	.	-	.	"transcript_id=EP0-sp1;Name=EP0-sp1;ID=EP0-sp1;gene_id=EP0;ORF_id=EP0;"	canonic	EP0	97361	95889
LT934125.1	Liftoff	exon	95889	96851	.	-	.	"transcript_id=EP0-sp2;Name=EP0-sp2;ID=EP0-sp2;gene_id=EP0;ORF_id=EP0;"		EP0	96851	95889
LT934125.1	Liftoff	exon	96942	97361	.	-	.	"transcript_id=EP0-sp2;Name=EP0-sp2;ID=EP0-sp2;gene_id=EP0;ORF_id=EP0;"		EP0	97361	96942
LT934125.1	Liftoff	transcript	95889	97361	.	-	.	"transcript_id=EP0-sp2;Name=EP0-sp2;ID=EP0-sp2;gene_id=EP0;ORF_id=EP0;"		EP0	97361	95889
LT934125.1	Liftoff	exon	71548	73108	.	-	.	"transcript_id=FORF15;Name=FORF15;ID=FORF15;gene_id=UL15;ORF_id=UL15;"		UL15	73108	71549
LT934125.1	Liftoff	transcript	71548	73108	.	-	.	"transcript_id=FORF15;Name=FORF15;ID=FORF15;gene_id=UL15;ORF_id=UL15;"		UL15	73108	71549
LT934125.1	Liftoff	exon	71548	74345	.	-	.	"transcript_id=FORF15-L;Name=FORF15-L;ID=FORF15-L;gene_id=UL15;ORF_id=UL15;"		UL15	74345	71549
LT934125.1	Liftoff	transcript	71548	74345	.	-	.	"transcript_id=FORF15-L;Name=FORF15-L;ID=FORF15-L;gene_id=UL15;ORF_id=UL15;"		UL15	74345	71549
