gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE									E					
CTO-M									L	cluster_6	0.989770512994591	0.901259768545696	0.0221247388540697	0.585342125592772
CTO-S									L	cluster_1	0.988612086795644	0.933533305955161	1.11728735837747	0.328654399212453
ELIE									E	cluster_9	0.993726816093092	0.920210645664205	1.09723715683908e-05	0.252756425847977
EP0	LT934125.1	96990	97346	-	CDS	SOF05972.1	1	SOF05972.1_1	E	cluster_12	0.904930693498358	0.348183004879342	0.0791584501858523	0.613876642226864
EP0	LT934125.1	96114	96851	-	CDS	SOF05972.1	2	SOF05972.1_2	E	cluster_12	0.904930693498358	0.348183004879342	0.0791584501858523	0.613876642226864
IE180	LT934125.1	102945	107297	-	CDS	SOF05973.1		SOF05973.1	IE	cluster_3	0.995352689890845	0.958628450217751	0.445339905908153	0.449543235800997
IE180	LT934125.1	136420	140772	+	CDS	SOF05983.1		SOF05983.1	IE	cluster_3	0.995352689890845	0.958628450217751	0.445339905908153	0.449543235800997
NOIR									E	cluster_1	0.988612086795644	0.933533305955161	0.091653207307264	0.139777633099302
NOIR									E	cluster_1	0.988612086795644	0.933533305955161	0.0916191604064031	0.142102215007138
ORF-1	LT934125.1	1623	2243	+	CDS	SOF05915.1		ORF-1	E	cluster_1	0.988612086795644	0.933533305955161	0.0949780682296776	0.23654858268419
UL1	LT934125.1	94461	94931	-	CDS	SOF05971.1		UL1	L	cluster_12	0.904930693498358	0.348183004879342	0.0458994009363115	0.683996380111008
UL10	LT934125.1	80370	81551	-	CDS	SOF05961.1		UL10	L	cluster_6	0.989770512994591	0.901259768545696	0.0561826126981817	0.376190441100205
UL11	LT934125.1	79779	79970	+	CDS	SOF05960.1		UL11	L	cluster_4	0.998363229988738	0.973371235513241	0.0829992881383221	0.111557494801262
UL12	LT934125.1	78364	79821	+	CDS	SOF05959.1		UL12	L	cluster_2	0.995064683281491	0.908893442265142	0.00487482175205151	0.551370100850954
UL13	LT934125.1	77202	78398	+	CDS	SOF05958.1		UL13	L	cluster_2	0.995064683281491	0.908893442265142	0.00277880880592593	0.740790301313689
UL14	LT934125.1	76753	77232	+	CDS	SOF05957.1		UL14	L	cluster_7	0.997373666168326	0.955182415780902	0.00510262099191838	0.831577629741417
UL15	LT934125.1	75663	76754	-	CDS	SOF05954.1	1	SOF05954.1_1	L	cluster_7	0.997373666168326	0.955182415780902	0.00777217071781964	0.88606187172207
UL15	LT934125.1	71647	72783	-	CDS	SOF05954.1	2	SOF05954.1_2	L	cluster_7	0.997373666168326	0.955182415780902	0.00777217071781964	0.88606187172207
UL16	LT934125.1	74654	75640	+	CDS	SOF05956.1		UL16	L	cluster_4	0.998363229988738	0.973371235513241	0.0567589662387319	-0.227894071328718
UL17	LT934125.1	72834	74627	+	CDS	SOF05955.1		UL17	L	cluster_1	0.988612086795644	0.933533305955161	0.0989598138726445	0.170357726159621
UL18	LT934125.1	70559	71449	+	CDS	SOF05953.1		UL18	L	cluster_1	0.988612086795644	0.933533305955161	0.0471365319990023	0.407548399508224
UL19	LT934125.1	66399	70391	+	CDS	SOF05952.1		UL19	L	cluster_10	0.974858548462815	0.749288086850813	0.0156058419716332	0.652392612814362
UL2	LT934125.1	93521	94483	-	CDS	SOF05970.1		UL2	E	cluster_2	0.995064683281491	0.908893442265142	0.00508115806563036	0.577805513889224
UL20	LT934125.1	65827	66312	+	CDS	SOF05951.1		UL20	L	cluster_7	0.997373666168326	0.955182415780902	0.00492637553280817	0.889045151322546
UL21	LT934125.1	64143	65720	-	CDS	SOF05950.1		UL21	L	cluster_1	0.988612086795644	0.933533305955161	0.0935107821142888	0.468102466176513
UL22	LT934125.1	60254	62314	+	CDS	SOF05949.1		UL22	L	cluster_1	0.988612086795644	0.933533305955161	0.0950219901197334	-0.349806376411935
UL23	LT934125.1	59156	60118	+	CDS	SOF05948.1		UL23	L	cluster_4	0.998363229988738	0.973371235513241	0.0514617923906393	0.359715297844385
UL24	LT934125.1	58648	59163	-	CDS	SOF05947.1		UL24	L	cluster_8	0.972918810165981	0.772004755299451	0.00126103392367003	0.621758569953236
UL25	LT934125.1	56951	58555	-	CDS	SOF05946.1		UL25	L	cluster_6	0.989770512994591	0.901259768545696	0.0233896634213885	0.074320898554219
UL26	LT934125.1	55343	56917	-	CDS	SOF05944.1		UL26	L	cluster_1	0.988612086795644	0.933533305955161	0.0856739195780307	0.103443541091916
UL26.5	LT934125.1	55343	56179	-	CDS	SOF05945.1		UL26.5	L	cluster_4	0.998363229988738	0.973371235513241	0.101741400441884	0.0441630926404559
UL27	LT934125.1	16625	19375	-	CDS	SOF05926.1		UL27	L	cluster_6	0.989770512994591	0.901259768545696	0.0203342704811776	0.170824796760356
UL28	LT934125.1	19246	21402	-	CDS	SOF05927.1		UL28	E	cluster_7	0.997373666168326	0.955182415780902	0.00800243230451488	0.880133522557533
UL29	LT934125.1	21554	25087	-	CDS	SOF05928.1		UL29	E	cluster_7	0.997373666168326	0.955182415780902	0.0250979395611856	0.666165293689127
UL3	LT934125.1	92749	93465	-	CDS	SOF05969.1		UL3	L	cluster_1	0.988612086795644	0.933533305955161	0.0948959482823765	0.0319433314042208
UL3.5	LT934125.1	92099	92752	-	CDS	SOF05968.1		UL3.5	L	cluster_1	0.988612086795644	0.933533305955161	0.0537208252894026	0.142080845964516
UL30	LT934125.1	25434	28580	+	CDS	SOF05929.1		UL30	E	cluster_2	0.995064683281491	0.908893442265142	0.00504901740909261	0.698423178133376
UL31	LT934125.1	28501	29316	-	CDS	SOF05930.1		UL31	L	cluster_1	0.988612086795644	0.933533305955161	0.043073036789462	0.391035831815881
UL32	LT934125.1	29309	30721	-	CDS	SOF05931.1		UL32	L	cluster_8	0.972918810165981	0.772004755299451	0.00366284477298446	0.632954524033221
UL33	LT934125.1	30720	31070	+	CDS	SOF05932.1		UL33	E	cluster_1	0.988612086795644	0.933533305955161	0.0998414819885301	0.185639445439701
UL34	LT934125.1	31226	32011	+	CDS	SOF05933.1		UL34	E	cluster_4	0.998363229988738	0.973371235513241	0.0477894200253053	0.251493538123482
UL35	LT934125.1	32066	32377	+	CDS	SOF05934.1		UL35	L	cluster_1	0.988612086795644	0.933533305955161	0.16339948403767	-0.0402091694407835
UL36	LT934125.1	32705	41983	-	CDS	SOF05935.1		UL36	L	cluster_6	0.989770512994591	0.901259768545696	0.0221168982610234	0.462669306948171
UL37	LT934125.1	42021	44780	-	CDS	SOF05936.1		UL37	L	cluster_1	0.988612086795644	0.933533305955161	0.0973797075984686	0.18152086392118
UL38	LT934125.1	44837	45943	+	CDS	SOF05937.1		UL38	E	cluster_4	0.998363229988738	0.973371235513241	0.0549664018687726	-0.430310329641887
UL39	LT934125.1	46274	48646	+	CDS	SOF05938.1		UL39	E	cluster_9	0.993726816093092	0.920210645664205	1.09723715683908e-05	-0.0361967665554427
UL4	LT934125.1	91486	91923	+	CDS	SOF05967.1		UL4	L	cluster_4	0.998363229988738	0.973371235513241	0.0910162478073532	0.24600381248048
UL40	LT934125.1	48656	49567	+	CDS	SOF05939.1		UL40	E	cluster_4	0.998363229988738	0.973371235513241	0.134396147657836	0.131395882072399
UL41	LT934125.1	50044	51141	-	CDS	SOF05940.1		UL41	L	cluster_10	0.974858548462815	0.749288086850813	0.0329264615009569	0.1880331668443
UL42	LT934125.1	51270	52415	+	CDS	SOF05941.1		UL42	L	cluster_4	0.998363229988738	0.973371235513241	0.0631694579203368	-0.00735946148994804
UL43	LT934125.1	52473	53594	+	CDS	SOF05942.1		UL43	L	cluster_4	0.998363229988738	0.973371235513241	0.0811794963832961	0.158545408744204
UL44	LT934125.1	53661	55103	+	CDS	SOF05943.1		UL44	L	cluster_6	0.989770512994591	0.901259768545696	0.025765156028316	0.448047338893135
UL46	LT934125.1	14071	16146	+	CDS	SOF05925.1		UL46	L	cluster_4	0.998363229988738	0.973371235513241	0.055237021319128	0.000767325937247571
UL47	LT934125.1	11815	14052	+	CDS	SOF05924.1		UL47	L	cluster_6	0.989770512994591	0.901259768545696	0.0217682639887087	0.247131184115543
UL48	LT934125.1	10473	11714	+	CDS	SOF05923.1		UL48	L	cluster_5	0.998802707927009	0.977126837260433	0	0
UL49	LT934125.1	9657	10409	+	CDS	SOF05922.1		UL49	L	cluster_1	0.988612086795644	0.933533305955161	0.0742650117186226	0.315809278918663
UL49.5	LT934125.1	9323	9619	+	CDS	SOF05921.1		UL49.5	L	cluster_4	0.998363229988738	0.973371235513241	0.0491869481066798	0.17299952934536
UL5	LT934125.1	88923	91427	+	CDS	SOF05966.1		UL5	E	cluster_10	0.974858548462815	0.749288086850813	0.0208195298206836	0.685467609394553
UL50	LT934125.1	8593	9399	-	CDS	SOF05920.1		UL50	L	cluster_4	0.998363229988738	0.973371235513241	0.0706757753544565	-0.162213222021048
UL51	LT934125.1	7729	8439	+	CDS	SOF05919.1		UL51	L	cluster_4	0.998363229988738	0.973371235513241	0.0735656330279217	0.298570425876994
UL52	LT934125.1	4854	7742	-	CDS	SOF05918.1		UL52	E	cluster_3	0.995352689890845	0.958628450217751	0.445339905908154	0.702359540098589
UL53	LT934125.1	3961	4899	-	CDS	SOF05917.1		UL53	L	cluster_1	0.988612086795644	0.933533305955161	0.0994142540940769	0.34543590372781
UL54	LT934125.1	2797	3882	-	CDS	SOF05916.1		UL54	E	cluster_2	0.995064683281491	0.908893442265142	0.0195144949188166	0.123693075900187
UL6	LT934125.1	86993	88924	-	CDS	SOF05965.1		UL6	L	cluster_1	0.988612086795644	0.933533305955161	0.099759294446923	0.053741909200481
UL7	LT934125.1	86302	87102	-	CDS	SOF05964.1		UL7	E	cluster_8	0.972918810165981	0.772004755299451	0.00431127612138002	0.409683846529916
UL8	LT934125.1	84087	86138	+	CDS	SOF05963.1		UL8	E	cluster_2	0.995064683281491	0.908893442265142	0.0049413006677085	0.39294259486158
UL9	LT934125.1	81550	84090	+	CDS	SOF05962.1		UL9	L	cluster_11	0.999633665834417	0.986552949065827	0	0
US1	LT934125.1	115740	116831	+	CDS	SOF05974.1		SOF05974.1	E	cluster_4	0.998363229988738	0.973371235513241	0.299284998799482	0.292824390193487
US1	LT934125.1	126886	127977	-	CDS	SOF05982.1		SOF05982.1	E	cluster_4	0.998363229988738	0.973371235513241	0.299284998799482	0.292824390193487
US2	LT934125.1	125308	126078	+	CDS	SOF05981.1		US2	L	cluster_4	0.998363229988738	0.973371235513241	0.0917597141658424	0.015063270057881
US3	LT934125.1	117833	118837	+	CDS	SOF05975.1		US3	L	cluster_12	0.904930693498358	0.348183004879342	0.0327243001670712	0.528750906549121
US4	LT934125.1	118897	120396	+	CDS	SOF05976.1		US4	L	cluster_1	0.988612086795644	0.933533305955161	0.236910494920972	0.119384980276613
US6	LT934125.1	120576	121778	+	CDS	SOF05977.1		US6	L	cluster_1	0.988612086795644	0.933533305955161	0.095378638490207	0.178176133096904
US7	LT934125.1	121799	122896	+	CDS	SOF05978.1		US7	L	cluster_1	0.988612086795644	0.933533305955161	0.0598724457301887	0.0767779568511266
US8	LT934125.1	123000	124730	+	CDS	SOF05979.1		US8	L	cluster_12	0.904930693498358	0.348183004879342	0.023127725518788	0.694412053327028
US9	LT934125.1	124788	125084	+	CDS	SOF05980.1		US9	L	cluster_1	0.988612086795644	0.933533305955161	0.0618795274910291	0.159272768106599
