group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	group.y	hpi	cell_line	Time
ACCG	3	LT934125.1	985	987	+	987	1480.190301	1404.560139	987	987	1	0	3	PK_15_12h	12h	PK_15	12
ACCG	8	LT934125.1	1334	1339	+	1334	169.267504	144.05745	1334	1339	6	1.5695159675136	6	PK_15_12h	12h	PK_15	12
ACCG	12	LT934125.1	1600	1603	+	1600	756.301613	601.439854	1600	1603	4	1.76580838286503	4	PK_15_12h	12h	PK_15	12
ACCG	20	LT934125.1	2168	2168	+	2168	21.608618	21.608618	2168	2168	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	21	LT934125.1	2223	2223	+	2223	21.608618	21.608618	2223	2223	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	22	LT934125.1	2286	2286	+	2286	25.210054	25.210054	2286	2286	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	24	LT934125.1	2506	2506	+	2506	21.608618	21.608618	2506	2506	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	25	LT934125.1	2582	2584	+	2584	43.217235	28.81149	2582	2584	3	1.45546446154482	3	PK_15_12h	12h	PK_15	12
ACCG	32	LT934125.1	4480	4480	+	4480	46.818671	46.818671	4480	4480	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	34	LT934125.1	4635	4635	+	4635	18.007181	18.007181	4635	4635	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	44	LT934125.1	7585	7591	+	7591	388.955116	237.694793	7585	7591	7	3.70905995304893	7	PK_15_12h	12h	PK_15	12
ACCG	47	LT934125.1	7811	7811	+	7811	57.62298	57.62298	7811	7811	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	58	LT934125.1	9109	9115	+	9109	6288.107698	2412.962289	9109	9113	5	4.3196349916549	7	PK_15_12h	12h	PK_15	12
