chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC	gene_mean_dominant_TSS	gene_dominant_TSS_shift	gene_mean_shift_TSS	gene_sd_shift_TSS	gene_varcoeff_shif_TSS
LT934125.1	+	ELIE	PC_12_6h	919	100385	100385	100385	26.651031	26.651031	100385	100385	1		1	6h	PC_12	6	919	100549	102393	100549	102393	164	919	100385	0	0		
LT934125.1	+	IE180_2	C6_12h	1229	136339	136351	136348	1370.734813	972.102749	136345	136351	7		13	12h	C6	12	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	C6_2h	1229	136348	136348	136348	1239.157373	1239.157373	136348	136348	1		1	2h	C6	2	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	C6_6h	1229	136338	136351	136348	689.952566	258.732212	136338	136351	14		14	6h	C6	6	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	C6_8h	1229	136345	136352	136348	419.693301	258.272801	136348	136351	4		8	8h	C6	8	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	NRK_2h	1229	136348	136348	136348	3236.245955	3236.245955	136348	136348	1		1	2h	NRK	2	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PC_12_12h	1229	136339	136351	136348	525.572157	395.885521	136339	136348	10		13	12h	PC_12	12	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PC_12_2.5h	1229	136348	136348	136348	740.19245	740.19245	136348	136348	1		1	2.5h	PC_12	2.5	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PC_12_2h	1229	136348	136351	136348	2001.334224	667.111408	136348	136351	4		4	2h	PC_12	2	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PC_12_4h	1229	136339	136348	136348	702.670147	602.288697	136339	136348	10		10	4h	PC_12	4	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
