group	cluster	cluster_start	cluster_end	seqnames	strand	cluster_width	cluster_peak	cluster_total_count	hpi	cell_line	meta_cluster
C6_8h	1	242	242	LT934125.1	+	1	242	32.2841	8h	C6	1
PK_15_4h	2	623	623	LT934125.1	+	1	623	40.594301	4h	PK_15	2
PC_12_6h	2	641	641	LT934125.1	+	1	641	26.651031	6h	PC_12	3
C6_6h	2	643	643	LT934125.1	+	1	643	86.244071	6h	C6	4
C6_8h	2	646	646	LT934125.1	+	1	646	64.5682	8h	C6	5
PC_12_6h	3	771	782	LT934125.1	+	12	779	453.067533	6h	PC_12	6
C6_12h	3	779	782	LT934125.1	+	4	779	265.754709	12h	C6	6
C6_4h	3	779	779	LT934125.1	+	1	779	525.486075	4h	C6	6
C6_6h	3	779	779	LT934125.1	+	1	779	86.244071	6h	C6	6
C6_8h	3	779	782	LT934125.1	+	4	779	290.556901	8h	C6	6
NRK_2h	3	779	779	LT934125.1	+	1	779	3236.245955	2h	NRK	6
PC_12_12h	3	779	779	LT934125.1	+	1	779	136.512249	12h	PC_12	6
PC_12_4h	3	779	782	LT934125.1	+	4	779	602.288698	4h	PC_12	6
PC_12_8h	3	779	781	LT934125.1	+	3	779	313.499279	8h	PC_12	6
PK_15_12h	3	779	779	LT934125.1	+	1	779	20.594966	12h	PK_15	6
PK_15_4h	3	779	782	LT934125.1	+	4	779	284.160104	4h	PK_15	6
PK_15_6h	3	779	782	LT934125.1	+	4	779	185.485366	6h	PK_15	6
PK_15_8h	3	779	782	LT934125.1	+	4	779	127.19354	8h	PK_15	6
C6_2h	4	878	878	LT934125.1	+	1	878	1172.332943	2h	C6	7
C6_8h	5	952	1007	LT934125.1	+	56	990	2163.034703	8h	C6	8
PC_12_6h	5	959	994	LT934125.1	+	36	990	2212.035604	6h	PC_12	8
C6_6h	5	960	997	LT934125.1	+	38	990	6123.329021	6h	C6	8
PC_12_4h	5	960	994	LT934125.1	+	35	990	2409.154791	4h	PC_12	8
C6_12h	5	965	990	LT934125.1	+	26	990	2363.818196	12h	C6	8
PC_12_8h	5	978	1001	LT934125.1	+	24	990	1755.595963	8h	PC_12	8
PK_15_4h	5	978	993	LT934125.1	+	16	990	771.291712	4h	PK_15	8
C6_4h	5	982	990	LT934125.1	+	9	990	8933.263269	4h	C6	8
PK_15_6h	5	982	994	LT934125.1	+	13	990	1048.395551	6h	PK_15	8
PK_15_8h	5	982	994	LT934125.1	+	13	990	1131.583911	8h	PK_15	8
PC_12_12h	5	986	990	LT934125.1	+	5	990	1023.841865	12h	PC_12	8
PK_15_12h	5	986	992	LT934125.1	+	7	990	881.006865	12h	PK_15	8
NRK_2h	5	987	987	LT934125.1	+	1	987	3236.245955	2h	NRK	8
PC_12_2.5h	5	987	990	LT934125.1	+	4	990	2220.57735	2.5h	PC_12	8
C6_1h	5	990	990	LT934125.1	+	1	990	1540.832049	1h	C6	8
C6_2h	5	990	990	LT934125.1	+	1	990	3516.998828	2h	C6	8
PC_12_1.5h	5	990	990	LT934125.1	+	1	990	2212.389381	1.5h	PC_12	8
PC_12_2h	5	990	990	LT934125.1	+	1	990	1334.222815	2h	PC_12	8
PC_12_6h	6	1122	1122	LT934125.1	+	1	1122	26.651031	6h	PC_12	9
PC_12_8h	7	1167	1167	LT934125.1	+	1	1167	31.349928	8h	PC_12	10
C6_2h	8	1221	1221	LT934125.1	+	1	1221	1172.332943	2h	C6	11
PC_12_6h	9	1290	1351	LT934125.1	+	62	1337	6289.643407	6h	PC_12	12
C6_8h	9	1292	1369	LT934125.1	+	78	1337	4552.05811	8h	C6	12
PK_15_4h	9	1305	1369	LT934125.1	+	65	1337	8321.831618	4h	PK_15	12
C6_6h	9	1314	1396	LT934125.1	+	83	1337	6554.549377	6h	C6	12
PC_12_8h	9	1325	1412	LT934125.1	+	88	1337	3040.943008	8h	PC_12	12
