chr	pos	strand	C6_12h	C6_4h	PC_12_12h	PC_12_4h	PK_15_12h	PK_15_4h
LT934125.1	52	+	0	0	0	0	1	0
LT934125.1	64	+	0	0	0	0	1	0
LT934125.1	66	+	0	0	0	0	1	0
LT934125.1	86	+	0	0	0	0	1	0
LT934125.1	97	-	0	0	0	0	14	0
LT934125.1	209	+	0	0	0	0	1	0
LT934125.1	275	+	0	0	0	0	1	0
LT934125.1	309	+	0	0	0	0	1	0
LT934125.1	392	-	0	0	0	0	3	0
LT934125.1	409	-	0	0	0	0	3	0
LT934125.1	432	-	0	0	0	0	1	0
LT934125.1	466	+	0	0	0	0	1	0
LT934125.1	480	-	1	0	0	0	0	0
LT934125.1	505	-	0	0	0	0	1	0
LT934125.1	586	-	0	0	0	0	1	0
LT934125.1	599	-	0	0	0	0	2	0
LT934125.1	646	+	0	0	1	0	0	0
LT934125.1	775	+	0	0	0	0	0	1
LT934125.1	776	+	0	0	0	0	1	0
LT934125.1	779	+	0	0	0	0	2	0
LT934125.1	947	+	0	0	0	0	2	0
LT934125.1	949	+	0	0	0	1	0	0
LT934125.1	955	+	1	0	1	0	0	0
LT934125.1	958	+	0	0	1	0	1	0
LT934125.1	959	+	0	0	0	0	1	0
LT934125.1	969	+	0	0	1	0	0	0
LT934125.1	974	+	0	0	0	0	0	1
LT934125.1	982	+	0	0	0	0	1	0
LT934125.1	983	+	0	0	0	0	1	0
LT934125.1	985	+	0	0	0	0	6	0
LT934125.1	986	+	1	0	1	0	15	1
LT934125.1	987	+	0	1	11	0	390	5
LT934125.1	988	+	2	0	4	1	0	0
LT934125.1	989	+	1	0	3	0	0	2
LT934125.1	990	+	109	15	191	17	15	39
LT934125.1	991	+	3	0	5	0	2	0
LT934125.1	992	+	2	0	2	0	3	0
LT934125.1	1033	+	1	0	0	0	0	0
LT934125.1	1035	+	3	0	0	0	0	0
LT934125.1	1065	+	0	0	1	0	0	0
LT934125.1	1108	+	0	0	0	0	0	1
LT934125.1	1161	-	0	0	0	0	1	0
LT934125.1	1174	+	1	0	0	0	0	0
LT934125.1	1181	+	0	0	0	0	1	0
LT934125.1	1184	+	0	0	1	0	0	0
LT934125.1	1200	-	0	0	1	0	0	0
LT934125.1	1250	+	0	0	1	0	0	0
LT934125.1	1251	+	0	0	1	0	0	0
LT934125.1	1257	+	0	0	0	0	0	1
LT934125.1	1258	+	0	0	0	0	1	0
LT934125.1	1259	+	0	0	0	0	2	0
LT934125.1	1260	+	1	0	1	0	1	0
LT934125.1	1265	+	0	0	0	0	1	0
LT934125.1	1280	+	1	0	0	0	0	0
LT934125.1	1286	+	0	0	0	0	1	0
LT934125.1	1292	+	0	0	0	0	1	1
LT934125.1	1305	+	0	0	1	0	0	0
LT934125.1	1306	-	0	0	0	0	1	0
LT934125.1	1312	-	0	0	1	0	0	0
LT934125.1	1327	+	0	0	2	0	0	0
LT934125.1	1331	+	0	0	1	0	2	1
LT934125.1	1332	+	2	0	0	1	1	4
LT934125.1	1333	+	1	0	0	0	0	1
LT934125.1	1334	+	1	1	3	0	40	13
LT934125.1	1335	+	0	0	0	0	2	3
LT934125.1	1336	+	0	0	2	2	1	1
LT934125.1	1337	+	3	1	21	1	0	27
LT934125.1	1339	+	5	0	2	0	7	10
LT934125.1	1344	-	1	0	0	0	0	0
LT934125.1	1356	+	0	1	0	0	1	0
LT934125.1	1361	+	0	0	0	0	1	0
LT934125.1	1379	+	0	0	0	0	0	1
LT934125.1	1380	+	0	0	1	0	0	0
LT934125.1	1381	+	0	0	2	0	0	0
LT934125.1	1382	+	2	0	0	0	0	0
LT934125.1	1397	+	1	0	0	0	0	0
LT934125.1	1401	+	0	0	0	0	1	0
LT934125.1	1404	+	0	0	0	0	1	0
LT934125.1	1444	+	0	0	1	0	0	0
LT934125.1	1460	-	0	0	0	0	1	0
LT934125.1	1468	+	0	0	0	0	2	0
LT934125.1	1469	+	1	0	0	0	0	1
LT934125.1	1482	-	0	0	1	0	0	0
LT934125.1	1501	+	1	0	4	0	0	1
LT934125.1	1533	+	0	0	1	0	0	0
LT934125.1	1548	-	0	0	0	0	1	0
LT934125.1	1550	-	0	0	1	0	1	0
LT934125.1	1571	+	0	0	0	0	1	0
LT934125.1	1590	+	0	0	0	0	1	0
LT934125.1	1597	+	1	0	0	0	2	0
LT934125.1	1598	+	0	0	1	0	2	0
LT934125.1	1599	+	0	0	0	2	0	0
LT934125.1	1600	+	23	3	45	0	167	2
LT934125.1	1602	+	1	0	1	0	9	0
LT934125.1	1603	+	8	0	9	0	34	2
LT934125.1	1604	+	0	0	0	0	2	1
LT934125.1	1616	+	1	0	0	0	0	0
LT934125.1	1619	+	1	0	0	0	1	0
LT934125.1	1644	+	0	0	0	0	1	0
LT934125.1	1645	+	0	0	1	0	0	0
LT934125.1	1647	+	1	0	0	0	1	0
LT934125.1	1655	+	0	0	1	0	0	0
LT934125.1	1658	+	0	0	0	0	1	0
LT934125.1	1660	+	0	0	0	0	1	0
LT934125.1	1666	+	2	0	0	0	0	0
LT934125.1	1669	+	0	0	0	0	1	0
LT934125.1	1712	+	3	0	4	0	1	2
LT934125.1	1713	+	3	0	0	0	1	0
LT934125.1	1714	+	0	0	1	0	0	0
LT934125.1	1715	+	3	0	0	0	1	0
LT934125.1	1718	+	1	0	0	0	0	0
LT934125.1	1720	+	0	0	1	0	0	0
LT934125.1	1723	+	2	1	0	0	0	0
LT934125.1	1725	+	0	0	0	0	0	1
LT934125.1	1728	+	0	0	2	1	0	0
LT934125.1	1729	+	1	0	0	0	0	1
LT934125.1	1772	+	0	0	0	0	1	0
LT934125.1	1773	+	0	0	1	0	0	0
LT934125.1	1774	+	0	0	1	0	0	0
LT934125.1	1783	+	0	0	0	0	1	0
LT934125.1	1787	+	0	0	0	0	1	0
LT934125.1	1792	-	0	0	1	0	0	0
LT934125.1	1793	+	0	0	1	0	0	1
LT934125.1	1797	+	0	0	1	0	0	0
LT934125.1	1815	+	0	0	1	0	0	0
LT934125.1	1816	+	1	0	0	0	0	0
LT934125.1	1829	-	0	0	0	0	1	0
LT934125.1	1830	+	0	0	1	0	0	2
LT934125.1	1836	+	0	0	0	0	2	0
LT934125.1	1838	+	0	0	0	0	1	0
LT934125.1	1842	-	0	0	0	1	0	0
LT934125.1	1851	+	0	0	3	0	0	0
LT934125.1	1852	+	1	0	0	0	0	2
LT934125.1	1853	+	0	0	4	0	0	0
LT934125.1	1854	+	2	1	0	0	1	2
LT934125.1	1869	+	0	0	0	0	0	1
LT934125.1	1870	+	1	0	3	0	0	0
LT934125.1	1871	+	6	0	0	0	1	2
LT934125.1	1873	+	0	0	2	0	2	0
LT934125.1	1891	-	0	0	1	0	0	0
LT934125.1	1898	+	1	0	0	0	0	0
LT934125.1	1899	+	0	0	0	0	1	0
LT934125.1	1901	+	1	0	0	0	0	0
LT934125.1	1910	+	0	0	0	0	1	0
LT934125.1	1911	+	0	1	0	0	0	0
LT934125.1	1912	+	1	0	0	0	0	1
LT934125.1	1914	+	1	0	2	0	1	0
LT934125.1	1915	+	1	0	0	0	0	0
LT934125.1	1934	+	1	0	0	0	0	0
LT934125.1	1935	+	0	0	0	0	1	1
LT934125.1	1941	-	0	0	1	0	0	0
LT934125.1	1967	+	1	0	1	0	0	1
LT934125.1	1974	+	0	0	0	0	1	0
LT934125.1	1976	+	0	0	1	0	0	0
LT934125.1	2013	+	0	0	1	0	0	0
LT934125.1	2014	+	0	0	0	0	1	1
