chr	strand	gene	group	cluster	start	end	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC	gene_mean_dominant_TES	gene_dominant_TES_shift	gene_mean_shift_TES	gene_sd_shift_TES	gene_varcoeff_shif_TES
LT934125.1	+	NOIR	PC_12_dRNA	66	108231	108233	108231	92.327578	46.163789	108231	108233	3	NOIR	3	dRNA	PC_12	dRNA	66	107483	108830	107483	108830	599	66	108231	0	0		
LT934125.1	+	ORF-1	C6_dRNA	1	2266	2275	2273	17297.018201	11617.400284	2273	2275	3		10	dRNA	C6	dRNA	1	1623	2243	1623	2243	-30	1	2273	0	0	0	
LT934125.1	+	ORF-1	PC_12_dRNA	1	2266	2275	2273	15511.033144	10109.869818	2271	2275	5		10	dRNA	PC_12	dRNA	1	1623	2243	1623	2243	-30	1	2273	0	0	0	
LT934125.1	+	ORF-1	PK_15_dRNA	1	2265	2275	2273	10123.895068	6770.076085	2271	2275	5		11	dRNA	PK_15	dRNA	1	1623	2243	1623	2243	-30	1	2273	0	0	0	
LT934125.1	+	UL11	C6_dRNA	51	79987	79998	79996	58990.576996	49051.245643	79993	79996	4		12	dRNA	C6	dRNA	51	79779	79970	79779	79970	-26	51	79996	0	0	0	
LT934125.1	+	UL11	PC_12_dRNA	51	79974	79997	79996	41547.410211	35499.953836	79993	79996	4		24	dRNA	PC_12	dRNA	51	79779	79970	79779	79970	-26	51	79996	0	0	0	
LT934125.1	+	UL11	PK_15_dRNA	51	79989	79996	79996	37034.724514	32922.728367	79994	79996	3		8	dRNA	PK_15	dRNA	51	79779	79970	79779	79970	-26	51	79996	0	0	0	
LT934125.1	+	UL14	C6_dRNA	50	76786	76786	76786	129.082225	129.082225	76786	76786	1	UL14	1	dRNA	C6	dRNA	50	76753	77232	76753	77232	446	50	76786	0	0		
LT934125.1	+	UL16	C6_dRNA	49	75647	75652	75648	3872.466761	2452.562282	75648	75652	5		6	dRNA	C6	dRNA	49	74654	75640	74654	75640	-8	49	75648	0	0	0	
LT934125.1	+	UL16	PC_12_dRNA	49	75644	75652	75648	1800.387775	1107.930939	75648	75651	4		9	dRNA	PC_12	dRNA	49	74654	75640	74654	75640	-8	49	75648	0	0	0	
LT934125.1	+	UL16	PK_15_dRNA	49	75639	75652	75648	1766.106805	865.21394	75648	75650	3		14	dRNA	PK_15	dRNA	49	74654	75640	74654	75640	-8	49	75648	0	0	0	
LT934125.1	+	UL18	C6_dRNA	46	71528	71546	71544	32270.556344	11359.235833	71530	71544	15		19	dRNA	C6	dRNA	46	70559	71449	70559	71449	-95	46	71544	0	0	0	
LT934125.1	+	UL18	PC_12_dRNA	46	71519	71544	71544	30421.937032	9509.74056	71530	71544	15		26	dRNA	PC_12	dRNA	46	70559	71449	70559	71449	-95	46	71544	0	0	0	
LT934125.1	+	UL20	PC_12_dRNA	43	66028	66028	66028	46.163789	46.163789	66028	66028	1	UL20	1	dRNA	PC_12	dRNA	43	65827	66312	65827	66312	284	43	66028	0	0		
LT934125.1	+	UL22	C6_dRNA	39	60247	60254	60251	11230.153607	10068.413579	60251	60251	1		8	dRNA	C6	dRNA	39	60254	62314	60254	62314	2063	39	60251	0	0	0	
LT934125.1	+	UL22	PC_12_dRNA	39	60245	60254	60251	11079.309388	9001.938879	60250	60251	2		10	dRNA	PC_12	dRNA	39	60254	62314	60254	62314	2063	39	60251	0	0	0	
LT934125.1	+	UL22	PK_15_dRNA	39	60240	60254	60251	11426.175844	9570.871725	60251	60251	1		15	dRNA	PK_15	dRNA	39	60254	62314	60254	62314	2063	39	60251	0	0	0	
LT934125.1	+	UL35	C6_dRNA	18	32406	32415	32415	80160.061959	63895.701562	32413	32415	3		10	dRNA	C6	dRNA	18	32066	32377	32066	32377	-38	18	32415	0	0	0	
LT934125.1	+	UL35	PC_12_dRNA	18	32402	32415	32415	80094.174129	69661.157788	32414	32415	2		14	dRNA	PC_12	dRNA	18	32066	32377	32066	32377	-38	18	32415	0	0	0	
LT934125.1	+	UL35	PK_15_dRNA	18	32403	32415	32415	70546.155148	60895.005842	32414	32415	2		13	dRNA	PK_15	dRNA	18	32066	32377	32066	32377	-38	18	32415	0	0	0	
LT934125.1	+	UL38	C6_dRNA	20	44943	44943	44943	129.082225	129.082225	44943	44943	1	UL38	1	dRNA	C6	dRNA	20	44837	45943	44837	45943	1000	20	44943	0	0		
LT934125.1	+	UL39	C6_dRNA	23	46297	46297	46297	129.082225	129.082225	46297	46297	1	UL39	1	dRNA	C6	dRNA	23	46274	48646	46274	48646	2349	23	46297	0	0		
