chr	pos	strand	C6_12h	C6_4h	PC_12_12h	PC_12_4h	PK_15_12h	PK_15_4h
LT934125.1	775	+	0	0	0	0	0	62.932662
LT934125.1	949	+	0	0	0	241.779497	0	0
LT934125.1	955	+	27.285874	0	0	0	0	0
LT934125.1	974	+	0	0	0	0	0	62.932662
LT934125.1	985	+	0	0	0	0	21.608618	0
LT934125.1	986	+	27.285874	0	0	0	54.021544	62.932662
LT934125.1	987	+	0	567.859171	133.655727	0	1404.560139	314.66331
LT934125.1	988	+	54.571748	0	48.602083	241.779497	0	0
LT934125.1	989	+	27.285874	0	36.451562	0	0	125.865324
LT934125.1	990	+	2974.160277	8517.887564	2320.749444	4110.251451	54.021544	2454.37382
LT934125.1	991	+	81.857622	0	60.752603	0	0	0
LT934125.1	992	+	54.571748	0	24.301041	0	0	0
LT934125.1	1033	+	27.285874	0	0	0	0	0
LT934125.1	1035	+	81.857622	0	0	0	0	0
LT934125.1	1108	+	0	0	0	0	0	62.932662
LT934125.1	1174	+	27.285874	0	0	0	0	0
LT934125.1	1257	+	0	0	0	0	0	62.932662
LT934125.1	1260	+	27.285874	0	0	0	0	0
LT934125.1	1280	+	27.285874	0	0	0	0	0
LT934125.1	1292	+	0	0	0	0	0	62.932662
LT934125.1	1327	+	0	0	24.301041	0	0	0
LT934125.1	1331	+	0	0	0	0	0	62.932662
LT934125.1	1332	+	54.571748	0	0	241.779497	0	251.730648
LT934125.1	1333	+	27.285874	0	0	0	0	62.932662
LT934125.1	1334	+	27.285874	567.859171	36.451562	0	144.05745	818.124607
LT934125.1	1335	+	0	0	0	0	0	188.797986
LT934125.1	1336	+	0	0	24.301041	483.558994	0	62.932662
LT934125.1	1337	+	81.857622	567.859171	255.160934	241.779497	0	1699.181875
LT934125.1	1339	+	136.429371	0	24.301041	0	25.210054	629.326621
LT934125.1	1356	+	0	567.859171	0	0	0	0
LT934125.1	1379	+	0	0	0	0	0	62.932662
LT934125.1	1381	+	0	0	24.301041	0	0	0
LT934125.1	1382	+	54.571748	0	0	0	0	0
LT934125.1	1397	+	27.285874	0	0	0	0	0
LT934125.1	1469	+	27.285874	0	0	0	0	62.932662
LT934125.1	1501	+	27.285874	0	48.602083	0	0	62.932662
LT934125.1	1597	+	27.285874	0	0	0	0	0
LT934125.1	1599	+	0	0	0	483.558994	0	0
LT934125.1	1600	+	627.575104	1703.577513	546.773429	0	601.439854	125.865324
LT934125.1	1602	+	27.285874	0	0	0	32.412926	0
LT934125.1	1603	+	218.286993	0	109.354686	0	122.448833	125.865324
LT934125.1	1604	+	0	0	0	0	0	62.932662
LT934125.1	1616	+	27.285874	0	0	0	0	0
LT934125.1	1619	+	27.285874	0	0	0	0	0
LT934125.1	1647	+	27.285874	0	0	0	0	0
LT934125.1	1666	+	54.571748	0	0	0	0	0
LT934125.1	1712	+	81.857622	0	48.602083	0	0	125.865324
LT934125.1	1713	+	81.857622	0	0	0	0	0
LT934125.1	1715	+	81.857622	0	0	0	0	0
LT934125.1	1718	+	27.285874	0	0	0	0	0
LT934125.1	1723	+	54.571748	567.859171	0	0	0	0
LT934125.1	1725	+	0	0	0	0	0	62.932662
LT934125.1	1728	+	0	0	24.301041	241.779497	0	0
LT934125.1	1729	+	27.285874	0	0	0	0	62.932662
LT934125.1	1793	+	0	0	0	0	0	62.932662
LT934125.1	1816	+	27.285874	0	0	0	0	0
LT934125.1	1830	+	0	0	0	0	0	125.865324
LT934125.1	1851	+	0	0	36.451562	0	0	0
LT934125.1	1852	+	27.285874	0	0	0	0	125.865324
LT934125.1	1853	+	0	0	48.602083	0	0	0
LT934125.1	1854	+	54.571748	567.859171	0	0	0	125.865324
LT934125.1	1869	+	0	0	0	0	0	62.932662
LT934125.1	1870	+	27.285874	0	36.451562	0	0	0
LT934125.1	1871	+	163.715245	0	0	0	0	125.865324
LT934125.1	1873	+	0	0	24.301041	0	0	0
LT934125.1	1898	+	27.285874	0	0	0	0	0
LT934125.1	1901	+	27.285874	0	0	0	0	0
LT934125.1	1911	+	0	567.859171	0	0	0	0
LT934125.1	1912	+	27.285874	0	0	0	0	62.932662
LT934125.1	1914	+	27.285874	0	24.301041	0	0	0
LT934125.1	1915	+	27.285874	0	0	0	0	0
LT934125.1	1934	+	27.285874	0	0	0	0	0
LT934125.1	1935	+	0	0	0	0	0	62.932662
LT934125.1	1967	+	27.285874	0	0	0	0	62.932662
LT934125.1	2014	+	0	0	0	0	0	62.932662
LT934125.1	2017	+	0	0	0	241.779497	0	0
LT934125.1	2069	+	27.285874	0	0	0	0	0
LT934125.1	2142	+	0	0	60.752603	0	0	0
LT934125.1	2168	+	0	0	0	0	21.608618	125.865324
LT934125.1	2188	+	0	0	0	0	0	62.932662
LT934125.1	2223	+	0	0	0	0	21.608618	0
LT934125.1	2277	+	0	0	0	0	0	62.932662
LT934125.1	2286	+	0	0	0	0	25.210054	0
LT934125.1	2301	+	0	0	0	0	21.608618	0
LT934125.1	2330	+	0	0	0	0	14.405745	0
LT934125.1	2370	+	0	0	0	0	0	62.932662
LT934125.1	2473	+	0	0	48.602083	0	0	0
LT934125.1	2487	+	0	0	0	0	0	62.932662
LT934125.1	2489	+	27.285874	0	0	0	0	0
LT934125.1	2506	+	0	0	0	0	21.608618	0
LT934125.1	2537	+	0	0	0	0	14.405745	0
LT934125.1	2546	+	0	567.859171	0	0	0	0
LT934125.1	2549	+	27.285874	0	0	0	0	0
LT934125.1	2568	+	0	0	24.301041	0	0	0
LT934125.1	2569	+	0	0	0	0	0	62.932662
LT934125.1	2571	+	0	0	0	0	0	62.932662
LT934125.1	2572	+	0	0	0	0	25.210054	0
LT934125.1	2580	+	0	0	24.301041	0	0	0
LT934125.1	2581	+	0	0	0	0	0	62.932662
LT934125.1	2582	+	0	0	0	0	14.405745	0
LT934125.1	2583	+	0	0	0	0	0	62.932662
LT934125.1	2584	+	54.571748	0	0	0	28.81149	0
LT934125.1	2586	+	81.857622	0	0	0	0	0
LT934125.1	2596	+	0	0	0	0	0	62.932662
LT934125.1	2597	+	0	0	0	0	25.210054	0
LT934125.1	2599	+	54.571748	0	0	0	0	0
LT934125.1	2604	+	27.285874	0	0	0	0	0
LT934125.1	2618	+	0	0	24.301041	0	0	0
LT934125.1	2619	+	0	0	0	0	0	62.932662
LT934125.1	2621	+	0	0	0	0	0	62.932662
LT934125.1	2622	+	0	0	0	0	28.81149	0
LT934125.1	2624	+	27.285874	0	0	0	0	0
LT934125.1	2634	+	0	0	0	0	0	62.932662
LT934125.1	2635	+	0	0	0	0	25.210054	0
LT934125.1	2637	+	27.285874	0	0	0	0	0
LT934125.1	2753	+	0	0	0	241.779497	0	0
LT934125.1	2851	+	27.285874	0	0	0	0	0
LT934125.1	2969	+	0	0	0	0	0	62.932662
LT934125.1	2978	+	0	0	0	241.779497	0	0
LT934125.1	3645	+	0	0	0	241.779497	0	0
LT934125.1	3651	+	0	1703.577513	48.602083	1934.235977	0	0
LT934125.1	3657	+	27.285874	0	0	0	0	0
LT934125.1	3669	+	27.285874	0	0	0	0	0
LT934125.1	3672	+	27.285874	0	0	0	0	0
LT934125.1	3871	+	191.001119	0	0	0	0	0
LT934125.1	3901	+	27.285874	0	0	0	0	0
LT934125.1	3966	+	0	0	0	0	0	62.932662
LT934125.1	3967	+	0	0	24.301041	0	0	0
LT934125.1	4480	+	0	0	24.301041	0	46.818671	0
