seqnames	strand	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines
LT934125.1	+	1	775	775	0	1	62.932662	0	0	0	775	775	775	4h	PK_15
LT934125.1	+	2	949	949	0	1	241.779497	0	0	0	949	949	949	4h	PC_12
LT934125.1	+	3	985	990	3	6	23498.565689	0	0	1.49319665010434	989.5	987	990	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	4	1033	1035	0	1	109.143496	1.28584540492312	1.28584540492312	1.28584540492312	1035	1035	1035	12h	C6
LT934125.1	+	5	1108	1108	0	1	62.932662	0	0	0	1108	1108	1108	4h	PK_15
LT934125.1	+	6	1174	1174	0	1	27.285874	0	0	0	1174	1174	1174	12h	C6
LT934125.1	+	7	1257	1260	3	2	90.218536	0	0	0	1258.5	1257	1260	4h, 12h	PK_15, C6
LT934125.1	+	8	1327	1339	5	6	6740.009665	1.5695159675136	1.5695159675136	6.16375550076101	1336.16666666667	1334	1339	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	9	1379	1382	3	3	141.805451	0	0	0	1380.66666666667	1379	1382	4h, 12h	PK_15, PC_12, C6
LT934125.1	+	10	1469	1469	0	2	90.218536	0	0	0	1469	1469	1469	4h, 12h	PK_15, C6
LT934125.1	+	11	1501	1501	0	1	48.602083	0	0	0	1501	1501	1501	12h	PC_12
LT934125.1	+	12	1597	1604	1	6	4814.66339	0	0	3.53380760191737	1599.83333333333	1599	1600	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	13	1666	1666	0	1	54.571748	0	0	0	1666	1666	1666	12h	C6
LT934125.1	+	14	1712	1729	16	5	1338.822437	0	0	7.99293903385576	1717.4	1712	1728	4h, 12h	PK_15, PC_12, C6
LT934125.1	+	15	1830	1871	41	4	969.779259	0	0	1.56154964916481	1852	1830	1871	4h, 12h	PK_15, PC_12, C6
LT934125.1	+	16	1911	1914	3	3	655.092874	0	0	0	1912.33333333333	1911	1914	4h, 12h	PK_15, PC_12, C6
LT934125.1	+	17	2014	2017	3	2	304.712159	0	0	0	2015.5	2014	2017	4h	PK_15, PC_12
LT934125.1	+	18	2069	2069	0	1	27.285874	0	0	0	2069	2069	2069	12h	C6
LT934125.1	+	19	2142	2142	0	1	60.752603	0	0	0	2142	2142	2142	12h	PC_12
LT934125.1	+	20	2168	2168	0	2	147.473942	0	0	0	2168	2168	2168	12h, 4h	PK_15
LT934125.1	+	21	2223	2223	0	1	21.608618	0	0	0	2223	2223	2223	12h	PK_15
LT934125.1	+	22	2277	2286	9	2	88.142716	0	0	0	2281.5	2277	2286	12h, 4h	PK_15
LT934125.1	+	23	2370	2370	0	1	62.932662	0	0	0	2370	2370	2370	4h	PK_15
LT934125.1	+	24	2473	2506	33	4	160.429237	0	0	0	2488.75	2473	2506	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	25	2546	2586	40	5	897.672141	0	0	1.58496250072116	2570.6	2546	2586	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	26	2753	2753	0	1	241.779497	0	0	0	2753	2753	2753	4h	PC_12
LT934125.1	+	27	2851	2851	0	1	27.285874	0	0	0	2851	2851	2851	12h	C6
LT934125.1	+	28	2969	2978	9	2	304.712159	0	0	0	2973.5	2969	2978	4h	PK_15, PC_12
LT934125.1	+	29	3645	3657	6	4	3955.480944	0	0	1.41282476276888	3652.5	3651	3657	12h, 4h	PC_12, C6
LT934125.1	+	30	3871	3871	0	1	191.001119	0	0	0	3871	3871	3871	12h	C6
LT934125.1	+	31	3966	3967	1	2	87.233703	0	0	0	3966.5	3966	3967	4h, 12h	PK_15, PC_12
LT934125.1	+	32	4480	4480	0	2	71.119712	0	0	0	4480	4480	4480	12h	PK_15, PC_12
LT934125.1	+	33	4557	4557	0	1	27.285874	0	0	0	4557	4557	4557	12h	C6
LT934125.1	+	34	4630	4635	5	4	350.220166	0	0	2	4632.25	4630	4635	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	35	4949	4978	29	3	876.3647	0	0	0	4964.66666666667	4949	4978	4h, 12h	PK_15, C6
LT934125.1	+	36	5107	5107	0	1	27.285874	0	0	0	5107	5107	5107	12h	C6
LT934125.1	+	37	6452	6455	0	1	54.571748	2	2	2	6452	6452	6452	12h	C6
LT934125.1	+	38	6680	6680	0	1	27.285874	0	0	0	6680	6680	6680	12h	C6
LT934125.1	+	39	6731	6731	0	1	62.932662	0	0	0	6731	6731	6731	4h	PK_15
LT934125.1	+	40	6887	6887	0	1	62.932662	0	0	0	6887	6887	6887	4h	PK_15
LT934125.1	+	41	7097	7097	0	1	62.932662	0	0	0	7097	7097	7097	4h	PK_15
LT934125.1	+	42	7272	7281	0	1	125.865324	3.32192809488736	3.32192809488736	3.32192809488736	7272	7272	7272	4h	PK_15
LT934125.1	+	43	7441	7441	0	1	27.285874	0	0	0	7441	7441	7441	12h	C6
LT934125.1	+	44	7585	7591	0	5	9331.639306	1.69070187381633	1.69070187381633	3.70905995304893	7591	7591	7591	12h, 4h	PK_15, PC_12, C6
LT934125.1	+	45	7698	7698	0	1	62.932662	0	0	0	7698	7698	7698	4h	PK_15
