cluster	group	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time	TC.start	TC.end	consensus_peak	min_peak	max_peak	mean_shape	min_shape	max_shape	support	score	hpi_samples	cell_lines	peak_shift	TC.width
1	C6_8h	LT934125.1	242	242	+	242	32.2841	32.2841	242	242	1	0	1	8h	C6	8	242	242	242	242	242	0	0	0	1	32.2841	8h	C6	0	0
2	C6_6h	LT934125.1	643	643	+	643	86.244071	86.244071	643	643	1	0	1	6h	C6	6	623	646	638.25	623	646	0	0	0	4	218.057603	6h, 8h, 4h	C6, PC_12, PK_15	-4.75	23
2	C6_8h	LT934125.1	646	646	+	646	64.5682	64.5682	646	646	1	0	1	8h	C6	8	623	646	638.25	623	646	0	0	0	4	218.057603	6h, 8h, 4h	C6, PC_12, PK_15	-7.75	23
2	PC_12_6h	LT934125.1	641	641	+	641	26.651031	26.651031	641	641	1	0	1	6h	PC_12	6	623	646	638.25	623	646	0	0	0	4	218.057603	6h, 8h, 4h	C6, PC_12, PK_15	-2.75	23
2	PK_15_4h	LT934125.1	623	623	+	623	40.594301	40.594301	623	623	1	0	1	4h	PK_15	4	623	646	638.25	623	646	0	0	0	4	218.057603	6h, 8h, 4h	C6, PC_12, PK_15	15.25	23
3	C6_12h	LT934125.1	779	782	+	779	265.754709	244.774074	779	779	1	0	4	12h	C6	12	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	C6_4h	LT934125.1	779	779	+	779	525.486075	525.486075	779	779	1	0	1	4h	C6	4	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	C6_6h	LT934125.1	779	779	+	779	86.244071	86.244071	779	779	1	0	1	6h	C6	6	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	C6_8h	LT934125.1	779	782	+	779	290.556901	225.988701	779	782	4	1.52840901025266	4	8h	C6	8	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	NRK_2h	LT934125.1	779	779	+	779	3236.245955	3236.245955	779	779	1	0	1	2h	NRK	2	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PC_12_12h	LT934125.1	779	779	+	779	136.512249	136.512249	779	779	1	0	1	12h	PC_12	12	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PC_12_4h	LT934125.1	779	782	+	779	602.288698	401.525798	779	782	4	2.5032583392032	4	4h	PC_12	4	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PC_12_6h	LT934125.1	771	782	+	779	453.067533	399.765471	779	779	1	0	12	6h	PC_12	6	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PC_12_8h	LT934125.1	779	781	+	779	313.499279	282.149351	779	781	3	0.743340430445093	3	8h	PC_12	8	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PK_15_12h	LT934125.1	779	779	+	779	20.594966	20.594966	779	779	1	0	1	12h	PK_15	12	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PK_15_4h	LT934125.1	779	782	+	779	284.160104	162.377202	779	782	4	1.97045627290312	4	4h	PK_15	4	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PK_15_6h	LT934125.1	779	782	+	779	185.485366	169.356204	779	779	1	0	4	6h	PK_15	6	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
3	PK_15_8h	LT934125.1	779	782	+	779	127.19354	92.105667	779	782	4	1.69950227224181	4	8h	PK_15	8	771	782	779	779	779	0	0	2.5032583392032	13	6527.089446	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	0	0
4	C6_2h	LT934125.1	878	878	+	878	1172.332943	1172.332943	878	878	1	0	1	2h	C6	2	878	878	878	878	878	0	0	0	1	1172.332943	2h	C6	0	0
5	C6_12h	LT934125.1	986	990	+	990	2342.837561	2000.153858	989	990	2	0.3117876112701	5	12h	C6	12	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	C6_1h	LT934125.1	990	990	+	990	1540.832049	1540.832049	990	990	1	0	1	1h	C6	1	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	C6_2h	LT934125.1	990	990	+	990	3516.998828	3516.998828	990	990	1	0	1	2h	C6	2	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	C6_4h	LT934125.1	982	990	+	990	8933.263269	6305.832895	987	990	4	2.37255624940412	9	4h	C6	4	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	C6_6h	LT934125.1	982	990	+	990	5692.108667	4312.203536	987	990	4	2.07163206972356	9	6h	C6	6	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	C6_8h	LT934125.1	976	990	+	990	2001.614203	1388.216303	987	990	4	2.27206530737115	15	8h	C6	8	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	NRK_2h	LT934125.1	987	987	+	987	3236.245955	3236.245955	987	987	1	0	1	2h	NRK	2	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	2.83333333333337	3
5	PC_12_1.5h	LT934125.1	990	990	+	990	2212.389381	2212.389381	990	990	1	0	1	1.5h	PC_12	1.5	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	PC_12_12h	LT934125.1	986	990	+	990	1023.841865	675.73563	987	990	4	2.70231393303976	5	12h	PC_12	12	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	PC_12_2.5h	LT934125.1	987	990	+	990	2220.57735	1480.3849	987	990	4	1.83659166810898	4	2.5h	PC_12	2.5	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	PC_12_2h	LT934125.1	990	990	+	990	1334.222815	1334.222815	990	990	1	0	1	2h	PC_12	2	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
5	PC_12_4h	LT934125.1	987	994	+	990	2108.010442	903.433046	987	990	4	3.04863334687918	8	4h	PC_12	4	976	994	989.833333333333	987	990	0	0	7.54578612195436	18	43637.421439	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	-0.166666666666629	3
