chr	strand	gene	group	cluster	start	end	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC
LT934125.1	+	ELIE	C6_6h	83	101312	101312	101312	54.540496	54.540496	101312	101312	1	ELIE	1	6h	C6	6	83	100549	102393	100549	102393	1081	83
LT934125.1	+	NOIR	C6_12h	87	107986	107989	107989	53.567733	38.958351	107986	107989	4	NOIR	4	12h	C6	12	0	107483	108830	107483	108830	841	0
LT934125.1	+	NOIR	C6_12h	88	108067	108079	108071	82.786497	58.437527	108067	108079	13	NOIR	13	12h	C6	12	88	107483	108830	107483	108830	759	0
LT934125.1	+	NOIR	C6_12h	89	108152	108152	108152	51.132836	51.132836	108152	108152	1	NOIR	1	12h	C6	12	0	107483	108830	107483	108830	678	0
LT934125.1	+	NOIR	C6_12h	90	108231	108232	108232	82.786496	46.263042	108231	108232	2	NOIR	2	12h	C6	12	0	107483	108830	107483	108830	598	90
LT934125.1	+	NOIR	C6_6h	87	107969	107969	107969	54.540496	54.540496	107969	107969	1	NOIR	1	6h	C6	6	0	107483	108830	107483	108830	861	0
LT934125.1	+	NOIR	C6_6h	90	108206	108252	108206	109.080992	54.540496	108206	108252	47	NOIR	47	6h	C6	6	90	107483	108830	107483	108830	624	90
LT934125.1	+	NOIR	C6_8h	88	108071	108071	108071	36.604561	36.604561	108071	108071	1	NOIR	1	8h	C6	8	88	107483	108830	107483	108830	759	0
LT934125.1	+	NOIR	C6_8h	89	108120	108120	108120	24.403041	24.403041	108120	108120	1	NOIR	1	8h	C6	8	0	107483	108830	107483	108830	710	0
LT934125.1	+	NOIR	C6_8h	90	108233	108233	108233	24.403041	24.403041	108233	108233	1	NOIR	1	8h	C6	8	0	107483	108830	107483	108830	597	90
LT934125.1	+	NOIR	PC_12_12h	88	108071	108071	108071	24.348607	24.348607	108071	108071	1	NOIR	1	12h	PC_12	12	0	107483	108830	107483	108830	759	0
LT934125.1	+	NOIR	PC_12_12h	89	108152	108152	108152	43.286413	43.286413	108152	108152	1	NOIR	1	12h	PC_12	12	89	107483	108830	107483	108830	678	0
LT934125.1	+	NOIR	PC_12_12h	90	108230	108232	108232	32.46481	18.937806	108230	108232	3	NOIR	3	12h	PC_12	12	0	107483	108830	107483	108830	598	90
LT934125.1	+	NOIR	PC_12_4h	89	108142	108142	108142	51.474752	51.474752	108142	108142	1	NOIR	1	4h	PC_12	4	89	107483	108830	107483	108830	688	0
LT934125.1	+	NOIR	PC_12_4h	90	108225	108225	108225	51.474752	51.474752	108225	108225	1	NOIR	1	4h	PC_12	4	90	107483	108830	107483	108830	605	90
LT934125.1	+	NOIR	PC_12_6h	90	108233	108233	108233	25.623615	25.623615	108233	108233	1	NOIR	1	6h	PC_12	6	90	107483	108830	107483	108830	597	90
LT934125.1	+	NOIR	PC_12_8h	88	108051	108051	108051	22.858188	22.858188	108051	108051	1	NOIR	1	8h	PC_12	8	0	107483	108830	107483	108830	779	0
LT934125.1	+	NOIR	PC_12_8h	89	108152	108152	108152	34.287282	34.287282	108152	108152	1	NOIR	1	8h	PC_12	8	89	107483	108830	107483	108830	678	0
LT934125.1	+	NOIR	PC_12_8h	90	108232	108232	108232	22.858188	22.858188	108232	108232	1	NOIR	1	8h	PC_12	8	0	107483	108830	107483	108830	598	90
LT934125.1	+	ORF-1	C6_12h	2	2266	2275	2273	10806.072632	7453.219542	2272	2275	4		10	12h	C6	12	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	C6_1h	2	2269	2275	2273	22831.050229	16307.89302	2272	2275	4		7	1h	C6	1	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	C6_2h	2	2269	2275	2273	20335.53635	11692.933401	2271	2275	5		7	2h	C6	2	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	C6_4h	2	2259	2275	2273	29495.178671	19568.916619	2273	2275	3		17	4h	C6	4	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	C6_6h	1	1789	1789	1789	54.540496	54.540496	1789	1789	1	ORF-1	1	6h	C6	6	0	1623	2243	1623	2243	454	0
LT934125.1	+	ORF-1	C6_6h	2	2266	2275	2273	23725.115899	17507.499318	2272	2275	4		10	6h	C6	6	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	C6_8h	2	2266	2275	2273	17130.934513	11689.056456	2271	2275	5		10	8h	C6	8	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	NRK_1h	2	2269	2275	2273	31578.947367	23684.210526	2271	2273	3		7	1h	NRK	1	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	NRK_2h	2	2270	2275	2273	21241.830065	14705.882353	2271	2275	5		6	2h	NRK	2	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_0.5h	2	2272	2273	2272	33333.333334	16666.666667	2272	2273	2		2	0.5h	PC_12	0.5	2	1623	2243	1623	2243	-29	2
LT934125.1	+	ORF-1	PC_12_1.5h	2	2273	2275	2273	28241.335044	23106.546855	2273	2275	3		3	1.5h	PC_12	1.5	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_12h	2	2266	2275	2273	10250.763599	7025.925856	2272	2275	4		10	12h	PC_12	12	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_1h	2	2266	2275	2273	27439.02439	14481.707317	2271	2275	5		10	1h	PC_12	1	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_2.5h	2	2268	2275	2273	25839.79328	18087.855297	2273	2275	3		8	2.5h	PC_12	2.5	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_2h	2	2266	2275	2273	26143.790847	18039.215686	2272	2275	4		10	2h	PC_12	2	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_4h	2	2266	2275	2273	23678.385752	16368.97102	2272	2275	4		10	4h	PC_12	4	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_6h	2	2266	2275	2273	21677.578056	14579.836778	2271	2275	5		10	6h	PC_12	6	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PC_12_8h	2	2266	2275	2273	15795.007771	11074.79199	2272	2275	4		10	8h	PC_12	8	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_12h	2	2266	2275	2273	4992.759419	3546.186884	2271	2275	5		10	12h	PK_15	12	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_1h	2	2269	2275	2273	11227.54491	5988.023952	2271	2275	5		7	1h	PK_15	1	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_2h	2	2266	2275	2273	25301.509658	17542.380029	2271	2275	5		10	2h	PK_15	2	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_4h	2	2266	2275	2273	18941.2841	13078.010645	2271	2275	5		10	4h	PK_15	4	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_6h	2	2263	2275	2273	12441.577913	8577.796336	2271	2275	5		13	6h	PK_15	6	2	1623	2243	1623	2243	-30	2
LT934125.1	+	ORF-1	PK_15_8h	2	2266	2275	2273	7543.197528	5320.648256	2271	2275	5		10	8h	PK_15	8	2	1623	2243	1623	2243	-30	2
LT934125.1	+	UL11	C6_12h	61	79987	79998	79996	36786.423012	28232.630054	79993	79996	4		12	12h	C6	12	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	C6_1h	61	79991	79998	79996	40443.574691	28701.891716	79993	79996	4		8	1h	C6	1	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	C6_2h	61	79991	79996	79996	56939.50178	38129.130656	79993	79996	4		6	2h	C6	2	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	C6_4h	61	79990	80001	79996	36301.758365	27226.318775	79994	79996	3		12	4h	C6	4	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	C6_6h	61	79987	79996	79996	50449.959094	37196.618489	79993	79996	4		10	6h	C6	6	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	C6_8h	61	79988	79996	79996	51551.423308	39691.545567	79993	79996	4		9	8h	C6	8	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	NRK_1h	61	79991	80001	79996	55263.157893	34210.526316	79993	79996	4		11	1h	NRK	1	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	NRK_2h	61	79991	80001	79996	51470.588234	35130.718954	79994	79996	3		11	2h	NRK	2	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_0.5h	61	79995	79996	79996	66666.666667	50000	79995	79996	2		2	0.5h	PC_12	0.5	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_1.5h	61	79990	79998	79996	42362.002565	34659.820282	79994	79996	3		9	1.5h	PC_12	1.5	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_12h	61	79988	79996	79996	34323.419844	26721.243619	79994	79996	3		9	12h	PC_12	12	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_1h	61	79991	80000	79996	45731.707318	35060.97561	79993	79996	4		10	1h	PC_12	1	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_2.5h	61	79990	80001	79996	43927.648579	32730.404823	79993	79996	4		12	2.5h	PC_12	2.5	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_2h	61	79991	79996	79996	44967.320262	35032.679739	79994	79996	3		6	2h	PC_12	2	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_4h	61	79982	79996	79996	36289.699902	28928.810418	79993	79996	4		15	4h	PC_12	4	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_6h	61	79987	79996	79996	36423.968329	28352.529691	79993	79996	4		10	6h	PC_12	6	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PC_12_8h	61	79988	79998	79996	39476.090336	30527.109811	79994	79996	3		11	8h	PC_12	8	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_12h	61	79988	79996	79996	30439.776577	24261.352584	79994	79996	3		9	12h	PK_15	12	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_1h	61	79988	79996	79996	17215.568862	11976.047904	79993	79996	4		9	1h	PK_15	1	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_2h	61	79991	79996	79996	23614.742347	17542.380029	79993	79996	4		6	2h	PK_15	2	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_4h	61	79987	79996	79996	43309.214903	33641.051231	79994	79996	3		10	4h	PK_15	4	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_6h	61	79987	79996	79996	35664.515091	28042.602217	79994	79996	3		10	6h	PK_15	6	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL11	PK_15_8h	61	79987	79998	79996	35341.277305	28209.662976	79994	79996	3		12	8h	PK_15	8	61	79779	79970	79779	79970	-26	61
LT934125.1	+	UL14	C6_6h	60	77133	77133	77133	54.540496	54.540496	77133	77133	1	UL14	1	6h	C6	6	60	76753	77232	76753	77232	99	60
LT934125.1	+	UL16	C6_12h	59	75648	75651	75650	182.617271	51.132836	75648	75651	4		4	12h	C6	12	59	74654	75640	74654	75640	-10	59
LT934125.1	+	UL16	C6_4h	59	75651	75651	75651	283.607487	283.607487	75651	75651	1		1	4h	C6	4	59	74654	75640	74654	75640	-11	59
LT934125.1	+	UL16	C6_6h	59	75649	75650	75650	163.621489	109.080993	75649	75650	2		2	6h	C6	6	59	74654	75640	74654	75640	-10	59
LT934125.1	+	UL16	C6_8h	59	75648	75651	75648	256.231926	97.612162	75648	75651	4		4	8h	C6	8	59	74654	75640	74654	75640	-8	59
LT934125.1	+	UL16	PC_12_1.5h	59	75648	75648	75648	1283.697047	1283.697047	75648	75648	1		1	1.5h	PC_12	1.5	59	74654	75640	74654	75640	-8	59
LT934125.1	+	UL16	PC_12_12h	59	75648	75652	75650	270.540079	70.340421	75648	75651	4		5	12h	PC_12	12	59	74654	75640	74654	75640	-10	59
LT934125.1	+	UL16	PC_12_4h	59	75633	75652	75649	617.697021	154.424255	75636	75651	16		20	4h	PC_12	4	59	74654	75640	74654	75640	-9	59
LT934125.1	+	UL16	PC_12_6h	59	75648	75651	75648	217.800725	64.059037	75648	75651	4		4	6h	PC_12	6	59	74654	75640	74654	75640	-8	59
LT934125.1	+	UL16	PC_12_8h	59	75648	75651	75650	274.298254	114.290939	75648	75651	4		4	8h	PC_12	8	59	74654	75640	74654	75640	-10	59
LT934125.1	+	UL16	PK_15_12h	59	75648	75652	75649	356.625672	97.261547	75648	75651	4		5	12h	PK_15	12	59	74654	75640	74654	75640	-9	59
LT934125.1	+	UL16	PK_15_2h	59	75649	75649	75649	84.338366	84.338366	75649	75649	1		1	2h	PK_15	2	59	74654	75640	74654	75640	-9	59
LT934125.1	+	UL16	PK_15_4h	59	75648	75651	75648	291.084497	103.958749	75648	75651	4		4	4h	PK_15	4	59	74654	75640	74654	75640	-8	59
LT934125.1	+	UL16	PK_15_6h	59	75648	75652	75648	296.82697	75.464484	75648	75651	4		5	6h	PK_15	6	59	74654	75640	74654	75640	-8	59
LT934125.1	+	UL16	PK_15_8h	59	75648	75651	75651	236.972144	67.349978	75648	75651	4		4	8h	PK_15	8	59	74654	75640	74654	75640	-11	59
LT934125.1	+	UL18	C6_12h	57	70515	70521	70521	11458.625013	9902.725867	70519	70521	3		7	12h	C6	12	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_12h	58	71516	71544	71544	27139.361328	12700.422455	71531	71544	14		29	12h	C6	12	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	C6_1h	57	70517	70521	70521	6523.157209	4566.210046	70517	70521	5		5	1h	C6	1	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_1h	58	71529	71545	71544	13046.314417	5870.841487	71530	71544	15		17	1h	C6	1	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	C6_2h	57	70521	70521	70521	6609.049314	6609.049314	70521	70521	1		1	2h	C6	2	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_2h	58	71529	71545	71544	25927.808846	12709.710219	71531	71544	14		17	2h	C6	2	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	C6_4h	57	70519	70521	70521	5388.542257	4821.327283	70519	70521	3		3	4h	C6	4	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_4h	58	71530	71544	71544	20136.131593	11344.29949	71531	71544	14		15	4h	C6	4	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	C6_6h	57	70512	70521	70521	5781.292609	4799.563676	70519	70521	3		10	6h	C6	6	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_6h	58	71529	71546	71544	21434.415053	9653.667848	71531	71544	14		18	6h	C6	6	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	C6_8h	57	70514	70521	70521	6759.642252	5685.908464	70519	70521	3		8	8h	C6	8	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_8h	58	71528	71545	71544	18680.527594	8138.414046	71531	71544	14		18	8h	C6	8	58	70559	71449	70559	71449	-95	58
