seqnames	strand	TR_ID	TR_start	TR_end	correct_tss	correct_tes	sample	count
2	+	1	14923312	14923523	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	289
2	+	2	14923312	14923527	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	6836
LT934125.1	-	3	55270	56188	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	3500
2	+	2	14923312	14923527	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	4887
LT934125.1	+	4	53648	55158	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	391
13	-	5	11820697	11821486	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
9	-	6	1493253	1493862	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	17
9	-	7	113808366	113809387	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	5
3	-	8	109078287	109080489	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	9	69947	70515	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	10	63161	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	31356
18	+	11	50248627	50249074	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	12	79481	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	14
LT934125.1	+	13	31956	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	7
LT934125.1	+	14	32036	32412	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	41
LT934125.1	-	15	63153	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	12192
LT934125.1	+	16	9270	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1122
X	+	17	20107549	20108296	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	18	16581	17251	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	19	63161	63417	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	2261
LT934125.1	+	20	79444	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1848
2	+	21	14923312	14923530	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	3513
LT934125.1	-	22	28429	29414	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	906
LT934125.1	-	23	63161	63418	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1583
LT934125.1	+	24	14048	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	562
2	-	25	7911446	7915376	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
1	-	26	30920804	30923404	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	54
9	-	27	36388199	36388700	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	605
2	-	28	40284621	40285085	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	204
11	-	29	54082977	54083434	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	33
15	-	30	81091037	81092106	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	31	124790	126151	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	28
3	+	32	55160254	55160745	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	16
LT934125.1	-	15	63153	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	9425
MT	+	33	10044	10584	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	34	63161	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	35	116174	116730	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	36	126987	127543	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
8	-	37	56282179	56283345	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2
2	+	21	14923312	14923530	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	15838
1	+	38	86986294	86987465	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	3
LT934125.1	+	39	32038	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	6603
12	-	40	35398772	35399357	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	41	9119	10425	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	10	63161	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	24851
LT934125.1	+	42	15590	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	65
1	-	43	7581765	7583139	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	44	63161	63395	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	202
9	-	27	36388199	36388700	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	514
6	-	45	85802185	85802663	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	5
14	+	46	46648823	46649288	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	420
MT	+	47	7746	8134	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2
1	-	48	57822025	57823138	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
9	+	49	51338631	51339030	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
2	+	50	14923312	14923529	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1637
LT934125.1	-	51	63153	63424	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	271
MT	+	52	1651	1918	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
4	+	53	53952875	53953091	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	54	32686	34290	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	11
LT934125.1	-	55	92071	92934	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	75
2	-	56	90678995	90680229	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	30
X	-	57	26308527	26309023	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	59
1	-	58	113345876	113346330	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	73
12	+	59	1320873	1323217	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
6	+	60	81526374	81526929	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	61	42005	43410	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	62	32300	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	23
2	+	21	14923312	14923530	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	12596
LT934125.1	-	63	55270	55715	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
2	+	64	14923312	14923528	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	6506
LT934125.1	-	65	16581	17096	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	6
2	+	66	14923319	14923530	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	172
LT934125.1	-	67	32686	33152	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
LT934125.1	+	68	71100	71532	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	-	69	63153	63417	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	797
LT934125.1	+	70	9270	10427	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	+	71	31491	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	24
LT934125.1	+	72	44812	46038	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1394
