chr	pos	strand	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
LT934125.1	1789	+	0	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2251	+	0	0	0	0	0	0	0	0	0	0	38.645849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2256	+	0	0	0	0	0	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2259	+	0	0	0	283.607487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2263	+	0	0	0	0	0	0	17.072275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.123862	0
LT934125.1	2264	+	0	0	0	0	0	0	0	0	0	0	38.645849	34.372529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2265	+	0	0	0	0	0	0	12.804207	0	0	0	38.645849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	2266	+	36.523454	0	0	0	109.080993	109.813683	136.578204	0	0	151.538112	193.229247	189.048912	0	0	75.751222	762.195122	0	261.437908	102.949503	64.059037	114.290939	38.595852	0	337.353462	187.125749	115.712209	72.338865
LT934125.1	2267	+	56.00263	0	0	567.214974	163.621489	85.410642	89.629446	0	0	909.228671	270.520946	206.235177	0	0	43.286413	0	0	0	0	64.059037	125.720033	13.894507	0	84.338366	124.750499	110.681243	42.405542
LT934125.1	2268	+	0	0	0	0	0	24.403041	68.289102	0	0	303.076224	38.645849	68.745059	0	0	0	0	430.663221	0	102.949503	38.435422	22.858188	0	0	84.338366	41.5835	30.185794	0
LT934125.1	2269	+	153.398507	1304.631442	508.388409	0	272.702482	231.828886	431.074956	2631.578947	0	1060.766783	1700.417375	635.891795	0	0	113.626833	0	0	261.437908	257.373758	204.988918	114.290939	80.279372	748.502994	674.706924	395.043247	211.300555	114.744407
LT934125.1	2270	+	170.442786	0	508.388409	283.607487	272.702482	292.836487	798.128879	0	1633.986928	3030.762237	1739.063225	739.009384	0	0	159.618647	762.195122	0	784.313725	308.84851	320.295184	182.865502	61.753363	0	674.706924	187.125749	166.021865	82.31664
LT934125.1	2271	+	518.633049	0	1016.776817	1418.037436	1254.431415	1000.524665	2219.395812	2631.578947	816.993464	5303.833914	6299.273458	2663.871034	0	0	606.009777	2286.585366	1722.652885	1307.189542	1544.242549	1537.416883	822.894761	333.468162	1497.005988	1686.76731	1122.754491	729.490011	503.877613
LT934125.1	2272	+	282.448045	1304.631442	2541.942044	0	490.864467	317.239528	1617.598102	0	1633.986928	5000.757691	4057.814191	2371.704534	16666.666667	0	284.067083	762.195122	430.663221	784.313725	463.272765	640.590368	468.59285	104.980718	748.502994	927.722021	311.876248	251.54828	164.633279
LT934125.1	2273	+	7453.219542	16307.89302	11692.933401	19568.916619	17507.499318	11689.056456	9854.97102	23684.210526	14705.882353	18487.649644	16038.027516	14195.854673	16666.666667	23106.546855	7025.925856	14481.707317	18087.855297	18039.215686	16368.97102	14579.836778	11074.79199	3546.186884	5988.023952	17542.380029	13078.010645	8577.796336	5320.648256
LT934125.1	2274	+	46.263042	0	0	0	0	48.806081	315.837096	0	0	1212.304895	695.62529	395.284089	0	1283.697047	48.697214	0	0	0	51.474752	76.870844	80.003657	13.894507	0	84.338366	83.166999	40.247725	0
LT934125.1	2275	+	2089.141577	3913.894325	4067.10727	7373.794668	3654.213253	3331.015044	2227.93195	2631.578947	2450.980392	3636.914684	2937.084557	3248.204035	0	3851.091142	1893.780554	8384.146341	5167.958656	4705.882353	4478.303392	4151.025585	2788.698912	799.706054	2245.508982	3204.85789	3409.846973	2188.470033	1242.232926
LT934125.1	2276	+	0	0	0	0	54.540496	0	12.804207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.338366	0	0	0
LT934125.1	2277	+	0	0	0	0	0	0	12.804207	0	0	151.538112	0	0	0	0	0	0	0	0	0	38.435422	0	0	0	0	41.5835	0	0
LT934125.1	7254	+	0	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	8509	+	0	0	0	0	54.540496	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	8512	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.643206	0	0	0	0	51.247229	0	0	0	0	0	30.185794	0
LT934125.1	8517	+	0	0	0	0	54.540496	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5835	0	0
LT934125.1	8518	+	77.916702	652.315721	0	0	54.540496	85.410642	51.216826	0	0	0	38.645849	51.558794	0	1283.697047	45.991813	0	0	0	308.84851	153.741688	68.574563	27.789013	0	0	374.251497	135.836071	72.338865
LT934125.1	8519	+	214.270931	0	508.388409	283.607487	436.323971	549.068414	221.939581	0	0	454.614336	231.875097	223.421442	0	0	159.618647	762.195122	430.663221	261.437908	566.222268	499.660487	342.872817	49.402691	0	168.676731	998.003992	543.344284	286.861017
LT934125.1	8520	+	82.786496	0	508.388409	283.607487	109.080993	85.410642	183.526961	0	816.993464	151.538112	77.291699	240.607706	0	1283.697047	100.099829	0	0	0	205.899007	230.612533	137.149127	40.139686	0	168.676731	291.084498	246.517314	94.788858
LT934125.1	8521	+	60.872424	0	0	0	109.080993	73.209122	64.021033	0	0	303.076224	154.583398	85.931324	0	0	54.108016	762.195122	430.663221	261.437908	102.949503	128.118074	160.007315	21.613677	0	84.338366	332.667997	95.588346	52.383316
LT934125.1	8522	+	17.044279	0	0	0	54.540496	48.806081	106.701722	0	816.993464	454.614336	270.520946	120.303853	0	0	16.232405	0	0	0	102.949503	51.247229	68.574563	0	0	84.338366	41.5835	45.27869	37.416654
LT934125.1	8523	+	1083.52914	1304.631442	4067.10727	2552.467385	2836.105809	2135.266054	964.583565	0	3267.973856	1666.91923	1082.083784	1443.646238	0	2567.394095	973.944285	3048.780488	1291.989664	3398.69281	4117.980131	2805.785812	1417.207644	470.869395	3742.51497	1012.060386	3784.09847	2178.408102	1653.816125
LT934125.1	8524	+	0	0	0	0	54.540496	0	38.41262	0	0	0	77.291699	34.372529	0	0	13.527004	0	0	0	51.474752	38.435422	0	0	0	0	0	20.123862	0
LT934125.1	8525	+	0	0	0	0	0	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	8526	+	224.010519	652.315721	508.388409	283.607487	490.864467	512.463853	166.454686	0	0	757.690559	193.229247	240.607706	0	0	227.253666	762.195122	0	784.313725	669.171771	461.225065	548.596507	81.823206	0	253.015097	748.502994	493.034628	251.938806
LT934125.1	8528	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.338366	0	0	0
LT934125.1	8531	+	0	0	0	0	0	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	9272	+	0	0	0	0	0	24.403041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.092897	0
LT934125.1	9279	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5835	20.123862	0
LT934125.1	9934	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.437908	0	0	0	0	0	0	0	0	0
LT934125.1	9986	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.474752	0	0	0	0	0	0	0	0
LT934125.1	10332	+	0	0	0	0	0	0	0	0	816.993464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	10412	+	17.044279	0	0	0	0	0	17.072275	0	0	0	0	0	0	0	21.643206	0	0	0	51.474752	0	34.287282	13.894507	0	0	41.5835	15.092897	0
LT934125.1	10413	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.474752	0	0	13.894507	0	0	62.37525	0	12.472218
LT934125.1	10414	+	38.958351	0	0	0	54.540496	0	38.41262	0	0	0	38.645849	34.372529	0	0	45.991813	0	0	261.437908	0	76.870844	34.287282	74.104036	0	0	0	50.309656	44.899985
LT934125.1	10415	+	0	0	0	0	0	0	0	0	0	151.538112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	10416	+	21.914072	0	0	0	0	0	21.340344	0	0	0	38.645849	0	0	0	24.348607	0	0	0	51.474752	0	0	18.526009	0	0	0	20.123862	12.472218
LT934125.1	10417	+	24.348969	652.315721	0	0	0	24.403041	12.804207	0	0	0	38.645849	0	0	0	29.759409	0	0	0	0	0	0	23.157511	0	84.338366	0	0	0
LT934125.1	10418	+	19.479176	0	0	0	0	0	0	0	0	0	115.937548	51.558794	0	0	0	0	0	0	0	0	0	21.613677	0	84.338366	0	0	0
LT934125.1	10419	+	34.088557	0	0	0	0	0	59.752964	0	0	0	0	34.372529	0	0	48.697214	0	430.663221	0	51.474752	38.435422	57.14547	43.227354	0	0	41.5835	45.27869	37.416654
LT934125.1	10420	+	372.539232	652.315721	508.388409	283.607487	490.864467	366.045609	209.135375	0	0	303.076224	154.583398	223.421442	0	0	413.926321	0	0	261.437908	360.323261	281.859762	342.872817	483.220067	748.502994	84.338366	395.043247	372.291454	344.233221
LT934125.1	10421	+	97.395878	0	0	0	163.621489	97.612162	149.38241	0	1633.986928	303.076224	38.645849	171.862647	16666.666667	0	127.153837	0	430.663221	0	0	115.306266	125.720033	168.277915	0	84.338366	62.37525	115.712209	119.733294
LT934125.1	10422	+	148.528714	0	508.388409	283.607487	54.540496	219.627366	162.186617	0	0	303.076224	193.229247	85.931324	0	0	194.788857	0	0	261.437908	102.949503	115.306266	171.436409	169.821749	0	253.015097	41.5835	115.712209	152.161061
LT934125.1	10423	+	684.206041	652.315721	1016.776817	567.214974	327.242978	549.068414	2846.801936	0	1633.986928	3788.452796	2782.501159	2595.125975	0	0	857.612051	762.195122	430.663221	522.875817	411.798013	614.966753	765.749291	825.951233	0	1012.060386	415.834997	508.127525	458.977627
LT934125.1	10424	+	2468.9855	2609.262883	2033.553635	567.214974	1636.21489	2062.056932	2441.335393	5263.157895	816.993464	2424.609789	2511.980213	1993.60671	0	2567.394095	3113.916311	1524.390244	3445.305771	1307.189542	2264.889072	1960.206526	2171.527841	2842.198543	2994.011976	3879.564814	1725.715236	1655.18768	1718.671659
LT934125.1	10425	+	1575.378322	1304.631442	508.388409	283.607487	1090.809926	1232.353551	4233.924319	0	816.993464	5455.372026	5333.127222	3162.272712	0	0	2237.366455	2286.585366	1291.989664	261.437908	875.070778	1460.546039	2080.09509	2071.825337	1497.005988	1518.090579	1434.630739	1051.471809	1202.321828
LT934125.1	10426	+	29678.958838	22831.050228	31011.692933	21270.561543	23397.872921	26257.671706	22979.282794	15789.473684	14705.882353	19245.340203	19554.799814	20709.449008	0	17971.758665	32329.53946	15243.902439	22825.150732	18300.653595	25737.375817	25482.684842	27944.134589	37757.550121	5239.520958	25132.832926	26176.813041	22533.694892	26226.580292
LT934125.1	10427	+	73.046908	0	508.388409	283.607487	0	85.410642	93.897515	0	0	0	77.291699	34.372529	0	0	91.983627	0	0	0	205.899007	89.682652	114.290939	152.839574	0	337.353462	145.542249	105.650277	114.744407
LT934125.1	10428	+	270.273561	652.315721	508.388409	0	163.621489	341.642569	431.074956	0	0	909.228671	811.562838	532.774207	0	0	376.05071	0	861.326443	261.437908	360.323261	256.236147	342.872817	637.603475	0	506.030193	831.669993	457.817869	488.910951
LT934125.1	10429	+	679.336247	0	1016.776817	283.607487	654.485956	610.076015	704.231363	0	816.993464	909.228671	966.146236	773.381913	0	0	795.387833	762.195122	0	784.313725	617.69702	653.402175	571.454695	1435.765695	748.502994	1518.090579	1788.090486	970.976359	980.316345
LT934125.1	10430	+	1436.589196	1304.631442	508.388409	850.822462	1418.052904	1146.942909	1220.667697	0	0	909.228671	1545.833977	859.313237	0	0	1671.937689	1524.390244	2583.979328	1307.189542	1492.767797	1383.675195	1257.200329	3144.790023	1497.005988	2951.842793	2827.677977	2012.386237	2207.58261
LT934125.1	10431	+	3175.105614	5218.525766	3050.330452	2836.074872	2617.943823	2720.939029	2522.428702	0	1633.986928	4091.52902	2125.521719	2131.096827	16666.666667	3851.091142	3327.642974	1524.390244	3875.968992	2091.503268	2264.889072	2421.431591	2960.13532	6607.609867	2245.508982	5481.993759	4719.727212	4120.360821	4694.542906
LT934125.1	10432	+	21.914072	0	0	0	54.540496	0	93.897515	0	0	0	193.229247	171.862647	0	0	21.643206	0	0	0	0	0	45.716376	41.68352	0	0	41.5835	0	57.372203
LT934125.1	10433	+	0	0	0	0	0	36.604561	12.804207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.263004	0	0	0	0	0
LT934125.1	10434	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.527004	0	0	0	0	0	0	9.263004	0	0	0	0	0
LT934125.1	10435	+	112.005259	0	0	0	54.540496	36.604561	85.361377	0	0	0	115.937548	51.558794	0	0	100.099829	0	0	0	0	64.059037	68.574563	104.980718	0	84.338366	83.166999	65.402553	84.811083
LT934125.1	11975	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.806839	0	0	0	0	0
LT934125.1	11996	+	19.479176	0	0	0	0	0	0	0	0	0	0	0	0	0	21.643206	0	0	0	0	0	0	26.245179	0	0	41.5835	20.123862	14.966662
LT934125.1	11999	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5835	0	0
LT934125.1	12002	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.474752	0	0	0	0	0	0	0	0
LT934125.1	12005	+	0	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	13.527004	0	0	0	0	0	0	57.121861	0	0	0	20.123862	0
LT934125.1	12008	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.435422	0	16.982175	0	0	0	15.092897	27.43888
LT934125.1	12009	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.350673	0	0	0	0	0
LT934125.1	12012	+	12.174485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.508184	0	0	0	20.123862	17.461105
LT934125.1	12077	+	0	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.806839	0	0	0	0	0
LT934125.1	12079	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.894507	0	0	0	0	0
LT934125.1	12080	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.069843	0	0	0	0	14.966662
LT934125.1	12081	+	12.174485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.245179	0	0	0	0	0
LT934125.1	12083	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.894507	0	0	0	0	0
LT934125.1	12086	+	31.65366	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	40.581012	0	0	0	0	38.435422	22.858188	131.225897	0	0	83.166999	40.247725	54.87776
LT934125.1	12087	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.474752	0	0	0	0	0	0	0	0
LT934125.1	12089	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.595852	0	0	0	0	14.966662
LT934125.1	12092	+	17.044279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.139686	0	0	0	0	12.472218
LT934125.1	12101	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.092897	0
LT934125.1	12166	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.350673	0	0	0	0	0
LT934125.1	12167	+	17.044279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.052018	0	0	0	0	0
LT934125.1	12168	+	75.481805	0	0	0	0	24.403041	0	0	0	0	0	0	0	0	78.456623	0	0	0	51.474752	38.435422	0	220.768274	0	0	0	70.433518	99.777745
LT934125.1	12171	+	51.132836	0	0	0	0	36.604561	0	0	0	0	0	0	0	0	35.17021	0	0	0	0	0	22.858188	140.488901	0	0	0	25.154828	49.888873
LT934125.1	12173	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.894507	0	0	0	0	0
LT934125.1	12174	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.527004	0	0	0	0	0	0	24.701345	0	0	0	0	0
LT934125.1	12177	+	31.65366	0	0	0	0	0	0	0	0	0	0	0	0	0	32.464809	0	0	0	51.474752	25.623615	0	114.243722	0	0	0	20.123862	44.899985
LT934125.1	12203	+	14.609382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.701345	0	0	0	0	14.966662
LT934125.1	12206	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.350673	0	0	0	0	0
