seqnames	type	CDS.start	CDS.end	strand	gene	gene_cluster	cluster_component	TSS.canonic	TES.canonic	cluster_TES	TSS.win.start	TSS.win.end	TES.win.start	TES.win.end	TSS.win.width	TES.win.width	Kinetic_class
LT934125.1	gene	1623	2243	+	ORF-1	ORF-1	NA	1600	2273	2273	1590	1610	2263	2283	21	21	E
LT934125.1	gene	2797	3882	-	UL54	UL52-53-54	C	3910	2778	2778	3900	3920	2768	2788	21	21	E
LT934125.1	gene	3961	4899	-	UL53	UL52-53-54	B	4925	2778	2778	4915	4935	2768	2788	21	21	L
LT934125.1	gene	4854	7742	-	UL52	UL52-53-54	A	7758	2778	2778	7748	7768	2768	2788	21	21	E
LT934125.1	gene	7729	8439	+	UL51	UL51	NA	7588	8523	8523	7578	7598	8513	8533	21	21	L
LT934125.1	gene	8593	9399	-	UL50	UL50	NA	9494	8487	8487	9484	9504	8477	8497	21	21	L
LT934125.1	gene	9323	9619	+	UL49.5	UL49.5-49	A	9270	10426	10426	9260	9280	10416	10436	21	21	L
LT934125.1	gene	9657	10409	+	UL49	UL49.5-49	B	9646	10426	10426	9636	9656	10416	10436	21	21	L
LT934125.1	gene	10473	11714	+	UL48	UL48-47-46	A	10467	16224	16224	10457	10477	16214	16234	21	21	L
LT934125.1	gene	11815	14052	+	UL47	UL48-47-46	B	11793	16224	16224	11783	11803	16214	16234	21	21	L
LT934125.1	gene	14071	16146	+	UL46	UL48-47-46	C	14048	16224	16224	14038	14058	16214	16234	21	21	L
LT934125.1	gene	16625	19375	-	UL27	UL29-28-27	C	19473	16583	16583	19463	19483	16573	16593	21	21	L
LT934125.1	gene	19246	21402	-	UL28	UL29-28-27	B	21472	16583	16583	21462	21482	16573	16593	21	21	E
LT934125.1	gene	21554	25087	-	UL29	UL29-28-27	A	25313	16583	16583	25303	25323	16573	16593	21	21	E
LT934125.1	gene	25434	28580	+	UL30	UL30	NA	25420	28632	28632	25410	25430	28622	28642	21	21	E
LT934125.1	gene	28501	29316	-	UL31	UL32-31	B	29414	28429	28429	29404	29424	28419	28439	21	21	L
LT934125.1	gene	29309	30721	-	UL32	UL32-31	A	31043	28429	28429	31033	31053	28419	28439	21	21	L
LT934125.1	gene	30720	31070	+	UL33	UL33-34-35	A	30240	32415	32415	30230	30250	32405	32425	21	21	E
LT934125.1	gene	31226	32011	+	UL34	UL33-34-35	B	31098	32415	32415	31088	31108	32405	32425	21	21	E
LT934125.1	gene	32066	32377	+	UL35	UL33-34-35	C	32038	32415	32415	32028	32048	32405	32425	21	21	L
LT934125.1	gene	32705	41983	-	UL36	UL37-36	B	41995	32686	32686	41985	42005	32676	32696	21	21	L
LT934125.1	gene	42021	44780	-	UL37	UL37-36	A	44889	42005	42005	44879	44899	41995	42015	21	21	L
LT934125.1	gene	44837	45943	+	UL38	UL38-39-40	A	44812	49647	49647	44802	44822	49637	49657	21	21	E
LT934125.1	gene	46274	48646	+	UL39	UL38-39-40	B	46274	49647	49647	46264	46284	49637	49657	21	21	E
LT934125.1	gene	48656	49567	+	UL40	UL38-39-40	C	48567	49647	49647	48557	48577	49637	49657	21	21	E
LT934125.1	gene	50044	51141	-	UL41	UL41	NA	51147	50041	50041	51137	51157	50031	50051	21	21	L
LT934125.1	gene	51270	52415	+	UL42	UL42-43-44	A	51235	55161	55161	51225	51245	55151	55171	21	21	L
LT934125.1	gene	52473	53594	+	UL43	UL42-43-44	B	52444	55161	55161	52434	52454	55151	55171	21	21	L
LT934125.1	gene	53661	55103	+	UL44	UL42-43-44	C	53648	55161	55161	53638	53658	55151	55171	21	21	L
LT934125.1	gene	55343	56179	-	UL26.5	UL24-25-26-26.5	D	56188	55270	55270	56178	56198	55260	55280	21	21	L
LT934125.1	gene	55343	56917	-	UL26	UL24-25-26-26.5	C	56946	55270	55270	56936	56956	55260	55280	21	21	L
LT934125.1	gene	56951	58555	-	UL25	UL24-25-26-26.5	B	58556	55270	55270	58546	58566	55260	55280	21	21	L
LT934125.1	gene	58648	59163	-	UL24	UL24-25-26-26.5	A	59277	55270	55270	59267	59287	55260	55280	21	21	L
LT934125.1	gene	59156	60118	+	UL23	UL23-22	A	59068	62340	62340	59058	59078	62330	62350	21	21	L
LT934125.1	gene	60254	62314	+	UL22	UL23-22	B	60234	62340	62340	60224	60244	62330	62350	21	21	L
LT934125.1	gene	64143	65720	-	UL21	UL21	NA	65752	64133	64133	65742	65762	64123	64143	21	21	L
LT934125.1	NC-gene	63164	63420	-	CTO-S	CTO	C	63420	63164	63164	63410	63430	63154	63174	21	21	L
LT934125.1	NC-gene	63164	64127	-	CTO-M	CTO	B	64127	63164	63164	64117	64137	63154	63174	21	21	L
LT934125.1	NC-gene	63164	65752	-	CTO-L	CTO	A	65752	63164	63164	65742	65762	63154	63174	21	21	L
LT934125.1	gene	65827	66312	+	UL20	UL20-19-18	A	65806	71544	71544	65796	65816	71534	71554	21	21	L
LT934125.1	gene	66399	70391	+	UL19	UL20-19-18	B	66338	71544	71544	66328	66348	71534	71554	21	21	L
LT934125.1	gene	70559	71449	+	UL18	UL20-19-18	C	70529	71544	71544	70519	70539	71534	71554	21	21	L
LT934125.1	gene	71647	72783	-	UL15	UL15	NA	76860	71549	71549	76850	76870	71539	71559	21	21	L
LT934125.1	gene	72834	74627	+	UL17	UL17-16	A	72759	75645	75645	72749	72769	75635	75655	21	21	L
LT934125.1	gene	74654	75640	+	UL16	UL17-16	B	74400	75645	75645	74390	74410	75635	75655	21	21	L
LT934125.1	gene	75663	76754	-	UL15	UL15	NA	76860	71549	71549	76850	76870	71539	71559	21	21	L
LT934125.1	gene	76753	77232	+	UL14	UL14-13-12-11	A	76683	79996	79996	76673	76693	79986	80006	21	21	L
LT934125.1	gene	77202	78398	+	UL13	UL14-13-12-11	B	76990	79996	79996	76980	77000	79986	80006	21	21	L
LT934125.1	gene	78364	79821	+	UL12	UL14-13-12-11	C	78035	79996	79996	78025	78045	79986	80006	21	21	L
LT934125.1	gene	79779	79970	+	UL11	UL14-13-12-11	D	79444	79996	79996	79434	79454	79986	80006	21	21	L
LT934125.1	gene	80370	81551	-	UL10	UL10	NA	81804	80352	80352	81794	81814	80342	80362	21	21	L
LT934125.1	gene	81550	84090	+	UL9	UL9-8	A	81829	86167	86167	81819	81839	86157	86177	21	21	L
LT934125.1	gene	84087	86138	+	UL8	UL9-8	B	83975	86167	86167	83965	83985	86157	86177	21	21	E
LT934125.1	gene	86302	87102	-	UL7	UL7-6	B	87161	86133	86133	87151	87171	86123	86143	21	21	E
LT934125.1	gene	86993	88924	-	UL6	UL7-6	A	89079	86133	86133	89069	89089	86123	86143	21	21	L
LT934125.1	gene	88923	91427	+	UL5	UL5-4	A	88883	92059	92059	88873	88893	92049	92069	21	21	E
LT934125.1	gene	91486	91923	+	UL4	UL5-4	B	91409	92059	92059	91399	91419	92049	92069	21	21	L
LT934125.1	gene	92099	92752	-	UL3.5	UL1-2-3-3.5	D	92933	92069	92069	92923	92943	92059	92079	21	21	L
LT934125.1	gene	92749	93465	-	UL3	UL1-2-3-3.5	C	93654	92069	92069	93644	93664	92059	92079	21	21	L
LT934125.1	gene	93521	94483	-	UL2	UL1-2-3-3.5	B	94526	92069	92069	94516	94536	92059	92079	21	21	E
LT934125.1	gene	94461	94931	-	UL1	UL1-2-3-3.5	A	94947	92069	92069	94937	94957	92059	92079	21	21	L
LT934125.1	gene	96114	96851	-	EP0	EP0	NA	97362	95890	95890	97352	97372	95880	95900	21	21	E
LT934125.1	gene	96990	97346	-	EP0	EP0	NA	97362	95890	95890	97352	97372	95880	95900	21	21	E
LT934125.1	gene	102945	107297	-	IE180	IE180	NA	107560	102362	102362	107550	107570	102352	102372	21	21	IE
LT934125.1	gene	115740	116831	+	US1	US1	NA	114985	116962	116962	114975	114995	116952	116972	21	21	E
LT934125.1	gene	117833	118837	+	US3	US3-4	A	117769	120477	120477	117759	117779	120467	120487	21	21	L
LT934125.1	gene	118897	120396	+	US4	US3-4	B	118864	120477	120477	118854	118874	120467	120487	21	21	L
LT934125.1	gene	120576	121778	+	US6	US6-7	A	120555	122915	122915	120545	120565	122905	122925	21	21	L
LT934125.1	gene	121799	122896	+	US7	US6-7	B	121784	122915	122915	121774	121794	122905	122925	21	21	L
LT934125.1	gene	123000	124730	+	US8	US8-9-2	A	122979	126151	126151	122969	122989	126141	126161	21	21	L
LT934125.1	gene	124788	125084	+	US9	US8-9-2	B	124756	126151	126151	124746	124766	126141	126161	21	21	L
LT934125.1	gene	125308	126078	+	US2	US8-9-2	C	125225	126151	126151	125215	125235	126141	126161	21	21	L
LT934125.1	gene	126886	127977	-	US1_2	US1_2	NA	128732	126753	126753	128722	128742	126743	126763	21	21	E
LT934125.1	gene	136420	140772	+	IE180_2	IE180_2	NA	136158	141356	141356	136148	136168	141346	141366	21	21	IE
LT934125.1	NC-gene	100549	102393	+	ELIE	ELIE	NA	100549	102393	102393	100539	100559	102383	102403	21	21	E
LT934125.1	NC-gene	107483	108830	+	NOIR	NOIR	NA	107483	108830	108830	107473	107493	108820	108840	21	21	E
LT934125.1	NC-gene	134888	136235	-	NOIR_2	NOIR_2	NA	136235	134888	134888	136225	136245	134878	134898	21	21	E
LT934125.1	NC-gene	117251	118739	-	AZURE	AZURE	NA	118739	117251	117251	118729	118749	117241	117261	21	21	E
