dcDNA.TES_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA.TES_TC_significance
	LT934125.1	+	UL14L-13-12	1	75675	79955	75675	79955	75675	79955	75675	75675	79955	79955	TRUE	NAGATA						
	LT934125.1	+	UL1L-2-3-3.5	1	92069	95694	92069	95694	92069	95694	92069	92069	95694	95694	TRUE	NAGATA						
	LT934125.1	+	UL20	1	65806	66392	65806	66392	65806	66392	65806	65806	66392	66392	TRUE	NAGATA						
	LT934125.1	+	UL21-as	1	63850	65656	63850	65656	63850	65656	63850	63850	65656	65656	TRUE	NAGATA						
	LT934125.1	+	UL22-AT	1	60234	63051	60234	63051	60234	63051	60234	60234	63051	63051	TRUE	NAGATA						
	LT934125.1	+	UL23-AT	1	59068	60354	59068	60354	59068	60354	59068	59068	60354	60354	TRUE	NAGATA						
	LT934125.1	+	UL33	1	30240	31198	30240	31198	30240	31198	30240	30240	31198	31198	TRUE	NAGATA						
	LT934125.1	+	UL47.3	1	13166	14176	13166	14176	13166	14176	13166	13166	14176	14176	TRUE	NAGATA						
	LT934125.1	+	UL48	1	10467	11912	10467	11912	10467	11912	10467	10467	11912	11912	TRUE	NAGATA						
	LT934125.1	+	US2-AT	1	125225	126191	125225	126191	125225	126191	125225	125225	126191	126191	TRUE	NAGATA						
	LT934125.1	+	US4-AT	1	118864	121347	118864	121347	118864	121347	118864	118864	121347	121347	TRUE	NAGATA						
	LT934125.1	+	US6	1	120555	121842	120555	121842	120555	121842	120555	120555	121842	121842	TRUE	NAGATA						
	LT934125.1	+	US7-8-9-2-AT1	1	121784	126191	121784	126191	121784	126191	121784	121784	126191	126191	TRUE	NAGATA						
	LT934125.1	+	US8-9-2-AT1	1	122979	126191	122979	126191	122979	126191	122979	122979	126191	126191	TRUE	NAGATA						
	LT934125.1	-	CTO-AT	1	62617	63420	62617	63420	62617	63420	63420	63420	62617	62617	TRUE	NAGATA						
	LT934125.1	-	UL16-AS	1	74413	75324	74413	75324	74413	75324	75324	75324	74413	74413	TRUE	NAGATA						
	LT934125.1	-	UL20-21-C	1	64173	66924	64173	66924	64173	66924	66924	66924	64173	64173	TRUE	NAGATA						
	LT934125.1	-	UL21-AT2	1	64532	65752	64532	65752	64532	65752	65752	65752	64532	64532	TRUE	NAGATA						
	LT934125.1	-	UL25	1	55704	58556	55704	58556	55704	58556	58556	58556	55704	55704	TRUE	NAGATA						
	LT934125.1	-	UL26-26.5-AT	1	55310	56946	55310	56946	55310	56946	56946	56946	55310	55310	TRUE	NAGATA						
	LT934125.1	-	UL27-AT1	1	16259	19473	16259	19473	16259	19473	19473	19473	16259	16259	TRUE	NAGATA						
	LT934125.1	-	UL3	1	92445	93654	92445	93654	92445	93654	93654	93654	92445	92445	TRUE	NAGATA						
	LT934125.1	-	UL51-52	1	4648	8526	4648	8526	4648	8526	8526	8526	4648	4648	TRUE	NAGATA						
	LT934125.1	-	nc-EP0	1	96800	97006	96800	97006	96800	97006	97006	97006	96800	96800	TRUE	NAGATA						
TC_11	LT934125.1	+	UL48-L-AT	1	10431	12084	10431	12084	10431	12084	10431	10431	12084	12084	TRUE	NAGATA	12067	12102	10	838.873126	12085	***
TC_11	LT934125.1	+	nc-UL47	1	11793	12084	11793	12084	11793	12084	11793	11793	12084	12084	TRUE	NAGATA	12067	12102	10	838.873126	12085	***
TC_117	LT934125.1	+	nc-US1	1	115012	116628	115012	116628	115012	116628	115012	115012	116628	116628	TRUE	NAGATA	116605	116717	10	53884.603204	116629	***
TC_121	LT934125.1	+	PTO-US1-nonsp	1	112884	116961	112884	116961	112884	116961	112884	112884	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	PTO-US1-sp	1	112884	116961	112884	115138	112884	116961	112884	112884	116961	115138	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	PTO-US1-sp	2	112884	116961	115256	115308	112884	116961	112884	115256	116961	115308	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	PTO-US1-sp	3	112884	116961	115464	116961	112884	116961	112884	115464	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	TRS1	1	116628	116961	116628	116961	116628	116961	116628	116628	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	TRS1-L	1	116600	116961	116600	116961	116600	116961	116600	116600	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	TRS1-L2	1	116552	116961	116552	116961	116552	116961	116552	116552	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	TRS1-L3	1	116541	116961	116541	116961	116541	116961	116541	116541	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	TRS1-S	1	116715	116961	116715	116961	116715	116961	116715	116715	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1	1	114984	116961	114984	116961	114984	116961	114984	114984	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice	1	114984	116961	114984	115138	114984	116961	114984	114984	116961	115138	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice	2	114984	116961	115256	115308	114984	116961	114984	115256	116961	115308	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice	3	114984	116961	115464	116961	114984	116961	114984	115464	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-2	1	114984	116961	114984	115139	114984	116961	114984	114984	116961	115139	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-2	2	114984	116961	115257	116961	114984	116961	114984	115257	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-3	1	114984	116961	114984	115186	114984	116961	114984	114984	116961	115186	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-3	2	114984	116961	115474	116961	114984	116961	114984	115474	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-4	1	114984	116961	114984	115169	114984	116961	114984	114984	116961	115169	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-4	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-5	1	114984	116961	114984	115180	114984	116961	114984	114984	116961	115180	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
