seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	CAGE_TC_significance
LT934125.1	+	TC_1	1	775	775	0	1	62.932662	0	0	0	775	775	775			*
LT934125.1	+	TC_10	10	1469	1469	0	2	90.218536	0	0	0	1469	1469	1469			**
LT934125.1	+	TC_100	100	12166	12172	6	2	1051.418165	0	0	0	12169	12166	12172			**
LT934125.1	+	TC_1000	1000	123942	123942	0	1	62.932662	0	0	0	123942	123942	123942			*
LT934125.1	+	TC_1001	1001	124011	124011	0	1	567.859171	0	0	0	124011	124011	124011			*
LT934125.1	+	TC_1002	1002	124049	124056	7	2	78.872789	0	0	0	124052	124049	124056			*
LT934125.1	+	TC_1003	1003	124195	124203	8	2	90.218536	0	0	0	124199	124195	124203			**
LT934125.1	+	TC_1004	1004	124264	124282	18	3	138.820618	0	0	2.32192809488736	124275	124264	124282			**
LT934125.1	+	TC_1005	1005	124331	124335	2	4	1072.097008	0	0	1.18334555329787	124332	124331	124333			***
LT934125.1	+	TC_1006	1006	124381	124381	0	1	241.779497	0	0	0	124381	124381	124381			*
LT934125.1	+	TC_1007	1007	124404	124412	2	5	2487.334284	0	0	6.18438008025738	124408	124407	124409			***
LT934125.1	+	TC_1008	1008	124455	124455	0	1	125.865324	0	0	0	124455	124455	124455			*
LT934125.1	+	TC_1009	1009	124482	124489	3	5	1070.120879	0	0	1.9500672578537	124488	124486	124489			***
LT934125.1	+	TC_101	101	12204	12211	7	3	174.759816	0	0	3	12209	12204	12211			**
LT934125.1	+	TC_1010	1010	124542	124569	25	5	1328.3811	0	0	1.58496250072116	124560	124542	124567			***
LT934125.1	+	TC_1011	1011	124611	124638	27	4	532.164839	0	0	3.86484415740317	124620	124611	124638			***
LT934125.1	+	TC_1012	1012	124673	124692	19	3	244.979282	0	0	0.811278124459133	124681	124673	124692			**
LT934125.1	+	TC_1013	1013	124751	124756	3	6	28556.590273	0	0	0	124756	124753	124756			***
LT934125.1	+	TC_1014	1014	124823	124841	18	3	175.272181	0	0	2.28762888731282	124830	124823	124841			**
LT934125.1	+	TC_1015	1015	124868	124868	0	1	24.301041	0	0	0	124868	124868	124868			*
LT934125.1	+	TC_1016	1016	124941	124976	35	3	104.624281	0	0	0	124956	124941	124976			**
LT934125.1	+	TC_1017	1017	125099	125107	8	3	69.594096	0	0	0	125104	125099	125107			*
LT934125.1	+	TC_1018	1018	125142	125155	12	6	1504.305877	0	0	0.979868756898242	125151	125142	125154			***
LT934125.1	+	TC_1019	1019	125219	125227	0	6	33987.126398	0.981697552261449	0.981697552261449	2.92929433785436	125225	125225	125225			***
LT934125.1	+	TC_102	102	12373	12373	0	1	27.285874	0	0	0	12373	12373	12373			*
LT934125.1	+	TC_1020	1020	125270	125280	10	2	630.791833	0	0	0	125275	125270	125280			**
LT934125.1	+	TC_1021	1021	125305	125314	1	5	1276.016578	0	0	0.91829583405449	125314	125313	125314			***
LT934125.1	+	TC_1022	1022	125345	125361	16	4	706.67979	0	0	0	125355	125345	125361			***
LT934125.1	+	TC_1023	1023	125413	125413	0	1	54.571748	0	0	0	125413	125413	125413			*
LT934125.1	+	TC_1024	1024	125466	125479	13	2	117.50441	0	0	0	125472	125466	125479			**
LT934125.1	+	TC_1025	1025	125500	125506	0	2	118.309184	0	0	2.57798232963786	125506	125506	125506			**
LT934125.1	+	TC_1026	1026	125640	125641	1	3	1214.591131	0	0	1	125640	125640	125641			***
