chr	pos	strand	C6_dRNA	PC_12_dRNA	PK_15_dRNA
LT934125.1	2265	+	0	0	44.598657
LT934125.1	2266	+	129.082225	46.163789	107.036776
LT934125.1	2267	+	258.164451	46.163789	133.79597
LT934125.1	2268	+	0	92.327578	0
LT934125.1	2269	+	258.164451	415.474102	214.073552
LT934125.1	2270	+	774.493352	877.111993	472.745761
LT934125.1	2271	+	258.164451	184.655156	267.59194
LT934125.1	2273	+	11617.400284	10109.869818	6770.076085
LT934125.1	2274	+	0	0	17.839463
LT934125.1	2275	+	4001.548987	3739.266919	2096.136864
LT934125.1	2277	+	0	46.163789	0
LT934125.1	8515	+	0	0	17.839463
LT934125.1	8518	+	0	46.163789	80.277582
LT934125.1	8519	+	1032.657803	969.439572	1043.608567
LT934125.1	8520	+	0	230.818946	365.708985
LT934125.1	8523	+	645.411127	553.965469	472.745761
LT934125.1	8526	+	129.082225	230.818946	222.993283
LT934125.1	8666	+	0	46.163789	0
LT934125.1	10413	+	0	0	26.759194
LT934125.1	10414	+	0	0	35.678925
LT934125.1	10416	+	0	92.327578	0
LT934125.1	10417	+	0	0	26.759194
LT934125.1	10418	+	129.082225	276.982735	231.913015
LT934125.1	10419	+	0	46.163789	35.678925
LT934125.1	10420	+	387.246676	276.982735	258.672209
LT934125.1	10421	+	258.164451	184.655156	205.153821
LT934125.1	10422	+	516.328902	46.163789	98.117045
LT934125.1	10423	+	129.082225	92.327578	142.715701
LT934125.1	10424	+	1678.06893	1107.930939	1106.046686
LT934125.1	10425	+	258.164451	738.620626	642.220656
LT934125.1	10426	+	42726.2166	47641.030376	46391.522687
LT934125.1	10427	+	0	0	62.438119
LT934125.1	10428	+	0	0	53.518388
LT934125.1	10429	+	2710.726733	1892.715354	3781.966087
LT934125.1	10430	+	1419.904479	1569.56883	2997.029729
LT934125.1	10431	+	1936.233381	2862.154926	4656.099758
LT934125.1	10432	+	0	0	71.357851
LT934125.1	10433	+	0	46.163789	0
LT934125.1	10435	+	0	138.491367	133.79597
LT934125.1	11112	+	129.082225	0	0
LT934125.1	12517	+	0	46.163789	0
LT934125.1	12765	+	0	46.163789	0
LT934125.1	13033	+	129.082225	0	0
LT934125.1	13193	+	129.082225	0	0
