chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC
LT934125.1	+	NOIR	C6_dRNA	62	107989	107989	107989	129.082225	129.082225	107989	107989	1	NOIR	1	dRNA	C6	dRNA	0	107483	108830	107483	108830	841	0
LT934125.1	+	NOIR	C6_dRNA	63	108031	108031	108031	129.082225	129.082225	108031	108031	1	NOIR	1	dRNA	C6	dRNA	0	107483	108830	107483	108830	799	0
LT934125.1	+	NOIR	C6_dRNA	64	108071	108071	108071	258.164451	258.164451	108071	108071	1	NOIR	1	dRNA	C6	dRNA	64	107483	108830	107483	108830	759	0
LT934125.1	+	NOIR	C6_dRNA	66	108229	108231	108229	258.16445	129.082225	108229	108231	3	NOIR	3	dRNA	C6	dRNA	0	107483	108830	107483	108830	601	66
LT934125.1	+	NOIR	PC_12_dRNA	64	108068	108068	108068	92.327578	92.327578	108068	108068	1	NOIR	1	dRNA	PC_12	dRNA	64	107483	108830	107483	108830	762	0
LT934125.1	+	NOIR	PC_12_dRNA	65	108120	108120	108120	46.163789	46.163789	108120	108120	1	NOIR	1	dRNA	PC_12	dRNA	0	107483	108830	107483	108830	710	0
LT934125.1	+	NOIR	PC_12_dRNA	66	108231	108233	108231	92.327578	46.163789	108231	108233	3	NOIR	3	dRNA	PC_12	dRNA	66	107483	108830	107483	108830	599	66
LT934125.1	+	ORF-1	C6_dRNA	1	2266	2275	2273	17297.018201	11617.400284	2273	2275	3		10	dRNA	C6	dRNA	1	1623	2243	1623	2243	-30	1
LT934125.1	+	ORF-1	PC_12_dRNA	1	2266	2275	2273	15511.033144	10109.869818	2271	2275	5		10	dRNA	PC_12	dRNA	1	1623	2243	1623	2243	-30	1
LT934125.1	+	ORF-1	PK_15_dRNA	1	2265	2275	2273	10123.895068	6770.076085	2271	2275	5		11	dRNA	PK_15	dRNA	1	1623	2243	1623	2243	-30	1
LT934125.1	+	UL11	C6_dRNA	51	79987	79998	79996	58990.576996	49051.245643	79993	79996	4		12	dRNA	C6	dRNA	51	79779	79970	79779	79970	-26	51
LT934125.1	+	UL11	PC_12_dRNA	51	79974	79997	79996	41547.410211	35499.953836	79993	79996	4		24	dRNA	PC_12	dRNA	51	79779	79970	79779	79970	-26	51
LT934125.1	+	UL11	PK_15_dRNA	51	79989	79996	79996	37034.724514	32922.728367	79994	79996	3		8	dRNA	PK_15	dRNA	51	79779	79970	79779	79970	-26	51
LT934125.1	+	UL14	C6_dRNA	50	76786	76786	76786	129.082225	129.082225	76786	76786	1	UL14	1	dRNA	C6	dRNA	50	76753	77232	76753	77232	446	50
LT934125.1	+	UL16	C6_dRNA	49	75647	75652	75648	3872.466761	2452.562282	75648	75652	5		6	dRNA	C6	dRNA	49	74654	75640	74654	75640	-8	49
LT934125.1	+	UL16	PC_12_dRNA	49	75644	75652	75648	1800.387775	1107.930939	75648	75651	4		9	dRNA	PC_12	dRNA	49	74654	75640	74654	75640	-8	49
LT934125.1	+	UL16	PK_15_dRNA	49	75639	75652	75648	1766.106805	865.21394	75648	75650	3		14	dRNA	PK_15	dRNA	49	74654	75640	74654	75640	-8	49
LT934125.1	+	UL18	C6_dRNA	44	70507	70521	70521	17813.347101	16135.278172	70521	70521	1		15	dRNA	C6	dRNA	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	C6_dRNA	45	70709	70709	70709	129.082225	129.082225	70709	70709	1	UL18	1	dRNA	C6	dRNA	0	70559	71449	70559	71449	740	0
LT934125.1	+	UL18	C6_dRNA	46	71528	71546	71544	32270.556344	11359.235833	71530	71544	15		19	dRNA	C6	dRNA	46	70559	71449	70559	71449	-95	46
LT934125.1	+	UL18	PC_12_dRNA	44	70515	70521	70521	24882.282337	23728.18761	70521	70521	1		7	dRNA	PC_12	dRNA	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_dRNA	46	71519	71544	71544	30421.937032	9509.74056	71530	71544	15		26	dRNA	PC_12	dRNA	46	70559	71449	70559	71449	-95	46
LT934125.1	+	UL18	PK_15_dRNA	44	70512	70521	70521	38408.36314	36178.430306	70521	70521	1		10	dRNA	PK_15	dRNA	44	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_dRNA	46	71519	71544	71544	20265.6296	6573.841996	71530	71544	15		26	dRNA	PK_15	dRNA	0	70559	71449	70559	71449	-95	46
LT934125.1	+	UL20	PC_12_dRNA	43	66028	66028	66028	46.163789	46.163789	66028	66028	1	UL20	1	dRNA	PC_12	dRNA	43	65827	66312	65827	66312	284	43
LT934125.1	+	UL22	C6_dRNA	39	60247	60254	60251	11230.153607	10068.413579	60251	60251	1		8	dRNA	C6	dRNA	39	60254	62314	60254	62314	2063	39
LT934125.1	+	UL22	PC_12_dRNA	39	60245	60254	60251	11079.309388	9001.938879	60250	60251	2		10	dRNA	PC_12	dRNA	39	60254	62314	60254	62314	2063	39
LT934125.1	+	UL22	PK_15_dRNA	39	60240	60254	60251	11426.175844	9570.871725	60251	60251	1		15	dRNA	PK_15	dRNA	39	60254	62314	60254	62314	2063	39
LT934125.1	+	UL35	C6_dRNA	18	32406	32415	32415	80160.061959	63895.701562	32413	32415	3		10	dRNA	C6	dRNA	18	32066	32377	32066	32377	-38	18
LT934125.1	+	UL35	PC_12_dRNA	18	32402	32415	32415	80094.174129	69661.157788	32414	32415	2		14	dRNA	PC_12	dRNA	18	32066	32377	32066	32377	-38	18
LT934125.1	+	UL35	PC_12_dRNA	19	32704	32704	32704	46.163789	46.163789	32704	32704	1		1	dRNA	PC_12	dRNA	0	32066	32377	32066	32377	-327	0
LT934125.1	+	UL35	PK_15_dRNA	18	32403	32415	32415	70546.155148	60895.005842	32414	32415	2		13	dRNA	PK_15	dRNA	18	32066	32377	32066	32377	-38	18
LT934125.1	+	UL38	C6_dRNA	20	44943	44943	44943	129.082225	129.082225	44943	44943	1	UL38	1	dRNA	C6	dRNA	20	44837	45943	44837	45943	1000	20
LT934125.1	+	UL39	C6_dRNA	23	46297	46297	46297	129.082225	129.082225	46297	46297	1	UL39	1	dRNA	C6	dRNA	23	46274	48646	46274	48646	2349	23
LT934125.1	+	UL4	C6_dRNA	55	92051	92059	92059	5421.453465	4517.877888	92052	92059	8		9	dRNA	C6	dRNA	55	91486	91923	91486	91923	-136	55
LT934125.1	+	UL4	PC_12_dRNA	54	91559	91559	91559	92.327578	92.327578	91559	91559	1	UL4	1	dRNA	PC_12	dRNA	0	91486	91923	91486	91923	364	0
LT934125.1	+	UL4	PC_12_dRNA	55	92045	92059	92059	4062.413442	3231.465239	92052	92059	8		15	dRNA	PC_12	dRNA	55	91486	91923	91486	91923	-136	55
LT934125.1	+	UL4	PK_15_dRNA	54	91551	91562	91559	133.79597	80.277582	91551	91562	12	UL4	12	dRNA	PK_15	dRNA	0	91486	91923	91486	91923	364	0
LT934125.1	+	UL4	PK_15_dRNA	55	92050	92059	92059	1864.223849	1436.076745	92052	92059	8		10	dRNA	PK_15	dRNA	55	91486	91923	91486	91923	-136	55
LT934125.1	+	UL40	C6_dRNA	25	48641	48641	48641	129.082225	129.082225	48641	48641	1	UL39	1	dRNA	C6	dRNA	0	48656	49567	48656	49567	926	0
LT934125.1	+	UL40	C6_dRNA	26	48878	48885	48878	258.16445	129.082225	48878	48885	8	UL40	8	dRNA	C6	dRNA	0	48656	49567	48656	49567	689	0
LT934125.1	+	UL40	C6_dRNA	27	49164	49164	49164	129.082225	129.082225	49164	49164	1	UL40	1	dRNA	C6	dRNA	0	48656	49567	48656	49567	403	0
LT934125.1	+	UL40	C6_dRNA	29	49640	49647	49647	38337.420936	35239.447528	49647	49647	1		8	dRNA	C6	dRNA	29	48656	49567	48656	49567	-80	29
LT934125.1	+	UL40	PC_12_dRNA	28	49334	49334	49334	46.163789	46.163789	49334	49334	1	UL40	1	dRNA	PC_12	dRNA	0	48656	49567	48656	49567	233	0
LT934125.1	+	UL40	PC_12_dRNA	29	49640	49647	49647	35776.936571	32868.617856	49647	49647	1		8	dRNA	PC_12	dRNA	29	48656	49567	48656	49567	-80	29
LT934125.1	+	UL40	PK_15_dRNA	29	49640	49647	49647	21202.20139	19596.649749	49647	49647	1		8	dRNA	PK_15	dRNA	29	48656	49567	48656	49567	-80	29
LT934125.1	+	UL43	C6_dRNA	30	52426	52439	52435	12262.81141	6841.357945	52430	52439	10		14	dRNA	C6	dRNA	30	52473	53594	52473	53594	1159	30
LT934125.1	+	UL43	PC_12_dRNA	30	52422	52439	52435	12187.240326	5908.965008	52430	52439	10		18	dRNA	PC_12	dRNA	30	52473	53594	52473	53594	1159	30
LT934125.1	+	UL43	PK_15_dRNA	30	52422	52440	52435	16421.225392	8554.022353	52434	52439	6		19	dRNA	PK_15	dRNA	30	52473	53594	52473	53594	1159	30
LT934125.1	+	UL44	C6_dRNA	32	53758	53758	53758	129.082225	129.082225	53758	53758	1	UL44	1	dRNA	C6	dRNA	32	53661	55103	53661	55103	1345	0
LT934125.1	+	UL44	C6_dRNA	33	54271	54271	54271	129.082225	129.082225	54271	54271	1	UL44	1	dRNA	C6	dRNA	33	53661	55103	53661	55103	832	0
LT934125.1	+	UL44	C6_dRNA	34	54412	54412	54412	129.082225	129.082225	54412	54412	1	UL44	1	dRNA	C6	dRNA	34	53661	55103	53661	55103	691	34
LT934125.1	+	UL44	PC_12_dRNA	32	53765	53765	53765	46.163789	46.163789	53765	53765	1	UL44	1	dRNA	PC_12	dRNA	32	53661	55103	53661	55103	1338	32
LT934125.1	+	UL46	C6_dRNA	10	15006	15006	15006	129.082225	129.082225	15006	15006	1	UL46	1	dRNA	C6	dRNA	10	14071	16146	14071	16146	1140	10
LT934125.1	+	UL47	PC_12_dRNA	6	12517	12517	12517	46.163789	46.163789	12517	12517	1	UL47	1	dRNA	PC_12	dRNA	6	11815	14052	11815	14052	1535	0
LT934125.1	+	UL47	PC_12_dRNA	7	12765	12765	12765	46.163789	46.163789	12765	12765	1	UL47	1	dRNA	PC_12	dRNA	7	11815	14052	11815	14052	1287	7
LT934125.1	+	UL48	C6_dRNA	4	10418	10431	10426	52149.219053	42726.2166	10426	10429	4		14	dRNA	C6	dRNA	4	10473	11714	10473	11714	1288	0
LT934125.1	+	UL48	C6_dRNA	5	11112	11112	11112	129.082225	129.082225	11112	11112	1	UL48	1	dRNA	C6	dRNA	0	10473	11714	10473	11714	602	5
LT934125.1	+	UL48	PC_12_dRNA	4	10416	10431	10426	56827.624411	47641.030376	10426	10429	4		16	dRNA	PC_12	dRNA	4	10473	11714	10473	11714	1288	4
LT934125.1	+	UL48	PK_15_dRNA	4	10413	10431	10426	60752.290139	46391.522687	10426	10430	5		19	dRNA	PK_15	dRNA	4	10473	11714	10473	11714	1288	4
LT934125.1	+	UL51	C6_dRNA	2	8519	8526	8519	1807.151155	1032.657803	8519	8523	5		8	dRNA	C6	dRNA	2	7729	8439	7729	8439	-80	2
LT934125.1	+	UL51	PC_12_dRNA	2	8518	8526	8519	2031.206722	969.439572	8519	8526	8		9	dRNA	PC_12	dRNA	2	7729	8439	7729	8439	-80	2
LT934125.1	+	UL51	PC_12_dRNA	3	8666	8666	8666	46.163789	46.163789	8666	8666	1		1	dRNA	PC_12	dRNA	0	7729	8439	7729	8439	-227	0
LT934125.1	+	UL51	PK_15_dRNA	2	8515	8526	8519	2203.173641	1043.608567	8519	8526	8		12	dRNA	PK_15	dRNA	2	7729	8439	7729	8439	-80	2
LT934125.1	+	UL8	PC_12_dRNA	52	84254	84254	84254	46.163789	46.163789	84254	84254	1	UL8	1	dRNA	PC_12	dRNA	52	84087	86138	84087	86138	1884	52
LT934125.1	+	US1	C6_dRNA	76	115887	115887	115887	129.082225	129.082225	115887	115887	1	US1	1	dRNA	C6	dRNA	76	115740	116831	115740	116831	944	0
LT934125.1	+	US1	C6_dRNA	77	115935	115935	115935	129.082225	129.082225	115935	115935	1	US1	1	dRNA	C6	dRNA	77	115740	116831	115740	116831	896	0
LT934125.1	+	US1	C6_dRNA	79	116164	116164	116164	129.082225	129.082225	116164	116164	1	US1	1	dRNA	C6	dRNA	79	115740	116831	115740	116831	667	0
LT934125.1	+	US1	C6_dRNA	81	116372	116372	116372	129.082225	129.082225	116372	116372	1	US1	1	dRNA	C6	dRNA	81	115740	116831	115740	116831	459	81
LT934125.1	+	US1	PC_12_dRNA	78	115989	115989	115989	46.163789	46.163789	115989	115989	1	US1	1	dRNA	PC_12	dRNA	78	115740	116831	115740	116831	842	0
LT934125.1	+	US1	PC_12_dRNA	79	116148	116148	116148	46.163789	46.163789	116148	116148	1	US1	1	dRNA	PC_12	dRNA	79	115740	116831	115740	116831	683	0
LT934125.1	+	US1	PC_12_dRNA	80	116221	116221	116221	46.163789	46.163789	116221	116221	1	US1	1	dRNA	PC_12	dRNA	80	115740	116831	115740	116831	610	80
LT934125.1	+	US2	C6_dRNA	91	126139	126151	126151	49696.65677	44404.28553	126148	126151	4		13	dRNA	C6	dRNA	91	125308	126078	125308	126078	-73	91
LT934125.1	+	US2	PC_12_dRNA	90	125295	125295	125295	46.163789	46.163789	125295	125295	1		1	dRNA	PC_12	dRNA	0	125308	126078	125308	126078	783	0
LT934125.1	+	US2	PC_12_dRNA	91	126135	126151	126151	39931.677591	36469.393408	126151	126151	1		17	dRNA	PC_12	dRNA	91	125308	126078	125308	126078	-73	91
LT934125.1	+	US2	PK_15_dRNA	91	126135	126151	126151	29470.792341	26304.287715	126149	126151	3		17	dRNA	PK_15	dRNA	91	125308	126078	125308	126078	-73	91
LT934125.1	+	US4	C6_dRNA	84	118933	118933	118933	129.082225	129.082225	118933	118933	1	US4	1	dRNA	C6	dRNA	84	118897	120396	118897	120396	1463	84
LT934125.1	+	US6	C6_dRNA	86	120563	120563	120563	129.082225	129.082225	120563	120563	1		1	dRNA	C6	dRNA	86	120576	121778	120576	121778	1215	86
LT934125.1	+	US8	C6_dRNA	88	123070	123070	123070	129.082225	129.082225	123070	123070	1	US8	1	dRNA	C6	dRNA	88	123000	124730	123000	124730	1660	88
LT934125.1	+	US9	C6_dRNA	89	125225	125235	125230	9681.166903	8132.180199	125230	125230	1		11	dRNA	C6	dRNA	89	124788	125084	124788	125084	-146	89
LT934125.1	+	US9	PC_12_dRNA	89	125213	125235	125230	11633.274858	9555.904349	125225	125230	6		23	dRNA	PC_12	dRNA	89	124788	125084	124788	125084	-146	89
LT934125.1	+	US9	PK_15_dRNA	89	125222	125235	125230	13638.269216	11524.292888	125230	125230	1		14	dRNA	PK_15	dRNA	89	124788	125084	124788	125084	-146	89
LT934125.1	-	CTO-M	C6_dRNA	140	64133	64151	64138	13037.304762	6195.946818	64133	64144	12	UL21	19	dRNA	C6	dRNA	140	63164	64127	64127	63164	-974	140
LT934125.1	-	CTO-M	PC_12_dRNA	139	63521	63521	63521	46.163789	46.163789	63521	63521	1	UL21	1	dRNA	PC_12	dRNA	0	63164	64127	64127	63164	-357	139
LT934125.1	-	CTO-M	PC_12_dRNA	140	64133	64152	64138	17680.731234	9925.214662	64133	64144	12	UL21	20	dRNA	PC_12	dRNA	140	63164	64127	64127	63164	-974	0
LT934125.1	-	CTO-M	PK_15_dRNA	140	64133	64151	64138	9374.637635	5021.808743	64133	64144	12	UL21	19	dRNA	PK_15	dRNA	140	63164	64127	64127	63164	-974	140
LT934125.1	-	CTO-S	C6_dRNA	137	63152	63174	63161	87001.419904	52794.630179	63153	63161	9		23	dRNA	C6	dRNA	137	63164	63420	63420	63164	3	137
LT934125.1	-	CTO-S	C6_dRNA	138	63303	63303	63303	129.082225	129.082225	63303	63303	1	UL21	1	dRNA	C6	dRNA	0	63164	63420	63420	63164	-139	0
LT934125.1	-	CTO-S	PC_12_dRNA	137	63152	63174	63161	63706.028988	38823.746653	63153	63161	9		23	dRNA	PC_12	dRNA	137	63164	63420	63420	63164	3	137
LT934125.1	-	CTO-S	PK_15_dRNA	137	63152	63172	63161	121005.075328	72472.817119	63153	63161	9		21	dRNA	PK_15	dRNA	137	63164	63420	63420	63164	3	137
LT934125.1	-	Ep0	C6_dRNA	161	96807	96807	96807	129.082225	129.082225	96807	96807	1	Ep0	1	dRNA	C6	dRNA	161	96114	97346	97346	96114	-693	161
LT934125.1	-	NOIR_2	C6_dRNA	192	135464	135470	135464	258.16445	129.082225	135464	135470	7	NOIR_2	7	dRNA	C6	dRNA	0	134888	136235	136235	134888	-576	192
LT934125.1	-	NOIR_2	C6_dRNA	194	135616	135630	135630	387.246676	258.164451	135616	135630	15	NOIR_2	15	dRNA	C6	dRNA	194	134888	136235	136235	134888	-742	0
