cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
1	LT934125.1	985	992	+	987	2014.498649	976.146613	987	991	5
2	LT934125.1	1332	1340	+	1334	354.092399	138.76594	1334	1339	6
3	LT934125.1	1600	1604	+	1600	741.680025	581.381439	1600	1603	4
4	LT934125.1	1712	1712	+	1712	23.925162	23.925162	1712	1712	1
5	LT934125.1	1854	1871	+	1871	35.887743	21.532646	1854	1871	18
6	LT934125.1	2142	2168	+	2168	31.102711	19.14013	2142	2168	27
7	LT934125.1	3651	3651	+	3651	35.887743	35.887743	3651	3651	1
8	LT934125.1	3871	3871	+	3871	16.747613	16.747613	3871	3871	1
9	LT934125.1	4480	4480	+	4480	35.887743	35.887743	4480	4480	1
10	LT934125.1	4632	4635	+	4632	43.065291	26.317678	4632	4635	4
11	LT934125.1	4967	4967	+	4967	21.532646	21.532646	4967	4967	1
12	LT934125.1	7585	7592	+	7591	665.119507	327.774721	7585	7592	8
13	LT934125.1	7811	7811	+	7811	52.635357	52.635357	7811	7811	1
14	LT934125.1	9108	9116	+	9113	6844.988874	2016.891164	9109	9114	6
15	LT934125.1	9265	9271	+	9270	12716.223652	9936.119817	9269	9271	3
16	LT934125.1	9413	9437	+	9415	677.082087	416.29782	9414	9415	2
17	LT934125.1	9592	9647	+	9643	24793.645477	16587.314879	9643	9646	4
18	LT934125.1	9750	10014	+	9933	1540.780439	212.933943	9759	9998	240
19	LT934125.1	10087	10089	+	10089	244.036653	145.943489	10088	10089	2
20	LT934125.1	10426	10435	+	10428	6983.754816	5450.151925	10428	10433	6
21	LT934125.1	10784	10784	+	10784	11.962581	11.962581	10784	10784	1
22	LT934125.1	10998	10998	+	10998	11.962581	11.962581	10998	10998	1
23	LT934125.1	11526	11526	+	11526	11.962581	11.962581	11526	11526	1
24	LT934125.1	11628	11640	+	11628	208.148909	107.663229	11628	11639	12
25	LT934125.1	11756	11797	+	11793	61597.722324	38734.837429	11792	11794	3
26	LT934125.1	11908	12130	+	12068	3729.93277	289.494461	11938	12110	173
27	LT934125.1	12416	12416	+	12416	14.355097	14.355097	12416	12416	1
28	LT934125.1	12842	12842	+	12842	11.962581	11.962581	12842	12842	1
29	LT934125.1	14044	14051	+	14046	11627.628778	5368.806374	14046	14048	3
30	LT934125.1	14294	14294	+	14294	11.962581	11.962581	14294	14294	1
31	LT934125.1	14605	14606	+	14605	50.242841	31.102711	14605	14606	2
32	LT934125.1	14821	14822	+	14822	40.672776	21.532646	14821	14822	2
33	LT934125.1	14955	14956	+	14955	38.280259	23.925162	14955	14956	2
34	LT934125.1	15172	15187	+	15172	31.10271	16.747613	15172	15187	16
35	LT934125.1	15346	15346	+	15346	28.710195	28.710195	15346	15346	1
36	LT934125.1	15591	15649	+	15599	428.260401	138.76594	15593	15644	52
37	LT934125.1	17395	17395	+	17395	11.962581	11.962581	17395	17395	1
38	LT934125.1	23722	23722	+	23722	14.355097	14.355097	23722	23722	1
39	LT934125.1	25418	25422	+	25420	222.504007	107.663229	25420	25422	3
40	LT934125.1	27846	27846	+	27846	14.355097	14.355097	27846	27846	1
41	LT934125.1	28383	28383	+	28383	11.962581	11.962581	28383	28383	1
42	LT934125.1	28625	28625	+	28625	11.962581	11.962581	28625	28625	1
43	LT934125.1	29338	29338	+	29338	11.962581	11.962581	29338	29338	1
44	LT934125.1	29465	29465	+	29465	14.355097	14.355097	29465	29465	1
45	LT934125.1	30234	30241	+	30236	514.390986	212.933943	30234	30240	7
46	LT934125.1	31093	31099	+	31098	7146.445917	4026.60478	31096	31099	4
47	LT934125.1	31270	31295	+	31271	653.156924	370.840012	31270	31272	3
48	LT934125.1	31455	31475	+	31457	136.373424	57.420389	31456	31475	20
49	LT934125.1	31604	31605	+	31605	205.756394	145.943489	31604	31605	2
50	LT934125.1	31859	31973	+	31933	882.83848	236.859105	31860	31941	82
