chr	strand	gene	cluster	start	end	group	hpi	Time	cell_line	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	subset	cluster_width	CDS_start	CDS_end	CDS_prime5	CDS_prime3	3-UTR_start	3-UTR-end	3-UTR-width	TES_UTR_ov_width	CDS_UTR_ov_width	inCoding	TES_CDS_dist	closest_TC	dominant_TC	gene_mean_dominant_TES	gene_dominant_TES_shift	gene_mean_shift_TES	gene_sd_shift_TES	gene_varcoeff_shif_TES
LT934125.1	+	ELIE	85	102419	102419	PK_15_6h	6h	6	PK_15	102419	15.092897	15.092897	102419	102419	1	LT934125.1_+	1	100549	102393	100549	102393	102394	103394	1001	1			-26	85	85	102530	111	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	ELIE	85	102420	102422	C6_12h	12h	12	C6	102422	58.437527	38.958351	102420	102422	3	LT934125.1_+	3	100549	102393	100549	102393	102394	103394	1001	3			-29	85	85	102530	108	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	ELIE	85	102420	102422	C6_8h	8h	8	C6	102422	97.612163	73.209122	102420	102422	3	LT934125.1_+	3	100549	102393	100549	102393	102394	103394	1001	3			-29	85	85	102530	108	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	ELIE	85	102422	102422	PC_12_2.5h	2.5h	2.5	PC_12	102422	861.326443	861.326443	102422	102422	1	LT934125.1_+	1	100549	102393	100549	102393	102394	103394	1001	1			-29	85	85	102530	108	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	ELIE	85	102422	102422	PC_12_4h	4h	4	PC_12	102422	154.424255	154.424255	102422	102422	1	LT934125.1_+	1	100549	102393	100549	102393	102394	103394	1001	1			-29	85	85	102530	108	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	ELIE	86	103071	103071	C6_6h	6h	6	C6	103071	54.540496	54.540496	103071	103071	1	LT934125.1_+	1	100549	102393	100549	102393	102394	103394	1001	1			-678	86	86	102530	-541	180.666666666667	176.53063945578	0.977106860456348
LT934125.1	+	IE180_2	166	141344	141358	PC_12_8h	8h	8	PC_12	141356	7680.351102	6103.136143	141353	141356	4	LT934125.1_+	15	136420	140772	136420	140772	140773	141773	1001	15			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141344	141359	PC_12_2h	2h	2	PC_12	141356	6535.947711	5228.75817	141354	141356	3	LT934125.1_+	16	136420	140772	136420	140772	140773	141773	1001	16			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141344	141359	PC_12_4h	4h	4	PC_12	141356	9677.253309	7206.465229	141354	141359	6	LT934125.1_+	16	136420	140772	136420	140772	140773	141773	1001	16			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141344	141359	PC_12_6h	6h	6	PC_12	141356	9852.279862	7341.165618	141354	141359	6	LT934125.1_+	16	136420	140772	136420	140772	140773	141773	1001	16			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141345	141359	PK_15_1h	1h	1	PK_15	141356	307634.730538	206586.826347	141353	141359	7	LT934125.1_+	15	136420	140772	136420	140772	140773	141773	1001	15			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141347	141359	C6_12h	12h	12	C6	141356	8376.045484	5848.622457	141353	141359	7	LT934125.1_+	13	136420	140772	136420	140772	140773	141773	1001	13			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
