gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE									E	cluster_11	0.999999884568163	0.999650217233296	39361.8522162742	0.466708119267076
CTO-L									unknown	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
CTO-M									L	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
CTO-S									L	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
ELIE									E	cluster_12	0.999993280813042	0.997713036349691	0	0
EP0	LT934125.1	96990	97346	-	CDS	SOF05972.1	1	SOF05972.1_1	E	cluster_7	0.999993280813042	0.997713036349691	71016.6313043163	0.0677873267146918
EP0	LT934125.1	96114	96851	-	CDS	SOF05972.1	2	SOF05972.1_2	E	cluster_7	0.999993280813042	0.997713036349691	71016.6313043163	0.0677873267146918
IE180	LT934125.1	102945	107297	-	CDS	SOF05973.1		SOF05973.1	IE	cluster_9	0.999993280813042	0.997713036349691	207384.224180676	0.988662692299668
IE180	LT934125.1	136420	140772	+	CDS	SOF05983.1		SOF05983.1	IE	cluster_9	0.999993280813042	0.997713036349691	207384.224180676	0.988662692299668
NOIR									E					
NOIR									E	cluster_2	0.999993280813042	0.997713036349691	17647.680957834	-0.319197651624556
ORF-1	LT934125.1	1623	2243	+	CDS	SOF05915.1		ORF-1	E	cluster_1	0.999993280813042	0.997713036349691	11378.5483601219	0.766635772095438
UL1	LT934125.1	94461	94931	-	CDS	SOF05971.1		UL1						
UL10	LT934125.1	80370	81551	-	CDS	SOF05961.1		UL10	L	cluster_5	0.999993280813042	0.997713036349691	19060.0013403581	0.686761036200774
UL11	LT934125.1	79779	79970	+	CDS	SOF05960.1		UL11	L	cluster_8	0.999993280813042	0.997713036349691	34413.1451404471	0.117001187774789
UL12	LT934125.1	78364	79821	+	CDS	SOF05959.1		UL12	L	cluster_8	0.999993280813042	0.997713036349691	34413.1451404471	0.117001187774789
UL13	LT934125.1	77202	78398	+	CDS	SOF05958.1		UL13						
UL14	LT934125.1	76753	77232	+	CDS	SOF05957.1		UL14						
UL15	LT934125.1	75663	76754	-	CDS	SOF05954.1	1	SOF05954.1_1	L	cluster_8	0.999993280813042	0.997713036349691	41894.4608299242	0.237246091452937
UL15	LT934125.1	71647	72783	-	CDS	SOF05954.1	2	SOF05954.1_2	L	cluster_8	0.999993280813042	0.997713036349691	41894.4608299242	0.237246091452937
UL16	LT934125.1	74654	75640	+	CDS	SOF05956.1		UL16	L	cluster_8	0.999993280813042	0.997713036349691	45312.0422427376	0.0953589254422715
UL17	LT934125.1	72834	74627	+	CDS	SOF05955.1		UL17						
UL18	LT934125.1	70559	71449	+	CDS	SOF05953.1		UL18	L	cluster_5	0.999993280813042	0.997713036349691	39188.2326299646	0.529956795609215
UL19	LT934125.1	66399	70391	+	CDS	SOF05952.1		UL19	L	cluster_5	0.999993280813042	0.997713036349691	31771.8261673773	0.5492042664711
UL2	LT934125.1	93521	94483	-	CDS	SOF05970.1		UL2	E	cluster_2	0.999993280813042	0.997713036349691	6031.27409272499	0.336313080628105
UL20	LT934125.1	65827	66312	+	CDS	SOF05951.1		UL20	L	cluster_10	0.999993280813042	0.997713036349691	0	0
UL21	LT934125.1	64143	65720	-	CDS	SOF05950.1		UL21	L	cluster_9	0.999993280813042	0.997713036349691	103319.756683025	0.995190784730594
UL22	LT934125.1	60254	62314	+	CDS	SOF05949.1		UL22	L	cluster_8	0.999993280813042	0.997713036349691	33551.0975324027	0.0855255640855192
UL23	LT934125.1	59156	60118	+	CDS	SOF05948.1		UL23	L	cluster_1	0.999993280813042	0.997713036349691	19670.9903687936	0.412316176167775
UL24	LT934125.1	58648	59163	-	CDS	SOF05947.1		UL24	L					
UL25	LT934125.1	56951	58555	-	CDS	SOF05946.1		UL25	L	cluster_3	0.999993280813042	0.997713036349691	92757.4819317859	0.503775247712966
UL26	LT934125.1	55343	56917	-	CDS	SOF05944.1		UL26	L	cluster_3	0.999993280813042	0.997713036349691	51067.8775409647	0.482399335207937
UL26.5	LT934125.1	55343	56179	-	CDS	SOF05945.1		UL26.5	L	cluster_3	0.999993280813042	0.997713036349691	51067.8775409647	0.482399335207937
UL27	LT934125.1	16625	19375	-	CDS	SOF05926.1		UL27	L	cluster_5	0.999993280813042	0.997713036349691	21917.1304265485	0.517826118299406
UL28	LT934125.1	19246	21402	-	CDS	SOF05927.1		UL28	E	cluster_6	0.999993280813042	0.997713036349691	0	0
UL29	LT934125.1	21554	25087	-	CDS	SOF05928.1		UL29	E	cluster_1	0.999993280813042	0.997713036349691	18022.3336517746	0.248086663210194
UL3	LT934125.1	92749	93465	-	CDS	SOF05969.1		UL3	L	cluster_5	0.999993280813042	0.997713036349691	9297.09892261391	0.478377022248417
UL3.5	LT934125.1	92099	92752	-	CDS	SOF05968.1		UL3.5	L	cluster_5	0.999993280813042	0.997713036349691	9297.09892261391	0.478377022248417
UL30	LT934125.1	25434	28580	+	CDS	SOF05929.1		UL30	E	cluster_7	0.999993280813042	0.997713036349691	51923.3661134913	-0.20507437321299
UL31	LT934125.1	28501	29316	-	CDS	SOF05930.1		UL31	L	cluster_8	0.999993280813042	0.997713036349691	29794.5851336749	0.321601463323423
UL32	LT934125.1	29309	30721	-	CDS	SOF05931.1		UL32	L	cluster_8	0.999993280813042	0.997713036349691	29794.5851336749	0.321601463323423
UL33	LT934125.1	30720	31070	+	CDS	SOF05932.1		UL33						
UL34	LT934125.1	31226	32011	+	CDS	SOF05933.1		UL34	E	cluster_5	0.999993280813042	0.997713036349691	88206.378815263	0.357170409626467
UL35	LT934125.1	32066	32377	+	CDS	SOF05934.1		UL35	L	cluster_5	0.999993280813042	0.997713036349691	88586.7840002605	0.653784514789847
UL36	LT934125.1	32705	41983	-	CDS	SOF05935.1		UL36	L	cluster_7	0.999993280813042	0.997713036349691	23712.0103748906	0.358147713609255
UL37	LT934125.1	42021	44780	-	CDS	SOF05936.1		UL37	L	cluster_8	0.999993280813042	0.997713036349691	36991.1294749459	0.242277182774378
UL38	LT934125.1	44837	45943	+	CDS	SOF05937.1		UL38	E	cluster_8	0.999993280813042	0.997713036349691	10097.5632355428	0.345962648004378
UL39	LT934125.1	46274	48646	+	CDS	SOF05938.1		UL39	E	cluster_1	0.999993280813042	0.997713036349691	50017.1309685183	0.373898402761341
UL4	LT934125.1	91486	91923	+	CDS	SOF05967.1		UL4	L	cluster_11	0.999999884568163	0.999650217233296	34140.8542895935	-0.253851117779784
UL40	LT934125.1	48656	49567	+	CDS	SOF05939.1		UL40	E	cluster_1	0.999993280813042	0.997713036349691	53920.2297764571	0.565359254959062
UL41	LT934125.1	50044	51141	-	CDS	SOF05940.1		UL41	L	cluster_8	0.999993280813042	0.997713036349691	45608.1458558356	0.314651206382949
UL42	LT934125.1	51270	52415	+	CDS	SOF05941.1		UL42	L	cluster_8	0.999993280813042	0.997713036349691	17200.3709292049	0.235969615045727
UL43	LT934125.1	52473	53594	+	CDS	SOF05942.1		UL43	L	cluster_1	0.999993280813042	0.997713036349691	13627.3557062236	0.635917744781613
UL44	LT934125.1	53661	55103	+	CDS	SOF05943.1		UL44	L	cluster_5	0.999993280813042	0.997713036349691	21488.0868919457	0.515976168920207
UL46	LT934125.1	14071	16146	+	CDS	SOF05925.1		UL46	L	cluster_5	0.999993280813042	0.997713036349691	38149.4598319013	0.424858752669446
UL47	LT934125.1	11815	14052	+	CDS	SOF05924.1		UL47						
UL48	LT934125.1	10473	11714	+	CDS	SOF05923.1		UL48	L	cluster_4	0.999993280813042	0.997713036349691	0	0
UL49	LT934125.1	9657	10409	+	CDS	SOF05922.1		UL49	L	cluster_3	0.999993280813042	0.997713036349691	6957.19744002145	0.725969886095278
UL49.5	LT934125.1	9323	9619	+	CDS	SOF05921.1		UL49.5	L	cluster_3	0.999993280813042	0.997713036349691	6957.19744002145	0.725969886095278
UL5	LT934125.1	88923	91427	+	CDS	SOF05966.1		UL5	E	cluster_9	0.999993280813042	0.997713036349691	104064.48110108	0.995190784730594
UL50	LT934125.1	8593	9399	-	CDS	SOF05920.1		UL50	L	cluster_1	0.999993280813042	0.997713036349691	25002.9852334541	0.553572136720563
UL51	LT934125.1	7729	8439	+	CDS	SOF05919.1		UL51	L	cluster_2	0.999993280813042	0.997713036349691	4014.79226522517	0.0389016625960385
UL52	LT934125.1	4854	7742	-	CDS	SOF05918.1		UL52	E					
UL53	LT934125.1	3961	4899	-	CDS	SOF05917.1		UL53	L					
UL54	LT934125.1	2797	3882	-	CDS	SOF05916.1		UL54	E	cluster_1	0.999993280813042	0.997713036349691	8992.65184029136	0.659773475034059
UL6	LT934125.1	86993	88924	-	CDS	SOF05965.1		UL6	L	cluster_2	0.999993280813042	0.997713036349691	6083.70655118085	0.330276068828622
UL7	LT934125.1	86302	87102	-	CDS	SOF05964.1		UL7	E	cluster_2	0.999993280813042	0.997713036349691	6083.70655118085	0.330276068828622
